parameter,n_success,max_lr_stat,crosses_left_95,crosses_right_95,profile_identifiable_95,chi2_95_threshold,runtime_s_parameter
mu0,8,1878.6079058815667,False,True,False,3.841458820694124,265.9597361087799
sN,7,5.950374106912932,True,False,False,3.841458820694124,144.46543836593628
qN,7,5840.911199476752,True,True,True,3.841458820694124,239.4251413345337
qXG,7,0.0,False,False,False,3.841458820694124,210.37741017341614
qXF,7,17.857437932496396,True,False,False,3.841458820694124,191.31537699699402
betaG0,7,0.0,False,False,False,3.841458820694124,268.37068271636963
sG,7,105.51938168677589,True,False,False,3.841458820694124,195.14036750793457
betaF0,7,424.0279806899234,True,False,False,3.841458820694124,292.21358728408813
sF,7,531.0346761036053,True,False,False,3.841458820694124,169.17564415931702
qEG,7,3934.3556397044704,True,False,False,3.841458820694124,336.3418836593628
qEF,7,4017.488352924018,True,False,False,3.841458820694124,377.1575667858124
iG,7,129.04461635522603,False,True,False,3.841458820694124,192.1450707912445
iE,7,228.24435074699431,True,False,False,3.841458820694124,182.1210434436798
Kd0,7,374.761028763769,True,True,True,3.841458820694124,139.32934069633484
m0,7,0.0,False,False,False,3.841458820694124,131.61768341064453
gammaG0,7,246.70044514316032,True,True,True,3.841458820694124,244.94313287734985
gammaF0,7,14.154663436827832,True,True,True,3.841458820694124,150.84012484550476
