medium,batch,n_rows,t_min_h,t_max_h,temperature_initial_c,temperature_min_c,temperature_max_c,G_initial_g_l,F_initial_g_l,S_initial_g_l,YAN_initial_mg_l,E_final_g_l,X_viable_initial_kg_m3,X_dead_initial_kg_m3,n_density,n_gf,n_y15,n_total_cells,n_ethanol,n_pulses,total_N_pulse_mg_l
natural,LAB004,14,0.0,163.0,18.0,18.0,21.0,75.04,70.80999999999999,145.85,230.76,82.396656,0.39390000000000003,0.009299999999999961,13,13,13,12,5,1,80.0
natural,LAB005,14,0.0,163.0,18.0,18.0,21.0,77.71,87.95,165.66,227.29999999999998,80.66032799999999,0.4932,0.015899999999999928,13,13,13,12,5,1,80.0
natural,LAB006,16,0.0,211.0,16.0,16.0,18.0,81.63,75.81,157.44,229.12,82.712352,0.09899999999999999,0.027599999999999996,15,15,15,14,5,1,80.0
natural,LAB007,14,0.0,160.0,21.0,18.0,21.0,77.52,74.55,152.07,239.04,81.29172,0.2916,0.0008999999999999808,12,13,13,13,6,1,80.0
natural,LAB008,14,0.0,160.0,18.0,18.0,21.0,76.21,74.89,151.1,239.22,81.92311199999999,0.25349999999999995,0.003300000000000036,12,13,13,13,6,1,80.0
natural,LAB009,13,0.0,160.0,18.0,18.0,21.0,75.75,76.68,152.43,237.4,80.89710000000001,0.36029999999999995,0.0008999999999999808,11,12,12,12,5,1,80.0
natural,LAB010,10,0.0,186.9999999999418,15.0,15.0,15.0,78.49,77.05,155.54,225.7,80.02893599999999,0.9609,0.11279999999999994,9,4,4,9,4,1,80.0
natural,LAB011,8,0.0,162.9999999999418,18.0,15.0,21.0,75.61,76.67,152.28,220.24,81.133872,1.0656,0.03809999999999988,7,4,4,7,4,1,80.0
natural,LAB012,9,0.0,162.9999999999418,15.0,15.0,21.0,75.0,79.88,154.88,222.06,81.054948,0.8513999999999999,0.12089999999999992,8,4,4,8,4,1,80.0
synthetic,MS007,10,0.0,213.0,15.0,15.0,15.0,125.34,120.52000000000001,245.86,224.0,79.239696,0.33299999999999996,0.117,9,9,9,9,4,1,100.0
synthetic,MS008,10,0.0,213.0,15.0,15.0,15.0,124.28,119.63,243.91,218.0,83.975136,0.32835,0.12164999999999998,9,9,9,9,4,1,100.0
synthetic,MS009,10,0.0,213.0,23.0,23.0,23.0,120.89,114.19000000000001,235.08,236.0,110.651448,0.33749999999999997,0.11249999999999999,9,9,9,9,4,1,100.0
synthetic,MS010,10,0.0,213.5,19.0,19.0,19.0,124.65,113.21000000000001,237.86,221.0,110.809296,0.5609999999999999,0.0,9,9,9,9,4,1,100.0
synthetic,MS011,10,0.0,213.5,19.0,19.0,19.0,123.57,119.77000000000001,243.34,218.0,105.36354,0.36974999999999997,0.23025,9,9,9,9,4,1,100.0
synthetic,MS012,10,0.0,213.5,23.0,23.0,23.0,122.56,114.22999999999999,236.79,223.0,112.07208,0.47579999999999995,0.0,9,9,9,9,4,1,100.0
synthetic,MS013,9,0.0,213.0,19.0,19.0,19.0,125.07,116.20000000000002,241.27,218.0,109.70436000000001,0.45974999999999994,0.0,8,8,8,8,4,1,100.0
synthetic,MS014,9,0.0,213.0,19.0,19.0,19.0,127.15,126.5,253.65,226.0,109.70436000000001,0.48494999999999994,0.0,8,8,8,8,4,1,100.0
synthetic,MS015,9,0.0,213.0,15.0,15.0,15.0,121.91,118.49000000000001,240.4,220.0,85.23792,0.38130000000000003,0.06869999999999997,8,8,8,8,4,1,100.0
synthetic,MS016,9,0.0,208.0,23.0,23.0,23.0,125.22,116.88,242.1,214.0,114.4398,0.49079999999999996,0.0,8,8,8,8,4,1,100.0
