batch,n_rows,t_min_h,t_max_h,X_initial,X_final,X_n_obs_raw,N_initial,N_final,N_n_obs_raw,G_initial,G_final,G_n_obs_raw,F_initial,F_final,F_n_obs_raw,E_initial,E_final,E_n_obs_raw,temperatura_initial,temperatura_mean,temperatura_n_obs_raw,pulso_nut_initial,pulso_nut_mean,pulso_nut_n_obs_raw,PAN_initial,PAN_mean,PAN_n_obs_raw,AMMONIA_initial,AMMONIA_mean,AMMONIA_n_obs_raw,GLYCEROL_initial,GLYCEROL_mean,GLYCEROL_n_obs_raw,PYRUVIC ACID_initial,PYRUVIC ACID_mean,PYRUVIC ACID_n_obs_raw,ACETALDEHIDO_initial,ACETALDEHIDO_mean,ACETALDEHIDO_n_obs_raw,ethyl_acetate_initial,ethyl_acetate_final,ethyl_acetate_n_obs_raw,isoamyl_acetate_initial,isoamyl_acetate_final,isoamyl_acetate_n_obs_raw,ethyl_octanoate_initial,ethyl_octanoate_final,ethyl_octanoate_n_obs_raw,n_positive_nutrient_pulses,nutrient_pulse_total_mg_L
25026,24,0.0,138.0,15.9,44.55,11,154.5,18.0,11,74.99,0.02,11,72.96,0.5,11,6.1542,96.4947,11,18.5,20.791666666666668,24,87.0,93.5,2,93.0,23.818181818181817,11,75.0,14.363636363636363,11,2.35,4.926363636363636,11,31.0,37.0,11,,,0,1.774577304293678,8.90411298289095,5,0.16440079645416542,10.693966574822793,5,0.018882016741666667,0.14105631166666666,5,2,187.0
25027,32,0.0,186.0,2.76,58.37,13,162.5,19.92,13,77.81,0.02,13,77.54,1.47,13,6.1542,96.5736,13,17.0,18.8125,32,87.0,93.5,2,101.0,29.307692307692307,13,75.0,12.923076923076923,13,2.13,4.708461538461538,13,24.0,37.23076923076923,13,,,0,1.793548000910494,11.189577524203072,5,0.16781751764209243,9.619122937845676,5,0.012845678733333334,0.09549211537499999,5,2,187.0
25085,35,0.0,216.0,14.98,27.73,17,93.34,19.2,17,46.05,0.03,17,54.34,3.43,17,9.791789864182933,94.83779999999999,17,18.0,18.3,35,48.0,74.0,2,63.0,19.647058823529413,17,37.0,6.352941176470588,17,3.16,5.443529411764706,17,29.0,55.529411764705884,17,129.0,178.94117647058823,17,2.0633398259379003,10.752416313050086,5,0.906015276728908,5.921645887449255,5,0.017941041604166666,0.060123424125,5,2,148.0
25086,35,0.0,216.0,14.52,37.94,17,92.7,17.38,17,63.28,0.06,17,72.98,5.22,17,10.888350755538683,95.3112,17,18.0,18.482857142857142,35,48.0,74.0,2,64.0,19.58823529411765,17,35.0,6.294117647058823,17,2.88,5.517058823529411,17,28.0,58.705882352941174,17,177.0,187.05882352941177,17,2.1529048612223898,7.906657810572789,5,1.208975548534005,6.390338052637132,5,0.016916222741666667,0.046756056500000004,5,2,148.0
25150,30,0.0,174.0,12.37,47.16,14,94.24,10.0,14,65.07,0.08,14,67.57,1.57,14,8.273426235211605,94.5222,14,20.2,20.386666666666667,30,50.0,75.0,2,68.0,19.571428571428573,14,32.0,6.642857142857143,14,2.68,5.525714285714285,14,34.0,61.23076923076923,13,210.0,201.5,14,2.1368610835746,8.508377718257778,6,0.846134308660326,6.657936484530638,6,0.012935534429166668,0.052451552500000005,6,2,150.0
25151,30,0.0,174.0,21.16,36.71,14,90.78,11.0,14,63.2,0.07,14,73.6,1.0,14,8.273138795548483,94.12769999999999,14,20.1,20.546666666666663,30,50.0,75.0,2,67.0,19.0,14,29.0,7.357142857142857,14,2.87,5.772142857142858,14,43.0,64.6923076923077,13,217.0,200.64285714285714,14,2.17809913219592,6.994612466733497,6,0.877507175756748,6.785890902930111,6,0.011556563158333335,0.045336386375,6,2,150.0
25170,63,0.0,372.0,13.75,30.57,23,98.42,30.28,24,65.64,0.07,26,74.52,8.9,26,6.560922561112442,95.39009999999999,26,20.0,15.631746031746031,63,41.0,70.5,2,73.0,41.5,24,31.0,16.125,24,2.3,5.061153846153847,26,25.0,34.03846153846154,26,177.0,230.8846153846154,26,4.5963418909964195,10.4127262132328,10,1.6402219250568786,10.041049078185958,10,0.029415980641666666,0.08298747925,10,2,141.0
25171,63,0.0,372.0,11.06,36.71,22,96.6,19.46,24,63.97,0.31,26,77.1,4.0200000000000005,26,7.0497581440460975,93.891,26,18.5,14.852380952380951,63,41.0,70.5,2,72.0,43.5,24,30.0,26.375,24,2.27,4.862307692307692,26,23.0,36.65384615384615,26,172.0,220.0,26,2.968266039622245,12.849770328649674,8,0.9414714292843666,8.981338202473976,8,0.010165320329166668,0.04930549729166667,8,2,141.0
