ensemble_member,optimized_information_gain,preliminary_information_gain,three_anchor_information_gain,optimized_vs_preliminary_delta,optimized_vs_three_anchor_delta,selected_information_gain
0,29.817039703478553,28.16470003867634,28.81461652392422,1.6523396648022128,1.0024231795543344,29.817039703478553
1,22.116581003997222,20.186737530307017,21.15242496538917,1.9298434736902053,0.9641560386080528,22.116581003997222
2,24.406210456659135,22.646007741790935,22.832961385844495,1.7602027148681998,1.57324907081464,24.406210456659135
3,20.401294770470738,18.891261700629943,19.47908382246086,1.5100330698407944,0.9222109480098766,20.401294770470738
4,19.664965567999975,18.050410184820617,18.276068917340094,1.6145553831793578,1.3888966506598805,19.664965567999975
5,30.10908708696103,28.392269753249305,29.167394860447626,1.7168173337117238,0.9416922265134033,30.10908708696103
6,21.453550326112282,19.98856204996814,21.249183638407754,1.4649882761441404,0.20436668770452826,21.453550326112282
7,21.147889002666385,22.016513904066596,23.080576052355827,-0.8686249014002101,-1.9326870496894415,21.147889002666385
8,23.767600609026612,21.836044076850552,23.263092388134933,1.9315565321760602,0.5045082208916796,23.767600609026612
9,20.683568185048497,18.20002261357217,19.606407260941754,2.483545571476327,1.0771609241067424,20.683568185048497
10,25.47694492580445,24.192159380037427,24.044238187030263,1.284785545767022,1.4327067387741863,25.47694492580445
11,31.2286860093576,29.359454116256327,30.57720922376326,1.8692318931012721,0.6514767855943404,31.2286860093576
12,31.291197194441704,29.41368576599609,30.264904427519387,1.8775114284456151,1.0262927669223174,31.291197194441704
13,16.946329043856334,15.440255989742635,15.950199652935485,1.506073054113699,0.9961293909208493,16.946329043856334
14,23.060015807291567,21.352416505760527,22.15104195466954,1.7075993015310402,0.9089738526220259,23.060015807291567
15,17.785191649947745,16.30800617726457,16.916696725403863,1.4771854726831748,0.8684949245438816,17.785191649947745
16,27.593755421832387,25.92104760376451,26.530510056132943,1.6727078180678774,1.0632453656994443,27.593755421832387
17,29.997833924707603,28.79551463716901,28.94367853908096,1.202319287538593,1.0541553856266432,29.997833924707603
18,24.611529614111415,22.79115803719777,23.446601822271727,1.8203715769136437,1.1649277918396876,24.611529614111415
19,25.696712133489992,23.976905639079728,25.300059143145976,1.719806494410264,0.39665299034401613,25.696712133489992
20,21.893339137889246,19.951482800064166,20.461702936680087,1.9418563378250795,1.4316362012091588,21.893339137889246
21,20.875916505385188,18.976811764884825,19.96694804531909,1.8991047405003627,0.9089684600660988,20.875916505385188
22,22.400426077760944,20.147597640230604,21.614668732370003,2.25282843753034,0.785757345390941,22.400426077760944
23,30.7592125412593,29.266463799394852,29.696308826590386,1.492748741864446,1.0629037146689129,30.7592125412593
24,25.426638402559004,23.66838566720482,24.10505291649495,1.7582527353541835,1.321585486064052,25.426638402559004
25,14.658448252089496,12.670524560043173,13.94677118155337,1.9879236920463228,0.7116770705361262,14.658448252089496
26,23.677129943188152,21.915940096487898,22.831510754592582,1.7611898467002547,0.8456191885955704,23.677129943188152
27,23.513464441107264,21.728196943170364,22.120351770926565,1.7852674979368999,1.3931126701806988,23.513464441107264
28,27.087493731752343,25.278557680582107,25.943295594304022,1.8089360511702353,1.1441981374483206,27.087493731752343
29,27.603161685719154,25.905211681929092,27.24257236489063,1.6979500037900621,0.3605893208285238,27.603161685719154
30,17.87358281927035,16.784247084908404,17.26899829638489,1.0893357343619456,0.6045845228854603,17.87358281927035
31,22.10717174149622,21.01156381497378,21.87728809510217,1.0956079265224403,0.22988364639405034,22.10717174149622
32,26.37749036043518,24.486012143416676,25.779630419058268,1.891478217018502,0.5978599413769103,26.37749036043518
33,19.295374020744664,17.372930489108168,18.40190906543221,1.922443531636496,0.893464955312453,19.295374020744664
34,24.691055621044956,23.080262272060377,23.91891792076156,1.6107933489845792,0.7721377002833947,24.691055621044956
35,26.06267225911363,24.26996267639804,25.37152213894505,1.7927095827155881,0.6911501201685795,26.06267225911363
36,13.707498810853775,12.071863284179397,13.252287800126691,1.6356355266743776,0.4552110107270835,13.707498810853775
37,27.127288106600158,25.62210094140868,26.257991942394472,1.5051871651914794,0.8692961642056858,27.127288106600158
38,24.843848200122434,23.395385475889203,23.46934188410103,1.4484627242332309,1.374506316021403,24.843848200122434
39,17.965520850700454,15.744642065480459,16.808692154467625,2.2208787852199947,1.1568286962328287,17.965520850700454
40,24.057229737377586,22.3046260663813,23.45302401079287,1.7526036709962867,0.6042057265847163,24.057229737377586
41,23.41357698752397,21.593118598971113,21.79256076958924,1.8204583885528578,1.6210162179347307,23.41357698752397
42,26.120624329050212,24.240649234776402,25.47874417828047,1.87997509427381,0.6418801507697438,26.120624329050212
43,28.4160133998901,26.916145447634623,27.35045401503471,1.499867952255478,1.0655593848553906,28.4160133998901
44,24.24941911698051,22.695062872919554,23.82847234877656,1.5543562440609549,0.4209467682039474,24.24941911698051
45,21.19160023627902,19.27499099920252,20.77981853103113,1.9166092370765,0.4117817052478898,21.19160023627902
46,25.15529381196789,23.43282566961742,24.029882759182758,1.722468142350472,1.1254110527851324,25.15529381196789
47,16.94835315789373,14.819429489340056,15.617431357346316,2.128923668553675,1.330921800547415,16.94835315789373
48,22.465870524646324,20.551934746086,21.40658276189694,1.9139357785603224,1.0592877627493849,22.465870524646324
49,23.930424566343323,22.039808146189873,23.122789656692117,1.8906164201534494,0.8076349096512061,23.930424566343323
50,28.20735445114266,26.77552693222386,27.479830452943705,1.4318275189188014,0.7275239981989543,28.20735445114266
51,26.35756146717812,24.588512264349927,25.701467870766972,1.7690492028281923,0.6560935964111465,26.35756146717812
52,21.276583978849313,19.185274204481953,20.44870771871594,2.0913097743673603,0.8278762601333725,21.276583978849313
53,29.508992585404574,27.68048500549649,28.472117097937446,1.8285075799080843,1.0368754874671282,29.508992585404574
54,23.31889576546151,21.57661935911573,21.591755119758542,1.7422764063457805,1.727140645702967,23.31889576546151
55,20.87468415677642,18.867008757627726,19.153883406037362,2.0076753991486953,1.720800750739059,20.87468415677642
56,22.353456326059106,20.89507212134212,21.190467282059256,1.4583842047169853,1.1629890439998505,22.353456326059106
57,19.783499467045,18.27347691467028,19.254538860727717,1.5100225523747213,0.528960606317284,19.783499467045
58,30.23026099947371,28.963032695770774,29.12117176653228,1.267228303702936,1.1090892329414288,30.23026099947371
59,21.214740551198826,19.209504977014223,20.38123827725241,2.005235574184603,0.8335022739464151,21.214740551198826
60,22.495155371611926,20.998355989605198,21.562976602748552,1.4967993820067278,0.9321787688633734,22.495155371611926
61,25.47560941319637,23.81953881445656,24.93149948665179,1.6560705987398094,0.5441099265445786,25.47560941319637
62,20.378550901886744,18.558600639435735,19.03229089609783,1.8199502624510089,1.3462600057889134,20.378550901886744
63,17.288005423673123,15.366808124639252,15.981834087818573,1.9211972990338708,1.3061713358545504,17.288005423673123
