analysis,direction,eigenvalue,relative_eigenvalue
integrated_current_plus_campaign,1,5.6446160295889823e-08,2.977242015148837e-13
integrated_current_plus_campaign,2,1.2118663134003603e-07,6.391965877016088e-13
integrated_current_plus_campaign,3,0.002442308368754609,1.2881909152526202e-08
integrated_current_plus_campaign,4,0.10364018301025074,5.466481788988957e-07
integrated_current_plus_campaign,5,0.7676164578705379,4.048778442877194e-06
integrated_current_plus_campaign,6,39.35616597831987,0.00020758335073919494
integrated_current_plus_campaign,7,60.91628893594401,0.00032130181021408616
integrated_current_plus_campaign,8,67.1111563823424,0.00035397652102349094
integrated_current_plus_campaign,9,80.75761189833759,0.00042595449172531545
integrated_current_plus_campaign,10,124.1094878064579,0.0006546131386777331
integrated_current_plus_campaign,11,153.0864898467345,0.0008074517861519476
integrated_current_plus_campaign,12,181.20500869993384,0.000955762380344119
integrated_current_plus_campaign,13,211.36290034131594,0.0011148296076140785
integrated_current_plus_campaign,14,257.36490212485785,0.001357466293214969
integrated_current_plus_campaign,15,308.10614320675154,0.0016251000065763547
integrated_current_plus_campaign,16,464.5539816804408,0.002450281162285546
integrated_current_plus_campaign,17,535.9444551816244,0.002826828860259912
integrated_current_plus_campaign,18,641.8119427144453,0.0033852249146039503
integrated_current_plus_campaign,19,844.1945635080915,0.004452688208128723
integrated_current_plus_campaign,20,940.807348749037,0.004962270510825828
integrated_current_plus_campaign,21,964.1510548978991,0.005085396446002577
integrated_current_plus_campaign,22,1907.4803333741775,0.010060968827325595
integrated_current_plus_campaign,23,2066.0441170805043,0.010897310496018026
integrated_current_plus_campaign,24,3139.9336026437163,0.01656152021247269
integrated_current_plus_campaign,25,3502.3033456326066,0.01847283254654436
integrated_current_plus_campaign,26,5111.791976065963,0.02696204979057269
integrated_current_plus_campaign,27,5963.159877369209,0.03145257363280059
integrated_current_plus_campaign,28,7697.229843310246,0.04059889276725427
integrated_current_plus_campaign,29,10331.271918587177,0.05449209771702541
integrated_current_plus_campaign,30,14068.64318561666,0.07420479155498066
integrated_current_plus_campaign,31,24638.895596727216,0.12995738734558962
integrated_current_plus_campaign,32,40449.840266594125,0.21335191502216744
integrated_current_plus_campaign,33,124185.79372223365,0.6550156127827228
integrated_current_plus_campaign,34,138754.26008974406,0.7318567122273436
integrated_current_plus_campaign,35,189592.11246072646,1.0
