mode,start,success,status,message,nfev,initial_objective_wsse,final_objective_wsse,data_wsse,n_data_residuals,n_parameters,active_bound_count,fit_selection_score,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim,qgas_threshold_fraction
threshold,0,True,2,`ftol` termination condition is satisfied.,21,6497.650727452727,5545.110935776012,5541.602083310744,674,12,2,5581.602083310744,0.11185072688363835,0.017271637144650874,0.04955019421429218,0.04014112269259489,0.0008738554661013705,0.00013137203813781733,0.20000000000000007,0.8329095071372499,2.657140219845768,1.0580968796165996e-05,0.017087761841247277,0.8999999999986735
threshold,1,True,2,`ftol` termination condition is satisfied.,14,10921.823994080813,5545.114408909144,5541.605497245885,674,12,2,5581.605497245885,0.11184693864112828,0.01727437104499031,0.04955156193811774,0.04014076459163453,0.0008738846948242317,0.0001313658573795523,0.20000000000000007,0.8329234699500118,2.657298170509734,1.059329461550684e-05,0.017086696045689378,0.8999999770873507
threshold,2,True,2,`ftol` termination condition is satisfied.,16,78268.5630362283,5545.110686052354,5541.601828678331,674,12,2,5581.601828678331,0.1118505202294711,0.017271748756853965,0.049550220481314786,0.040141115300661764,0.0008738567050042247,0.00013137177196436242,0.20000000000000007,0.8329099613263082,2.6571471264954103,1.0631056194102648e-05,0.017087656396075696,0.8999999999993697
