candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,candidate_logdet,candidate_min_eigenvalue,candidate_max_eigenvalue,candidate_min_relative_eigenvalue,candidate_condition_number,candidate_trace_inv,candidate_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrS_stat,var_reduction_kPyrS_stat,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldPyr,var_reduction_kAldPyr,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAldS_stat,var_reduction_kAldS_stat,var_ratio_kAldO2,var_reduction_kAldO2,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_kAcAssim,var_reduction_kAcAssim,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,var_ratio_k_EA_XE,var_reduction_k_EA_XE,var_ratio_k_EA_XE_Nlim,var_reduction_k_EA_XE_Nlim,var_ratio_qgas_threshold_fraction,var_reduction_qgas_threshold_fraction,target_mean_var_reduction,target_worst_var_reduction,aroma_co2_mean_var_reduction,aroma_co2_worst_var_reduction,hybrid_score,dopt_score,eopt_score,rationale
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,66.48572963427125,1.6758265035804313e-10,18097.319094631835,9.26008153372025e-15,999999999999.9999,1680455.6952594959,32,155.75872972022256,1.5571643971537305e-08,118274.95398623488,1.3165630969807497e-13,1000000000000.0,219673.50340670493,32,0.9203320583292707,0.07966794167072933,0.8499135110009208,0.15008648899907917,0.7560365713213705,0.24396342867862952,0.4922243707919645,0.5077756292080355,0.6874221812972576,0.31257781870274237,0.48527825391672386,0.5147217460832761,0.48365615042750176,0.5163438495724982,0.5863145347629529,0.4136854652370471,0.271577952945458,0.7284220470545419,0.6710684449540321,0.32893155504596794,0.6708755019918127,0.3291244980081873,0.8388682199431925,0.1611317800568075,0.9051635906135972,0.09483640938640281,0.8886311829679164,0.11136881703208357,0.8222708004076907,0.17772919959230926,0.8065503391201178,0.19344966087988225,0.8036747452681225,0.19632525473187745,0.6211581034349186,0.3788418965650814,0.7066180367429179,0.2933819632570821,0.8457931686872241,0.1542068313127759,0.43754423859147734,0.5624557614085226,7.899894696724469e-08,0.9999999210010531,0.8222414272501954,0.17775857274980456,0.8576136791571104,0.1423863208428896,0.9592628653221954,0.0407371346778046,0.7340621755932526,0.2659378244067474,0.8379687136789217,0.16203128632107833,0.701774278929581,0.298225721070419,0.5631843156251206,0.4368156843748794,0.865151178131612,0.13484882186838798,0.8522163129342307,0.14778368706576928,0.9055302375037224,0.09446976249627759,0.8244255756621771,0.1755744243378229,0.8591927496896479,0.14080725031035213,0.8067370982907427,0.1932629017092573,0.28170478159188866,0.0407371346778046,0.18607340162347377,0.0407371346778046,95.82657167325853,155.75872972022256,-17.97781427083375,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_EA_cold_warm_Nsplit,EA_temperature_Nsplit,natural,300.0,"13, 18, 23, 19",32h:0.025; 80h:0.035,67.1873253373696,9.096097430899517e-11,16939.665688967747,5.369703037778077e-15,1000000000000.0001,1675308.1007779555,32,155.69201541247432,1.5482753840166502e-08,117578.03341694434,1.3168066678971398e-13,1000000000000.0,220519.1440726153,32,0.9182033241559561,0.08179667584404393,0.8401358554887256,0.1598641445112744,0.7658189372595369,0.23418106274046313,0.6349969118159272,0.3650030881840728,0.823961754979187,0.176038245020813,0.6092215170026338,0.39077848299736617,0.5450706155220936,0.45492938447790643,0.7555930431841968,0.24440695681580316,0.20572622910238128,0.7942737708976187,0.6779023342297876,0.32209766577021237,0.6691110103149636,0.33088898968503644,0.858954241976893,0.14104575802310704,0.8953812342548549,0.10461876574514506,0.8928844056867767,0.10711559431322326,0.8175035321675982,0.1824964678324018,0.7899878410197303,0.2100121589802697,0.8408275994959651,0.15917240050403492,0.6367371660062977,0.3632628339937023,0.6969059592832743,0.30309404071672574,0.8286895188282648,0.1713104811717352,0.45168784582253074,0.5483121541774693,8.100906728306262e-08,0.9999999189909328,0.825577137844791,0.17442286215520897,0.8782170541971801,0.1217829458028199,0.9574705440590361,0.04252945594096391,0.69885193753103,0.30114806246896997,0.821604802019024,0.17839519798097603,0.7250224423417577,0.2749775576582423,0.5694909632297455,0.43050903677025454,0.8292454000074437,0.17075459999255627,0.8411581967611772,0.1588418032388228,0.9103512218601104,0.08964877813988958,0.8276108518025821,0.1723891481974179,0.8608643929681958,0.13913560703180416,0.6948443441327934,0.3051556558672066,0.26869685007538546,0.04252945594096391,0.1987723207574937,0.04252945594096391,95.76003523434605,155.69201541247432,-17.98353908795498,Cold start then warm acceleration with split nitrogen to test temperature and N response.
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"16, 20, 23, 18",54h:0.04,65.01150444114093,2.336080141701451e-10,17290.355104005885,1.3510885853120625e-14,1000000000000.0,1624113.2410036898,31,155.3725252688636,1.2551802623546004e-08,119407.77781362155,1.0511712765593521e-13,1000000000000.0001,219503.0877629455,32,0.9191592617408737,0.0808407382591263,0.85725425929106,0.14274574070893997,0.7844108128503129,0.2155891871496871,0.726310652546795,0.27368934745320495,0.8215393266843747,0.17846067331562532,0.7311945809297148,0.2688054190702852,0.6810731646627078,0.31892683533729216,0.7871344989692773,0.21286550103072266,0.19868631000273565,0.8013136899972644,0.7323066936887047,0.2676933063112953,0.7339370943269818,0.26606290567301816,0.785567999998619,0.21443200000138096,0.9339386465072784,0.06606135349272158,0.9629120959174109,0.03708790408258911,0.8168995523911556,0.18310044760884436,0.7108762540702919,0.28912374592970813,0.7586214700151571,0.24137852998484288,0.8247928230936762,0.1752071769063238,0.6292811280445877,0.3707188719554123,0.7552096231019186,0.24479037689808136,0.523584868666696,0.47641513133330404,1.012443190757925e-07,0.999999898755681,0.8225629018854997,0.17743709811450026,0.915328823708357,0.084671176291643,0.9063685908913041,0.09363140910869594,0.793714600465282,0.20628539953471803,0.8668228490620955,0.1331771509379045,0.6988848655101172,0.3011151344898828,0.5033410922396211,0.4966589077603789,0.8507159462141862,0.14928405378581378,0.7460459984821673,0.25395400151783265,0.8819664656375956,0.11803353436240438,0.8236098483914295,0.17639015160857052,0.8474177164926896,0.1525822835073104,0.8234940799701699,0.17650592002983012,0.2527152857801382,0.03708790408258911,0.19519076024458207,0.084671176291643,94.99016685997573,155.3725252688636,-18.193401546340876,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_low_temp_aroma_retention,aroma_retention,natural,300.0,"13, 15, 16, 16",54h:0.035,64.15237592947663,5.126759479065276e-10,19224.82538743903,2.6667391644633398e-14,1000000000000.0001,1713248.296892257,32,154.66894003369413,1.7360519297935364e-08,118108.81990118689,1.469874926568537e-13,1000000000000.0,222719.15836548232,32,0.9222396377677569,0.07776036223224314,0.9154121034442554,0.08458789655574461,0.7290117797630488,0.27098822023695124,0.6110841250359941,0.3889158749640059,0.7644970523322432,0.2355029476677568,0.5776203834595335,0.4223796165404665,0.5205035089524137,0.4794964910475863,0.6834361999765732,0.31656380002342677,0.7638612807988864,0.23613871920111362,0.6458353549536481,0.3541646450463519,0.6460667398380636,0.3539332601619364,0.7808956870220686,0.21910431297793143,0.8841583544760242,0.1158416455239758,0.7884147045276271,0.21158529547237293,0.7264824594550624,0.2735175405449376,0.6946197723824996,0.3053802276175004,0.7922859107790506,0.20771408922094936,0.5803884451757538,0.41961155482424617,0.6055918923204624,0.3944081076795376,0.7533129395178073,0.2466870604821927,0.4215988584294633,0.5784011415705367,7.520036356138087e-08,0.9999999247996364,0.8343185511885594,0.16568144881144065,0.8951167808629162,0.10488321913708376,0.9353620869990342,0.06463791300096577,0.7319065835348479,0.26809341646515206,0.8469434576551197,0.1530565423448803,0.7142698724265274,0.2857301275734726,0.5494580273183692,0.45054197268163076,0.8676964511507108,0.1323035488492892,0.8881635671110657,0.1118364328889343,0.9234479319759968,0.07655206802400316,0.8361048222936285,0.16389517770637152,0.8603227851425569,0.1396772148574431,0.7705159437383337,0.22948405626166635,0.27254445351410667,0.06463791300096577,0.1817243074825744,0.06463791300096577,94.95639889839507,154.66894003369413,-17.869067214686066,Cold profile to contrast aroma retention against high-rate stripping.
natural_pilot_EA_cold_retention_noN,EA_retention_reference,natural,300.0,"13, 13, 16, 18",,59.31276273106985,9.368423847244539e-11,21895.012282838106,4.278793602042306e-15,1000000000000.0,1764451.4690972546,31,154.92642428774948,1.3243125465821357e-08,120930.12328729409,1.0951055953494416e-13,1000000000000.0001,220832.7570140108,33,0.9172944363843483,0.08270556361565173,0.9217617923406228,0.07823820765937717,0.6870534104404424,0.31294658955955756,0.552665314869608,0.447334685130392,0.6961396979274588,0.3038603020725412,0.5199372903590586,0.48006270964094144,0.4769782625184763,0.5230217374815237,0.5814509864017995,0.4185490135982005,0.850761713834382,0.14923828616561796,0.5863965094083293,0.4136034905916707,0.5902133464722579,0.40978665352774213,0.6749542463795294,0.3250457536204706,0.8903306820527438,0.1096693179472562,0.7226809044879601,0.2773190955120399,0.6346122911462149,0.36538770885378513,0.5752260474431072,0.42477395255689276,0.7194329843490226,0.2805670156509774,0.6395308984016457,0.3604691015983543,0.5250178597262073,0.4749821402737927,0.6504158193370556,0.3495841806629444,0.48573573869391645,0.5142642613060835,1.0510490076143468e-07,0.9999998948950992,0.8279040200515613,0.17209597994843873,0.896447622333077,0.10355237766692305,0.9270871525707958,0.07291284742920423,0.7320361185944492,0.26796388140555083,0.8479123862079493,0.1520876137920507,0.6950532372000768,0.30494676279992317,0.5262806910247051,0.4737193089752949,0.840220839923029,0.15977916007697102,0.9207620357960247,0.07923796420397533,0.925988600383035,0.07401139961696501,0.8292201500972444,0.17077984990275563,0.8571510275609671,0.14284897243903294,0.6900300794000336,0.3099699205999664,0.302437591450799,0.07291284742920423,0.19265083824238446,0.07291284742920423,94.62565540843929,154.92642428774948,-18.139787251922673,Low-temperature no-pulse comparator to decouple synthesis from CO2 stripping.
natural_pilot_two_step_N_ladder,N_timing,natural,300.0,"17, 19, 21, 18",30h:0.03; 78h:0.035,60.845824844814445,9.608032223380812e-11,19703.21247348017,4.876378527771999e-15,1000000000000.0001,1579138.321454132,31,154.97815592905488,1.0375862473687835e-08,118823.59125884222,8.732156942711256e-14,1000000000000.0,218595.97134442301,32,0.9205738120429839,0.07942618795701606,0.8628584449188352,0.13714155508116477,0.8015539249742313,0.19844607502576872,0.77069774874301,0.22930225125699,0.8188951723516135,0.18110482764838653,0.8008880060916984,0.1991119939083016,0.7672708071366,0.2327291928634,0.800324925629628,0.19967507437037202,0.29403322169241186,0.7059667783075881,0.7543774265243844,0.24562257347561556,0.76003040962578,0.23996959037422005,0.8227376295136336,0.1772623704863664,0.9406977744016248,0.05930222559837517,0.9703043672768052,0.029695632723194754,0.8382314306545517,0.16176856934544825,0.7628701121095381,0.23712988789046185,0.7860837602101542,0.21391623978984575,0.8202646791545567,0.1797353208454433,0.6594634574854444,0.34053654251455556,0.7980401247159342,0.20195987528406578,0.45569785493938586,0.5443021450606141,7.394127991078264e-08,0.9999999260587201,0.8191151601226303,0.1808848398773697,0.9086832706031089,0.09131672939689106,0.875757528838437,0.12424247116156295,0.8073340678995478,0.19266593210045224,0.8725395544451714,0.1274604455548286,0.7201735766330796,0.27982642336692043,0.5264928370703907,0.47350716292960926,0.8310565649700995,0.1689434350299005,0.6798795498172353,0.3201204501827647,0.8623979216842174,0.13760207831578264,0.8198462110453252,0.18015378895467482,0.8420510103173862,0.15794898968261384,0.8387945532192488,0.16120544678075122,0.2397138008342868,0.029695632723194754,0.20124944612139603,0.09131672939689106,94.22504912758059,154.97815592905488,-18.383783644290748,Two smaller nitrogen pulses to separate early growth and later metabolic response.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"21, 24, 23, 19",30h:0.03,58.815101606301404,8.952016108780693e-12,18726.960291776642,4.780282528132283e-16,1000000000000.0,1772632.6778653422,32,156.16566902965906,5.557876537661022e-09,121056.45431816332,4.5911443292843226e-14,1000000000000.0001,217499.46330673696,33,0.9405930176159746,0.05940698238402542,0.8500757844022765,0.1499242155977235,0.8016422441536063,0.1983577558463937,0.7125541705233169,0.28744582947668307,0.6319111195860331,0.3680888804139669,0.6557286944744634,0.34427130552553664,0.720414613223874,0.279585386776126,0.6716791154626995,0.32832088453730046,0.1703709674663431,0.8296290325336569,0.8475844106375462,0.1524155893624538,0.8457560221887032,0.15424397781129684,0.6935016611680287,0.3064983388319713,0.7453889774988652,0.25461102250113476,0.8326590719633008,0.1673409280366992,0.7764710911365468,0.22352890886345322,0.5033125423399166,0.4966874576600834,0.6594779176260752,0.3405220823739248,0.5939447804168103,0.4060552195831897,0.5047674499959648,0.4952325500040352,0.5909956410220721,0.40900435897792786,0.5831235579767343,0.4168764420232657,1.2729287893065364e-07,0.9999998727071211,0.816369250334474,0.18363074966552595,0.9062177628789414,0.0937822371210586,0.8003237130237144,0.1996762869762856,0.8729376731306374,0.12706232686936259,0.9322761211024368,0.06772387889756315,0.6686492547252539,0.33135074527474606,0.4505371533730975,0.5494628466269025,0.858625911757355,0.14137408824264497,0.7734030242504064,0.2265969757495936,0.7286573878875496,0.27134261211245037,0.8161966518774418,0.18380334812255816,0.8269193694473781,0.1730806305526219,0.8890732198133144,0.11092678018668556,0.29508172937788485,0.05940698238402542,0.2063485630610394,0.06772387889756315,94.12704744715285,156.16566902965906,-19.00804971931992,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"15, 22, 18, 22",,62.74211636323108,6.97086783925275e-11,15067.867515178228,4.626313466209353e-15,1000000000000.0001,2069861.7880473628,32,155.09949019923542,8.981191678867312e-09,116247.12328252634,7.725947468858627e-14,1000000000000.0001,224958.69550418,33,0.9230767229628363,0.07692327703716373,0.8938314032070275,0.10616859679297252,0.7574166520218008,0.24258334797819925,0.7387843310333752,0.26121566896662485,0.8354079879237978,0.16459201207620222,0.6906408451003107,0.30935915489968935,0.6165260891539155,0.3834739108460845,0.8312694205831347,0.1687305794168653,0.42051651284504415,0.5794834871549559,0.7199280484731263,0.2800719515268737,0.7219874871739008,0.2780125128260992,0.7261912358004265,0.27380876419957345,0.9130648208109629,0.08693517918903715,0.9399315393353014,0.06006846066469862,0.7499961755673833,0.2500038244326167,0.598341451809399,0.401658548190601,0.7047476773437484,0.29525232265625156,0.8199771927047994,0.1800228072952006,0.555737230293139,0.44426276970686096,0.6604131554793247,0.33958684452067533,0.5724655427686052,0.4275344572313948,1.2922221850909956e-07,0.9999998707777815,0.843740115742848,0.15625988425715198,0.8561721370915948,0.1438278629084052,0.783688098929679,0.21631190107032106,0.7603104880982885,0.2396895119017115,0.8385190118725668,0.16148098812743317,0.6506964595338895,0.34930354046611045,0.4506350742282475,0.5493649257717526,0.8366711781514062,0.16332882184859376,0.7258755128695574,0.2741244871304426,0.8741822075934408,0.12581779240655921,0.8443579251753626,0.15564207482463743,0.8506550807443685,0.14934491925563154,0.7640645979695282,0.2359354020304718,0.27229087029673266,0.06006846066469862,0.2303476856451725,0.12581779240655921,94.10009292086903,155.09949019923542,-18.5281332597766,Temperature-only perturbation for settings where nutrient action is constrained.
natural_pilot_lateN_stationary_probe,N_timing,natural,300.0,"18, 20, 20, 18",80h:0.05,60.5302189091633,1.0839079412087476e-10,15859.040236761624,6.834637689462593e-15,1000000000000.0001,1752594.7712112814,32,154.5654356456641,8.561834707528524e-09,115632.35962174129,7.404358724094325e-14,1000000000000.0,223245.25215172395,33,0.9218127064377704,0.07818729356222964,0.8722691122205274,0.1277308877794726,0.7950853888997116,0.2049146111002884,0.8486291815754893,0.15137081842451072,0.8248230612066044,0.17517693879339558,0.87224640295781,0.12775359704219003,0.8311705282872085,0.1688294717127915,0.8582693282536888,0.14173067174631115,0.35892340956005375,0.6410765904399462,0.7767176580965399,0.22328234190346008,0.7835505765494524,0.21644942345054763,0.7894951834313402,0.21050481656865982,0.9070204857986494,0.09297951420135064,0.9600362722222039,0.03996372777779611,0.8292894124810333,0.17071058751896673,0.6828463716022448,0.3171536283977552,0.7551979496258071,0.2448020503741929,0.7996255340893864,0.2003744659106136,0.6050314859325298,0.39496851406747024,0.7292265312279027,0.2707734687720973,0.49588467622225607,0.5041153237777439,8.847967511512061e-08,0.9999999115203249,0.8371592637828701,0.1628407362171299,0.8911402229526366,0.10885977704736338,0.8211400615337532,0.17885993846624682,0.8131830071054564,0.18681699289454357,0.872998658358217,0.127001341641783,0.7181449406134633,0.28185505938653665,0.509308451370083,0.49069154862991704,0.8385364196800318,0.16146358031996821,0.6823357452229826,0.31766425477701743,0.8668547861172168,0.13314521388278322,0.837427489000054,0.16257251099994596,0.8503895396041069,0.1496104603958931,0.8214407614418245,0.17855923855817546,0.23836540880169765,0.03996372777779611,0.2064249930833478,0.10885977704736338,93.48138941740775,154.5654356456641,-18.575951334767574,Late nitrogen addition to test stationary/growth split in secondary and aroma formation.
natural_pilot_EA_warm_early_noN,EA_temperature_Nstress,natural,300.0,"24, 23, 19, 17",,58.3800218582298,3.7775561306721144e-11,15650.267149711697,2.413732682347025e-15,1000000000000.0,2135799.1621420356,32,156.615551412311,2.6223327102988714e-09,115652.33940437093,2.2674272944277024e-14,1000000000000.0,224367.51125042085,33,0.9502018329311988,0.04979816706880125,0.8755962568718738,0.12440374312812619,0.8254638324134148,0.1745361675865852,0.5613072843093974,0.43869271569060264,0.4555335858895958,0.5444664141104042,0.5123441110939584,0.4876558889060416,0.6825339847743227,0.3174660152256773,0.4726203711594439,0.5273796288405561,0.3030627191180773,0.6969372808819227,0.872565396640841,0.12743460335915902,0.8599899953631307,0.1400100046368693,0.6463648033711545,0.35363519662884546,0.614548671533605,0.38545132846639496,0.7350178843955623,0.26498211560443774,0.7151267984257951,0.2848732015742049,0.4108569164675344,0.5891430835324656,0.6411582590628812,0.35884174093711885,0.4725151864270442,0.5274848135729557,0.45460108061445903,0.545398919385541,0.5089675685320371,0.49103243146796294,0.5886636002075101,0.4113363997924899,1.336373267349284e-07,0.9999998663626732,0.842911423812634,0.15708857618736605,0.8076602537870209,0.1923397462129791,0.5729430591393169,0.42705694086068313,0.9053485589839148,0.09465144101608525,0.9427916810597111,0.05720831894028888,0.6105273853540679,0.3894726146459321,0.3812792098152659,0.618720790184734,0.8594743246958042,0.1405256753041958,0.7597040977738087,0.24029590222619135,0.7534748941191902,0.24652510588080978,0.8421261471745902,0.15787385282540978,0.8201771162582502,0.17982288374174982,0.8782051753984885,0.12179482460151148,0.3389810399825077,0.04979816706880125,0.23885734137004755,0.05720831894028888,93.1644084519837,156.615551412311,-19.759201567855264,Warm early natural fermentation without nutrient pulse to excite ethanol-biomass and nitrogen-limited EA directions.
