mode,batch,n,scale_factor,rmse,mae,bias,relative_rmse,relative_bias,corr
threshold,25170,191,1.977124770704131,0.3879836204260982,0.3371678258808468,-0.1799724828563436,1.2574783272408148,-0.5833016776404826,0.3169262012251996
threshold,25171,117,7.7535998609248304,0.1595158069689312,0.1228063478352048,-0.0757999428789383,0.3565095690849063,-0.1694089475263988,0.9707959165776586
