species,pool,n,rmse,mae,bias,median_obs,median_pred,relative_rmse_to_median,relative_bias_to_median,co2_mode,partition_mode,mode,aroma_wsse,aroma_n_residuals
ethyl_acetate,condensate,17,0.0806220013411058,0.0727914159670066,0.0727914159670066,0.0124728124917586,0.0843324373181693,6.463818917696094,5.83600659555358,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_acetate,retained,17,4.338076115888339,3.4039348992409373,-3.0521804420855987,8.2939076996105,5.652265955583108,0.5230436933958241,-0.3680027018179784,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_acetate,total,52,3.240499769884108,2.203116516660549,-1.840233651363678,7.589930803008623,4.82233449238359,0.4269472086095415,-0.2424572369795803,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_octanoate,condensate,44,0.0099725014747612,0.0059244341286073,-0.0036136714197939,0.0123860937979568,0.010311622458602,0.8051369251221256,-0.2917523053466697,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_octanoate,retained,44,0.0221508715456377,0.0155296278122519,-0.0059455616633736,0.0345240197951251,0.0358386958379988,0.6416075438806674,-0.1722152199731139,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_octanoate,total,52,0.0251238985690329,0.016414332040738,-0.0080885818396033,0.0446677583333333,0.0434953023611429,0.562461594368488,-0.1810832273973162,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
isoamyl_acetate,condensate,44,0.5653291469617255,0.3202490817710868,-0.2578029720181904,0.4795121642665957,0.3193115874339016,1.1789672694255529,-0.5376359375835541,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
isoamyl_acetate,retained,44,1.91964371301878,1.3987445728335186,-0.7568587391471152,5.20307736132758,4.908257816072662,0.3689439114026507,-0.1454636720900111,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
isoamyl_acetate,total,52,2.1151034163086058,1.4115031986920985,-0.8585599094475664,5.258392259104463,4.508426465597934,0.4022338601017226,-0.1632742228313307,instant,water_ethanol_GF_as_glucose,instant,8925.015211628717,366
ethyl_acetate,condensate,17,0.048799332850267,0.0403122878822469,0.0372025719722228,0.0124728124917586,0.0542312509778573,3.9124562228856488,2.9826931172744064,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_acetate,retained,17,2.880948209945675,2.04936861015052,-1.6136849790359515,8.2939076996105,7.122598733223914,0.3473571583248956,-0.1945626883587978,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_acetate,total,52,2.3994591376231345,1.5954376407200277,-1.017105653841052,7.589930803008623,6.386377803476737,0.3161371559108282,-0.1340072367244606,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_octanoate,condensate,44,0.0138383290500596,0.0089646859375866,-0.0065422011852786,0.0123860937979568,0.0058739504798336,1.117247235148692,-0.5281892170361123,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_octanoate,retained,44,0.0216936416515917,0.0154992993418018,-0.0050638703354942,0.0345240197951251,0.0374194853606902,0.6283637241644434,-0.1466767301590203,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
ethyl_octanoate,total,52,0.0258856030998733,0.0167848916807742,-0.0098205220560386,0.0446677583333333,0.0420085038739891,0.5795142641075003,-0.219857060718224,threshold,water_ethanol_GF_as_glucose,threshold,5282.593048441163,366
