candidate,family,t,species,temperature_c,X,N,G,F,E,CO2,CO2_rate,Q_CO2_vol,A_liq,A_loss,A_synthesis_rate,A_loss_rate,K_lg,A_cond_final,termination
fructose_rich_iG_probe,sugar_initial,0.0,ethyl_acetate,18.0,0.45,0.26,25.0,150.0,0.0,0.0,0.17712609447299718,0.090209140684339,0.0,0.0,0.039703055025111726,0.0,0.004621654457233653,4.697876638407635,optimal
fructose_rich_iG_probe,sugar_initial,0.0,isoamyl_acetate,18.0,0.45,0.26,25.0,150.0,0.0,0.0,0.17712609447299718,0.090209140684339,0.0,0.0,0.0013308286890553168,0.0,0.005209757702825325,0.19309594934807547,optimal
fructose_rich_iG_probe,sugar_initial,0.0,ethyl_octanoate,18.0,0.45,0.26,25.0,150.0,0.0,0.0,0.17712609447299718,0.090209140684339,0.0,0.0,0.0003471244816201976,0.0,0.006113192329969098,0.04826144640747749,optimal
fructose_rich_iG_probe,sugar_initial,3.0,ethyl_acetate,18.0,0.5789502295784184,0.3251510988663475,24.355822661729807,149.40143485116405,0.7005671007485434,0.6692415477304839,0.2230805159101613,0.11361342157714964,0.14578382215608088,0.00022930146831250372,0.048671041208131115,7.643382277083454e-05,0.004614733327139058,4.697876638407635,optimal
fructose_rich_iG_probe,sugar_initial,3.0,isoamyl_acetate,18.0,0.5789502295784184,0.3251510988663475,24.355822661729807,149.40143485116405,0.7005671007485434,0.6692415477304839,0.2230805159101613,0.11361342157714964,0.004806656120332038,8.515086675383138e-06,0.0016050570690024737,2.8383622251277125e-06,0.005197507519190243,0.19309594934807547,optimal
fructose_rich_iG_probe,sugar_initial,3.0,ethyl_octanoate,18.0,0.5789502295784184,0.3251510988663475,24.355822661729807,149.40143485116405,0.7005671007485434,0.6692415477304839,0.2230805159101613,0.11361342157714964,0.0012572803219905817,2.611027751640431e-06,0.0004199637832474074,8.703425838801436e-07,0.006092962083166276,0.04826144640747749,optimal
fructose_rich_iG_probe,sugar_initial,6.0,ethyl_acetate,18.0,0.7446901756541099,0.3147664812301114,23.551790983823643,148.63976702713583,1.578286542315782,1.5077141464579458,0.27949086624248726,0.1423428374451059,0.3299062779428829,0.0008782100405986222,0.06159045478636275,0.00021630285742870614,0.004606128587977777,4.697876638407635,optimal
fructose_rich_iG_probe,sugar_initial,6.0,isoamyl_acetate,18.0,0.7446901756541099,0.3147664812301114,23.551790983823643,148.63976702713583,1.578286542315782,1.5077141464579458,0.27949086624248726,0.1423428374451059,0.010889726348413137,3.2614072679888376e-05,0.002035723071361869,8.032995334835079e-06,0.0051823283906788035,0.19309594934807547,optimal
fructose_rich_iG_probe,sugar_initial,6.0,ethyl_octanoate,18.0,0.7446901756541099,0.3147664812301114,23.551790983823643,148.63976702713583,1.578286542315782,1.5077141464579458,0.27949086624248726,0.1423428374451059,0.0028471463828226963,9.988519380522504e-06,0.0005324145174869991,2.4591638762940233e-06,0.006067950864804945,0.04826144640747749,optimal
fructose_rich_iG_probe,sugar_initial,9.0,ethyl_acetate,18.0,0.9574794918152421,0.2965899373224839,22.555919344494818,147.67284372350312,2.6709947237379823,2.551562357102422,0.3479494035481588,0.17720831472684462,0.5621043765207115,0.0022514831922969005,0.07785712390984227,0.0004577577172327594,0.004595519492915123,4.697876638407635,optimal
