candidate,family,horizon_h,temperature_c,status,error,score,new_logdet,new_min_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace,new_trace_inv,new_var_k_EA_growth,new_var_k_EA_stationary,new_var_k_IAA_growth,new_var_k_IAA_stationary,new_var_k_EO_growth,new_var_k_EO_stationary,combined_logdet,combined_min_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace,combined_trace_inv,combined_var_k_EA_growth,combined_var_k_EA_stationary,combined_var_k_IAA_growth,combined_var_k_IAA_stationary,combined_var_k_EO_growth,combined_var_k_EO_stationary,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,mean_var_reduction,worst_var_reduction,solve_ok
cold_synthesis_hot_stripping,aroma_partition,192.0,"15, 16, 24, 25",ok,,41.59594865856126,29.18377151260007,2.710593518868577,0.00034118202868297493,2930.9867341494596,13763.56200943838,0.7672145099616015,0.23346930161046836,0.0014134259827108175,0.16260808316862366,0.00047947381602287726,0.36802165597766634,0.0012225694061094613,29.369104384830553,2.9605935188685795,0.00037263776789647784,2683.571248413578,13765.06200943838,0.7166949532888939,0.22053960725084723,0.0013555596607315887,0.15624270075977287,0.0004656171206289252,0.3369450674987823,0.0011464009981309337,0.05513490203325142,0.9448650979667486,0.0003388899165384569,0.9996611100834616,0.03906067534618592,0.960939324653814,0.00011640428062284844,0.9998835957193771,0.08423626721164065,0.9157637327883593,0.00028660025067913443,0.9997133997493208,0.9701377101601802,0.9157637327883593,True
fructose_rich_iG_probe,sugar_initial,192.0,"18, 20, 24, 22",ok,,41.1494120701726,29.437832547800234,2.4577266293198985,0.00025911226634556624,3859.3309923288057,16418.5547061194,0.8418252857930735,0.2546822435539294,0.0012854080414327939,0.17827031803713886,0.0004356110872035299,0.4060429136057948,0.0011087914675740331,29.64051403547799,2.707726629319902,0.0002854616471759004,3503.097561066771,16420.0547061194,0.7812662550098933,0.23938222860879452,0.0012265997035403914,0.17065074937665056,0.0004214873743533134,0.36855372066436626,0.001031469282188364,0.059845557391580866,0.9401544426084192,0.0003066499271116976,0.9996933500728883,0.0426626875148134,0.9573373124851866,0.00010537184400981574,0.9998946281559902,0.0921384305346453,0.9078615694653547,0.0002578673215785603,0.9997421326784215,0.9674472392443767,0.9078615694653547,True
low_temp_growth_separation_plus_co2,legacy_plus,168.0,"15, 17, 20, 22",ok,,40.28066121559252,27.261289733704757,2.394303863087831,0.0005075851664638986,1970.112733921124,8171.019496472018,0.8657608996769431,0.26094472724567475,0.003017843161548636,0.18256488576623364,0.0010236220171122186,0.4156023807677548,0.002607440718619039,27.46953445241298,2.6443038630877664,0.0005605547002221052,1783.9472215713758,8172.519496472018,0.8019687153916149,0.24482636987736664,0.0028688589462255326,0.1745622736074963,0.000987992419246218,0.3763104279563528,0.0024127925849273236,0.061206592714168034,0.9387934072858319,0.0007172147394252422,0.9992827852605748,0.043640568576436355,0.9563594314235636,0.000246998105799547,0.9997530018942005,0.09407760736539864,0.9059223926346014,0.0006031981486446235,0.9993968018513554,0.9665846367250213,0.9059223926346014,True
glucose_rich_growth_yield,sugar_initial,168.0,"18, 22, 24, 20",ok,,38.71402752378188,27.542864966825675,1.8013810923170694,0.0002617696242978641,3820.15294051885,11912.539733065732,1.1486267793664162,0.3475794436905635,0.0016962321972297753,0.24327459492812722,0.0005733913327162755,0.5540477128477596,0.0014554043700199444,27.81581982011037,2.051381092316801,0.00029808781303078673,3354.716148347599,11914.039733065732,1.0389950260279048,0.31969792369450983,0.001594142836560326,0.22930410480836363,0.0005487883624364264,0.4865265620308226,0.0013235042952120166,0.0799244812433254,0.9200755187566746,0.0003985357107342244,0.9996014642892658,0.05732602643139502,0.9426739735686049,0.000137197091157895,0.9998628029088421,0.12163164099423224,0.8783683590057678,0.0003308760751265085,0.9996691239248735,0.9567085404090048,0.8783683590057678,True
viable_biomass_step,biomass_input,168.0,"18, 22, 22, 18",ok,,36.197913194469024,26.495030233880772,1.277527390413685,0.00018635482244260971,5366.107444351017,11859.310486302931,1.621023558191399,0.4917097740581243,0.0017904584367335573,0.34377820447370716,0.0006060563771182861,0.7815987014306714,0.0015403634150441743,26.87279061801589,1.5275273904136495,0.00022281456907332468,4488.036864729955,11860.810486302931,1.4115263081238592,0.43774909655109917,0.0016404240457910026,0.31653716063972126,0.0005695704560004657,0.6536800247864145,0.0013500316448327371,0.10943727457552391,0.8905627254244761,0.00041010601308817473,0.9995898939869118,0.07913429047646749,0.9208657095235325,0.00014239261456968692,0.9998576073854303,0.16342000685028368,0.8365799931497163,0.00033750791255821597,0.9996624920874417,0.9411864035929182,0.8365799931497163,True
combined_stress_long_horizon,integrated,240.0,"15, 22, 25, 18",ok,,35.29536956522898,27.17005045573572,1.0834630363870343,0.00010596916594938049,9436.707282169999,17702.250446158585,1.926889251701703,0.59175442805883,0.0013576941667887547,0.4101056182932813,0.0004615025054181737,0.9220298573912648,0.0011801512861197984,27.613713350436985,1.3334630363870617,0.00013041747248135308,7667.684252529726,17703.750446158585,1.639131350582507,0.5153736998647903,0.00122021912793677,0.3719383112088056,0.0004276438907037531,0.7491665038728099,0.001004972617460618,0.1288434254815713,0.8711565745184287,0.00030505478320441167,0.9996949452167956,0.09298457817413973,0.9070154218258603,0.00010691097310358219,0.9998930890268964,0.18729162671736901,0.812708373282631,0.00025124315537012714,0.9997487568446298,0.931702860119207,0.812708373282631,True
hot_synthesis_cold_retention,aroma_partition,192.0,"24, 25, 17, 15",ok,,34.35696705437138,27.12209745719435,0.9439794963479378,8.312563010143511e-05,12029.983998674503,19636.19911995447,2.1802344867772216,0.6569230576269928,0.0013298522498624652,0.46196399117329473,0.0004482403355670971,1.0584358478554616,0.001133497536042714,27.618850169354303,1.193979496347936,0.0001051379965672282,9511.309256882898,19637.69911995447,1.817576973296165,0.564125136763414,0.0011782421886685508,0.4141016933480374,0.00041091426375204436,0.836817144204741,0.0009438425275520107,0.14103128475497867,0.8589687152450214,0.0002945605483453799,0.9997054394516546,0.10352542375111107,0.8964745762488889,0.00010272856634892537,0.999897271433651,0.2092042868880024,0.7907957131119976,0.00023596063283184523,0.9997640393671682,0.9242676258097303,0.7907957131119976,True
ethanol_partition_late_pulse,aroma_partition,216.0,"18, 20, 24, 22",ok,,33.73170702849559,25.92476011212326,0.9167606604216222,0.00011580317523003543,8635.341803137655,13702.70840142767,2.263386937738048,0.6891214512471108,0.0018289979326535776,0.48070017729832853,0.0006194611003009608,1.0895404335346206,0.0015764166250335212,26.438962313282452,1.1667606604216665,0.00014737796715562094,6785.274755106842,13704.20840142767,1.8763223806324767,0.587664635422108,0.0016145205744972863,0.4290823077031228,0.000566489175410115,0.8560868281463674,0.0013075996109712376,0.14691615944319167,0.8530838405568083,0.0004036301452388422,0.9995963698547612,0.10727057735486302,0.892729422645137,0.00014162229441901794,0.999858377705581,0.21402170789267871,0.7859782921073213,0.00032689990405040904,0.9996731000959496,0.9218199004942598,0.7859782921073213,True
ethanol_initial_challenge,ethanol,192.0,"18, 22, 25, 22",ok,,31.72036687314525,24.605000061061602,0.7405261454813923,0.0001164999925821098,8583.6915336728,11006.367128510967,2.818935205493012,0.865459744896381,0.0020228481840834935,0.5999767422990799,0.0006881952120535616,1.3490269497336178,0.0017607251677965905,25.232190652822474,0.9905261454813994,0.0001558240055819809,6417.496433011971,11007.867128510967,2.245273739993246,0.7112858067038325,0.001745335712729749,0.5216613583157229,0.0006188754165603418,1.0085452633841683,0.0014171004602322793,0.17782145238724395,0.8221785476127561,0.000436333929927773,0.9995636660700722,0.1304153401005921,0.8695846598994079,0.0001547188547589609,0.9998452811452411,0.2521363168545874,0.7478636831454126,0.0003542751164751703,0.9996457248835249,0.9064469271260691,0.7478636831454126,True
glucose_pulse_after_N_depletion,pulse_separation,192.0,"17, 20, 24, 22",ok,,16.08029351810488,17.487782365557102,0.13400230506304184,4.132820458111538e-05,24196.55076080761,5602.887757251744,15.421511835135103,4.678221630835999,0.003795518163571671,3.2748944406282776,0.001288087504739405,7.460027910767411,0.0032842472351038636,19.914205795661672,0.3840023050630426,0.00011842260674075808,8444.333624483754,5604.387757251744,6.564024381931725,2.1555837737990937,0.0022302072132899886,1.8004129610534272,0.0008469361433172198,2.6032800437106896,0.0016704600119078687,0.5388959456053573,0.46110405439464275,0.0005575518055527044,0.9994424481944473,0.45010324206376984,0.5498967579362302,0.00021173403667624113,0.9997882659633237,0.6508200135309525,0.34917998646904747,0.0004176150046474272,0.9995823849953526,0.726498982992174,0.34917998646904747,True
