relative_path,size_bytes
A15_technical_report.md,27575
figures/fig_01_dataset_coverage_and_operational_space.png,73830
figures/fig_02_lab_vs_pilot_initial_conditions_kpis.png,68358
figures/fig_03_density_sugar_regression_lab.png,89105
figures/fig_04_lab_operational_inputs_by_medium.png,111650
figures/fig_05_lab_transfer_fit_metrics.png,45585
figures/fig_06_pilot_fit_metrics.png,74489
figures/fig_07_lab_fim_transfer_summary.png,86491
figures/fig_08_estimability_counts_lab_and_pilot.png,54856
figures/fig_09_lab_mbdoe_selected_campaign.png,171172
figures/fig_10_pilot_mbdoe_selected_campaign.png,114473
figures/fig_11_pilot_co2_model_selection.png,53228
figures/fig_12_pilot_aroma_model_selection.png,61890
figures/fig_13_lab_synthetic_fit_MS007.png,146001
figures/fig_14_lab_synthetic_fit_MS009.png,149151
figures/fig_15_pilot_final_fit_25170.png,425464
figures/fig_16_pilot_final_fit_25171.png,402356
figures/fig_17_pilot_co2_benchmark_25170.png,179393
figures/fig_18_pilot_co2_benchmark_25171.png,165849
figures/fig_19_lab_fim_eigen_spectra.png,124045
README_bundle.md,970
source_data/Calibration_data_vl3.xlsx,78847
source_data/mosto_sintetico_vl3.xlsx,126115
source_snapshot/build_a15_bundle.py,46810
source_snapshot/pilot_2025_data_loader.py,16543
source_snapshot/run_new_must_glycerol_estimability_doe.py,79602
source_snapshot/run_pilot_2025_aroma_model_selection_doe.py,69720
source_snapshot/run_pilot_2025_calibration_estimability.py,56565
source_snapshot/run_pilot_2025_co2_solubility_integrated_doe.py,96844
source_snapshot/run_pilot_2025_global_model_selection_doe.py,54510
source_snapshot/run_secondary_joint_campaign_doe.py,60953
source_snapshot/source_manifest.csv,2564
tables/01_workbook_inventory.csv,1484
tables/02_laboratory_synthetic_batch_summary.csv,1711
tables/03_pilot_batch_summary.csv,1169
tables/04_density_sugar_fit.csv,429
tables/05_lab_calibration_fit_summary.csv,1178
tables/06_lab_residuals_by_state_aggregated.csv,4680
tables/07_lab_fim_summary.csv,766
tables/08_lab_parameter_estimability.csv,8235
tables/09_lab_profile_summary.csv,1138
tables/10_lab_selected_campaign_hybrid.csv,9899
tables/11_pilot_final_fit_metrics.csv,3175
tables/12_pilot_co2_model_selection.csv,3183
tables/13_pilot_secondary_model_selection.csv,1747
tables/14_pilot_aroma_model_selection.csv,4198
tables/15_pilot_parameter_estimability.csv,4188
tables/16_pilot_selected_campaign_global.csv,11935
tables/17_pilot_selected_campaign_co2.csv,3315
tables/18_lab_quality_flags.csv,170
tables/19_pilot_incidents_and_actions.csv,628
tables/20_pilot_co2_curation_decisions.csv,310
tables/21_pilot_co2_selected_parameters.csv,246
tables/22_transferability_decision_matrix.csv,1366
