tank_review_mapping,policy,block_index,start_h,end_h,setpoint_c,phase,hold_last_setpoint,watermark,candidate_only_not_for_physical_execution
TK33,operational_anchor_18C_N76,0,0.0,12.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,1,12.0,24.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,2,24.0,36.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,3,36.0,48.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,4,48.0,60.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,5,60.0,72.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,6,72.0,84.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,7,84.0,96.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,8,96.0,108.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,9,108.0,120.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,10,120.0,132.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
TK33,operational_anchor_18C_N76,11,132.0,144.0,18.0,optimized_window,False,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
