source_file,sheet,rows_including_header,data_rows_estimated,columns,header_preview
fermentation_model/data/mosto_sintetico_vl3.xlsx,00_Resumen,11,10,2,Campo;Valor
fermentation_model/data/mosto_sintetico_vl3.xlsx,Datos_homologados,87,86,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS007,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS008,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS009,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS010,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS011,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS012,11,10,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS013,10,9,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_sintetico_vl3.xlsx,MS014,10,9,92,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
