ensemble_member,optimized_information_gain,preliminary_information_gain,three_anchor_information_gain,optimized_vs_preliminary_delta,optimized_vs_three_anchor_delta,selected_information_gain
0,30.203876770086847,28.895312237063035,28.459584213340055,1.3085645330238123,1.7442925567467924,30.203876770086847
1,22.3278147853994,20.67966430802144,20.790110866834805,1.6481504773779605,1.5377039185645955,22.3278147853994
2,24.893991133938183,23.50260596696889,22.51239987040851,1.3913851669692932,2.381591263529671,24.893991133938183
3,20.648334646001967,19.44509634395033,19.18357146553384,1.2032383020516377,1.4647631804681254,20.648334646001967
4,20.323139809978993,18.95020511061863,18.0336132143208,1.3729346993603642,2.289526595658195,20.323139809978993
5,30.211725934835,28.85884179500434,28.770702239865013,1.3528841398306568,1.441023694969985,30.211725934835
6,21.34642956331957,20.339340698150682,20.815130420727936,1.007088865168889,0.5312991425916351,21.34642956331957
7,19.767557072652078,21.60359243285411,22.472347118877682,-1.8360353602020325,-2.704790046225604,19.767557072652078
8,23.962799849607652,22.29937127270448,22.76715400232162,1.663428576903172,1.1956458472860305,23.962799849607652
9,20.89002596973039,18.801964081976646,19.06614906565464,2.088061887753746,1.8238769040757532,20.89002596973039
10,26.09144005232176,25.098176525660318,23.734357379109415,0.993263526661444,2.3570826732123464,26.09144005232176
11,31.1495627550897,29.66597948407483,30.12582935836515,1.4835832710148722,1.0237333967245519,31.1495627550897
12,31.432613508024037,29.913195368019966,29.761683980452407,1.5194181400040705,1.67092952757163,31.432613508024037
13,17.26326990009922,16.004781457158533,15.66330935174837,1.2584884429406884,1.5999605483508503,17.26326990009922
14,23.32825351659302,21.97344896198295,21.834217953845975,1.3548045546100695,1.4940355627470439,23.32825351659302
15,17.94538088846694,16.750936766406458,16.60362686236746,1.1944441220604816,1.3417540260994798,17.94538088846694
16,27.922054218140214,26.587317738597402,26.17495969794137,1.334736479542812,1.7470945201988428,27.922054218140214
17,30.471532132093476,29.46916272006649,28.695889689239483,1.0023694120269866,1.775642442853993,30.471532132093476
18,25.02770657412376,23.500358424322418,23.129293386143008,1.527348149801341,1.8984131879807506,25.02770657412376
19,25.565510095019956,24.191868455095953,24.90685036668923,1.3736416399240028,0.6586597283307256,25.565510095019956
20,22.373133715956616,20.714997771707164,20.136925856344693,1.6581359442494517,2.2362078596119233,22.373133715956616
21,21.123256582288445,19.4690728582769,19.62008936968385,1.6541837240115456,1.5031672126045947,21.123256582288445
22,22.55035961788462,20.584445066577718,21.108661727598044,1.965914551306902,1.4416978902865765,22.55035961788462
23,31.045020024514866,29.87684850297445,29.381226380826956,1.1681715215404154,1.6637936436879102,31.045020024514866
24,25.86894759219548,24.481188324068338,23.78080821462863,1.387759268127141,2.088139377566847,25.86894759219548
25,14.786274032735935,12.995780598433516,13.680473355837297,1.7904934343024195,1.1058006768986388,14.786274032735935
26,23.94639521764655,22.532946210484685,22.480751194374445,1.4134490071618657,1.4656440232721053,23.94639521764655
27,24.0565759652325,22.561801198006737,21.844859767806764,1.4947747672257634,2.211716197425737,24.0565759652325
28,27.392359074220433,25.90980638575218,25.575337408206142,1.4825526884682532,1.8170216660142913,27.392359074220433
29,27.543513951318513,26.232182568264417,26.828693842126203,1.311331383054096,0.7148201091923099,27.543513951318513
30,18.32201595693832,17.536639537620214,16.99226523590455,0.785376419318105,1.3297507210337685,18.32201595693832
31,22.15002582823387,21.46887543208896,21.459929878123095,0.6811503961449077,0.6900959501107735,22.15002582823387
32,26.38626267928778,24.901925991128397,25.298724054811682,1.484336688159381,1.087538624476096,26.38626267928778
33,19.413182846488443,17.749723792717365,18.124641180758314,1.6634590537710778,1.2885416657301292,19.413182846488443
34,24.82024849673331,23.563776575844653,23.566398571066134,1.2564719208886572,1.2538499256671756,24.82024849673331
35,26.055591988560412,24.662986783813988,25.00310254530103,1.392605204746424,1.0524894432593825,26.055591988560412
36,14.006662851438076,12.664781031454776,12.975203290436706,1.3418818199832998,1.0314595610013697,14.006662851438076
37,27.407121936081584,26.27914481710638,25.892798099385512,1.1279771189752026,1.5143238366960716,27.407121936081584
38,25.470624671080767,24.2813104039527,23.176652859941466,1.1893142671280685,2.2939718111393006,25.470624671080767
39,18.26676030195321,16.338583180097867,16.406283041627514,1.9281771218553416,1.8604772603256947,18.26676030195321
40,24.133798674286123,22.690385710908405,23.130301030420096,1.4434129633777175,1.0034976438660266,24.133798674286123
41,24.074160386930384,22.52497561158675,21.52648019154419,1.5491847753436332,2.5476801953861923,24.074160386930384
42,26.159640731277467,24.57635244961192,25.137327876368847,1.5832882816655456,1.0223128549086198,26.159640731277467
43,28.833765168028474,27.656014358600256,27.033291346881075,1.1777508094282183,1.8004738211473992,28.833765168028474
44,24.198426544984937,22.952041777534877,23.576815179534993,1.2463847674500599,0.6216113654499438,24.198426544984937
45,21.063670895544217,19.444802044604078,20.439698483620308,1.6188688509401388,0.6239724119239085,21.063670895544217
46,25.44590915493269,24.11897647898599,23.688929045628978,1.3269326759467006,1.7569801093037114,25.44590915493269
47,17.52195089219357,15.629925959332173,15.292933172609064,1.8920249328613963,2.2290177195845047,17.52195089219357
48,22.71110920236649,21.080547286830683,21.067194898364573,1.6305619155358073,1.6439143040019175,22.71110920236649
49,24.061911234446807,22.44064923458664,22.764939892783556,1.6212619998601667,1.2969713416632516,24.061911234446807
50,28.19728498139727,27.112728889925418,27.101818067454463,1.0845560914718533,1.0954669139428077,28.19728498139727
51,26.35525022424424,24.881131341004153,25.294641379380803,1.474118883240088,1.060608844863438,26.35525022424424
52,21.512489638466175,19.685596546841342,20.078031756089285,1.8268930916248323,1.4344578823768899,21.512489638466175
53,29.777677041851558,28.28259436192806,28.043399722691785,1.4950826799234989,1.734277319159773,29.777677041851558
54,24.089287032501293,22.615020167824095,21.353913249629112,1.4742668646771975,2.7353737828721805,24.089287032501293
55,21.568453907641203,19.896381976468515,18.783017915812774,1.6720719311726882,2.785435991828429,21.568453907641203
56,22.759241278519394,21.53998354638264,20.89541955470779,1.2192577321367537,1.8638217238116042,22.759241278519394
57,19.82654302367902,18.533119389857266,18.9660490326084,1.293423633821753,0.8604939910706193,19.82654302367902
58,30.660559996278085,29.566061794613137,28.89059069411132,1.0944982016649476,1.7699693021667642,30.660559996278085
59,21.375453664194023,19.637691531979957,19.939835080850653,1.7377621322140655,1.43561858334337,21.375453664194023
60,22.794929046766928,21.570589668114128,21.25412371934897,1.2243393786528003,1.5408053274179565,22.794929046766928
61,25.37458014662042,24.06820635878854,24.54858091088698,1.3063737878318804,0.8259992357334411,25.37458014662042
