time_h,policies,conflict_type,status,required_approval
48.0,anchor_18C,sampling_and_nutrition_same_timestamp,ordered,sample_event_order
0.0,refined_2_A,sampling_and_nutrition_same_timestamp,ordered,sample_event_order
0.0,refined_2_B,sampling_and_nutrition_same_timestamp,ordered,sample_event_order
0.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
24.0,refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
28.0,refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
32.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
48.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
56.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
72.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
80.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
96.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
104.0,anchor_18C;refined_2_A;refined_2_B,simultaneous_manual_sampling,within_capacity,manual_sampling_capacity_per_time_slot
