group,source,intercept,slope,r2,rmse_g_l,n_points
natural,G_plus_F,-2118.6861064367745,2.1281137137928203,0.9963125839732064,3.539011755179251,88
natural,Y15,-2118.6861064367745,2.1281137137928203,0.9963125839732064,3.539011755179251,88
synthetic,G_plus_F,-2168.705300733159,2.1900367206242985,0.993652384754451,7.160568139267201,86
synthetic,Y15,-2168.705300733159,2.1900367206242985,0.993652384754451,7.160568139267201,86
