fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
best_multistart_07,natural,LAB007,Xd,13,0.08287996878548845,23.022213551524572,0.07984599059607403,1.3307665099345671,-0.028014160125621277
best_multistart_07,natural,LAB007,N,13,0.008907564682721731,59.117215562997416,0.02617627328873014,2.132481681100818,-0.02037725564153178
best_multistart_07,natural,LAB007,G,13,126.43489711265654,20.229583538025047,3.1186152882903326,1.247446115316133,0.6665740376005942
best_multistart_07,natural,LAB007,F,13,417.96414544806044,66.87426327168967,5.670192951865859,2.268077180746343,-0.45669260190682387
best_multistart_07,natural,LAB007,E,6,77.8413768139689,19.020369769276208,3.6018832299684775,1.78046668831874,-1.6586047199650205
best_multistart_07,natural,LAB007,Gly,13,2.833637958284953,23.131738434979212,0.4668748768538569,1.3339282195824484,-0.30188951731143204
best_multistart_07,natural,LAB008,X,13,2.178352992934918,333.15050305095343,0.4093477920316018,5.062307949260917,-0.19984854262008936
best_multistart_07,natural,LAB008,Xd,13,0.06802043072803209,18.894564091120024,0.07233492120154163,1.205582020025694,-0.025638037333167076
best_multistart_07,natural,LAB008,N,13,0.0063687455500194634,43.38129939196027,0.02213376388795297,1.8267520439706069,-0.0027833828331039956
best_multistart_07,natural,LAB008,G,13,468.99412046538805,75.03905927446209,6.006369186541055,2.402547674616422,4.076729454480195
best_multistart_07,natural,LAB008,F,13,762.9811747469053,122.07698795950486,7.660995992422643,3.064398396969057,4.843560987176617
best_multistart_07,natural,LAB008,E,6,325.03401301257395,79.61081054629011,7.360185833394131,3.6425908944570877,-6.333673766397156
best_multistart_07,natural,LAB008,Gly,13,6.355624928677271,51.88265247899814,0.6992097148087025,1.9977420423105783,-0.5404734275045805
