medium,batch,source_file,sample_id,time_h,temperature_c,density,brix,X_viable_mcells_ml,X_total_mcells_ml,X_dead_direct_mcells_ml,X_dead_mcells_ml,X_dead_inferred,X_viable_kg_m3,X_total_kg_m3,X_dead_kg_m3,G_g_l,F_g_l,S_GF_g_l,S_Y15_g_l,S_observed_g_l,YAN_mg_l,N_kg_m3,N_pulse_mg_l,N_pulse_kg_m3,glycerol_g_l,ethanol_percent_vv,ethanol_source,E_g_l,ethyl_acetate_total,isoamyl_acetate_total,ethyl_octanoate_total,Condicion,Replica,Variedad,Levadura,Adicion
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-01,0.0,18.0,1067.7,16.9,13.13,13.44,0.3099999999999987,0.3099999999999987,False,0.39390000000000003,0.40319999999999995,0.009299999999999961,75.04,70.80999999999999,145.85,145.85,145.85,230.76,0.23076,0.0,0.0,0.99,1.23,ETANOL,9.707652,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-02,19.0,18.0,1064.3,16.2,28.07,28.53,0.46000000000000085,0.46000000000000085,False,0.8421,0.8559,0.013800000000000026,70.28,75.43,145.71,145.71,145.71,182.72,0.18272,0.0,0.0,1.2,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-03,26.0,18.0,1061.1,15.6,25.69,25.73,0.03999999999999915,0.03999999999999915,False,0.7707,0.7719,0.0011999999999999743,68.27,70.58,138.85,138.85,138.85,157.42,0.15742,0.0,0.0,1.28,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-04,43.0,18.0,1050.7,13.0,17.9,35.71,17.810000000000002,17.810000000000002,False,0.5369999999999999,1.0713,0.5343,52.25,65.46,117.71,117.71,117.71,60.16,0.06016,0.0,0.0,2.9,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-05,50.0,18.0,1044.3,11.6,58.83,59.52,0.6900000000000048,0.6900000000000048,False,1.7649,1.7856,0.020700000000000145,45.2,59.53999999999999,104.74,104.74,104.74,19.0,0.019,0.0,0.0,3.58,3.87,ETANOL,30.543588000000003,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-06,67.0,18.0,1032.3,8.5,57.76,57.91,0.14999999999999858,0.14999999999999858,False,1.7328,1.7372999999999998,0.004499999999999957,26.84,48.19,75.03,75.03,75.03,5.0,0.005,0.0,0.0,4.47,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-N,68.0,,,,,,,,False,,,,,,,,,,,80.0,0.08,,,,,,,,,,,,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-07,74.0,18.0,1022.5,6.1,56.3,56.37,0.07000000000000028,0.07000000000000028,False,1.6889999999999998,1.6910999999999998,0.0021000000000000085,18.85,38.6,57.45,57.45,57.45,35.86,0.03586,0.0,0.0,4.43,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-08,91.0,18.0,1014.3,4.1,65.21,65.82,0.6099999999999994,0.6099999999999994,False,1.9562999999999997,1.9745999999999997,0.018299999999999983,8.72,27.939999999999998,36.66,36.66,36.66,9.0,0.009000000000000001,0.0,0.0,5.7,8.069999999999999,ETANOL,63.69166799999999,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-09,98.0,18.0,1009.3,2.9,68.05,69.51,1.460000000000008,1.460000000000008,False,2.0414999999999996,2.0853,0.043800000000000235,5.28,23.02,28.3,28.3,28.3,7.0,0.007,0.0,0.0,5.68,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-10,115.0,21.0,998.8,0.3,28.96,31.26,2.3000000000000007,2.3000000000000007,False,0.8688,0.9378,0.06900000000000002,0.46,6.19,6.65,6.65,6.65,43.0,0.043000000000000003,0.0,0.0,6.62,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-11,122.0,21.0,994.4,-0.9,68.05,70.12,2.0700000000000074,2.0700000000000074,False,2.0414999999999996,2.1036,0.06210000000000022,0.15,3.54,3.69,3.69,3.69,11.0,0.011,0.0,0.0,6.4,,,,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
natural,LAB004,mosto_natural_xthiol.xlsx,ING26-LAB004-12,146.0,21.0,994.9,22.6,,,,,False,,,,0.04,0.10999999999999999,0.15,0.15,0.15,25.0,0.025,0.0,0.0,6.15,10.58,ETANOL,83.501592,,,,Condición A,R3,Sauvignon blanc,Zymaflore X5,
