medium,batch,state,n,base_weighted_rmse,best_weighted_rmse,base_rmse,best_rmse,best_minus_base_weighted_rmse,status
natural,LAB004,X,12,5.664515998726199,5.289520106496964,0.41854704892872313,0.4287365616063591,-0.3749958922292356,ok
natural,LAB004,Xd,12,2.405153747538726,2.4402225553860077,0.1538814648241863,0.15585641748189719,0.035068807847281835,ok
natural,LAB004,N,13,2.1529562926684815,2.004923271465415,0.02614389135298919,0.02439976682812128,-0.14803302120306672,ok
natural,LAB004,G,13,0.94104098472137,1.427401697739118,2.3526024618034254,3.568504244347795,0.48636071301774797,ok
natural,LAB004,F,13,2.2851069234351824,2.4686493582254263,5.712767308587956,6.171623395563566,0.1835424347902439,ok
natural,LAB004,E,5,3.6665426888527626,3.2301226264085376,7.547656503041397,6.6529267321721095,-0.43642006244422493,ok
natural,LAB004,Gly,13,1.8310136074430243,1.7229843929224822,0.6408547626050585,0.6030445375228687,-0.10802921452054215,ok
natural,LAB005,X,12,3.9083552478447423,3.6711326688920787,0.33500021338403696,0.34315417075954313,-0.23722257895266363,ok
natural,LAB005,Xd,12,2.5447254368154106,2.5327375682924065,0.18669019667507797,0.18610240428971073,-0.011987868523004153,ok
natural,LAB005,N,13,2.6680284215852663,2.616023884686632,0.03352868480720211,0.03294849714656445,-0.05200453689863416,ok
natural,LAB005,G,13,0.8616797214964294,1.243205138276281,2.154199303741074,3.1080128456907024,0.38152541677985163,ok
natural,LAB005,F,13,3.8729857112120336,3.0904870268221236,9.682464278030084,7.726217567055309,-0.78249868438991,ok
natural,LAB005,E,5,1.4106612635354263,1.7146725320372402,2.9097008913453126,3.4663449331270355,0.3040112685018139,ok
natural,LAB005,Gly,13,4.560493359354716,4.469784484332201,1.8517924806386112,1.8134154007062806,-0.09070887502251512,ok
natural,LAB006,X,14,5.386862600691572,5.6021617656281055,0.6982595417726603,0.7385204352230916,0.21529916493653367,ok
natural,LAB006,Xd,14,2.164540896621821,2.1664766749878854,0.13956850852333624,0.13967659279870046,0.0019357783660645111,ok
natural,LAB006,N,15,4.143895026879813,4.217729029761175,0.049963428389482076,0.05084113908958412,0.07383400288136244,ok
natural,LAB006,G,15,6.844644929002221,7.116293063572564,17.11161232250555,17.790732658931407,0.2716481345703432,ok
natural,LAB006,F,15,5.296646433720912,5.460045209200865,13.241616084302278,13.650113023002163,0.16339877547995307,ok
natural,LAB006,E,5,7.373353930324731,7.188743991180548,14.770447584326671,14.395531547546602,-0.1846099391441829,ok
natural,LAB006,Gly,15,3.2726045426635957,3.2294354004295585,1.1454115899322583,1.1303023901503455,-0.04316914223403723,ok
natural,LAB007,X,13,3.0859499588989494,2.890055044493879,0.247349023704277,0.258506573559429,-0.19589491440507034,ok
natural,LAB007,Xd,13,1.4294565655421425,1.3307665099345671,0.08576739393252855,0.07984599059607403,-0.09869005560757538,ok
natural,LAB007,N,13,2.29195903068642,2.132481681100818,0.0280698481644368,0.02617627328873014,-0.1594773495856021,ok
natural,LAB007,G,13,0.9219561635633982,1.247446115316133,2.304890408908496,3.1186152882903326,0.32548995175273476,ok
natural,LAB007,F,13,2.585016290687057,2.268077180746343,6.462540726717642,5.670192951865859,-0.31693910994071395,ok
natural,LAB007,E,6,2.3710271262733236,1.7804666883187392,4.802186690468806,3.6018832299684753,-0.5905604379545843,ok
natural,LAB007,Gly,13,1.5716420905190607,1.3339282195824482,0.5500747316816712,0.4668748768538569,-0.23771387093661245,ok
natural,LAB008,X,13,5.376091349206109,5.062307949260917,0.3968194333844299,0.4093477920316018,-0.31378339994519244,ok
natural,LAB008,Xd,13,1.409342392086192,1.205582020025694,0.08456054352517152,0.07233492120154163,-0.20376037206049813,ok
natural,LAB008,N,13,1.882824619689382,1.826752043970607,0.02280949560911817,0.022133763887952972,-0.056072575718775,ok
natural,LAB008,G,13,2.4393477077661543,2.4025476746164216,6.098369269415386,6.006369186541054,-0.03680003314973268,ok
natural,LAB008,F,13,3.8900444140549464,3.064398396969057,9.725111035137365,7.6609959924226425,-0.8256460170858895,ok
natural,LAB008,E,6,4.672647767567845,3.6425908944570877,9.444954099842745,7.360185833394131,-1.0300568731107576,ok
natural,LAB008,Gly,13,2.2709732909477505,1.997742042310578,0.7948406518317126,0.6992097148087024,-0.2732312486371724,ok
natural,LAB009,X,12,7.4772449693032295,7.080104800936451,0.47160876640180044,0.4657172167469408,-0.39714016836677857,ok
natural,LAB009,Xd,12,0.2727801492685528,0.3561138740222006,0.016366808956113168,0.02136683244133204,0.08333372475364781,ok
natural,LAB009,N,12,1.6168792851049552,1.6629474282515804,0.019579568787953635,0.020118757465171274,0.04606814314662522,ok
natural,LAB009,G,12,3.4516383268740896,3.35124108708544,8.629095817185224,8.378102717713599,-0.10039723978864945,ok
natural,LAB009,F,12,4.435950662470586,3.7886829203628984,11.089876656176465,9.471707300907244,-0.6472677421076876,ok
natural,LAB009,E,5,4.840919759578981,3.8543673559922724,9.688300428959476,7.715067994150912,-0.9865524035867081,ok
natural,LAB009,Gly,12,3.208793548095578,2.961319079846243,1.1230777418334523,1.0364616779461848,-0.24747446824933483,ok
natural,LAB010,X,9,8.721487185111261,8.319719599182704,0.8033400729640416,0.8044901099242698,-0.40176758592855677,ok
natural,LAB010,Xd,9,1.558761973134091,1.558761973134091,0.09352571838804546,0.09352571838804546,0.0,ok
natural,LAB010,N,4,6.3404565205424195,6.3404565205424195,0.0768840432079375,0.0768840432079375,0.0,ok
natural,LAB010,G,4,10.226790945049313,9.324832657370868,25.566977362623284,23.31208164342717,-0.9019582876784451,ok
natural,LAB010,F,4,10.16761501953769,10.070625570134828,25.419037548844223,25.176563925337067,-0.09698944940286225,ok
natural,LAB010,E,4,10.521802396702848,10.480052345433222,21.043641097426832,20.960134172052786,-0.04175005126962539,ok
natural,LAB010,Gly,4,5.0127580100012405,4.824703239741977,1.754465303500434,1.688646133909692,-0.18805477025926365,ok
natural,LAB011,X,7,12.037034581823818,11.475885489254127,0.8419554907221306,0.8139164316235007,-0.5611490925696909,ok
natural,LAB011,Xd,7,1.7985790351425615,1.653883998213338,0.1079147421085537,0.09923303989280029,-0.14469503692922348,ok
natural,LAB011,N,4,7.194200970964936,7.1619504385348325,0.10992372152416066,0.10924996175427033,-0.032250532430103895,ok
