fit,medium,state,n,weighted_rmse,mean_bias
base_mixed_full17_l2,natural,E,44,6.3041882356554435,-0.026015625825224948
base_mixed_full17_l2,natural,F,91,5.825393106018548,-1.700288379977761
base_mixed_full17_l2,natural,G,91,5.183955016053588,-2.714094856988549
base_mixed_full17_l2,natural,Gly,91,3.52568936580092,-0.032910562374253306
base_mixed_full17_l2,natural,N,91,4.2845104669354255,-0.040007967721721466
base_mixed_full17_l2,natural,X,100,6.294272730750065,-0.0002281195857542557
base_mixed_full17_l2,natural,Xd,100,1.8339736926340278,0.01174124692630275
base_mixed_full17_l2,synthetic,E,40,4.018184345906412,-0.33492058227396093
base_mixed_full17_l2,synthetic,F,86,3.283532984525653,-0.8308314146194868
base_mixed_full17_l2,synthetic,G,86,4.056449112032376,-1.7330578040349256
base_mixed_full17_l2,synthetic,Gly,85,2.3136641516920533,-0.03559185250076451
base_mixed_full17_l2,synthetic,N,83,7.028135856248919,-0.08835653809616104
base_mixed_full17_l2,synthetic,X,76,3.8726367552868988,0.03093830372372367
base_mixed_full17_l2,synthetic,Xd,86,5.626924576431678,-0.39836569031691277
best_multistart_07,natural,E,44,6.0894703126915415,1.2102576381243666
best_multistart_07,natural,F,91,5.645065191678133,-2.982931856183126
best_multistart_07,natural,G,91,5.125190032834238,-2.5196734863966443
best_multistart_07,natural,Gly,91,3.3970063305468488,0.0185928480511753
best_multistart_07,natural,N,91,4.248073104324419,-0.03923111985690528
best_multistart_07,natural,X,100,6.013790096016286,-0.05772936547695801
best_multistart_07,natural,Xd,100,1.7925920952373982,0.013442679898514186
best_multistart_07,synthetic,E,40,3.267760873160251,0.572258641124425
best_multistart_07,synthetic,F,86,2.3516146066159136,-1.0290275883103157
best_multistart_07,synthetic,G,86,3.6327544218355308,-2.6502926244347864
best_multistart_07,synthetic,Gly,85,2.02306732906549,0.12837134754991936
best_multistart_07,synthetic,N,83,7.011591157795519,-0.08815902344509544
best_multistart_07,synthetic,X,76,3.683237275210992,-0.017546263457998267
best_multistart_07,synthetic,Xd,86,5.715000544043681,-0.4088916009502199
