,reduced6_local
mu0,0.15885964352994333
sN,18.0
qN,0.013546156447393452
qXG,0.1124999999999999
qXF,0.1124999999999999
betaG0,0.40958067602214493
sG,0.03
betaF0,0.30942116542029086
sF,0.03
qEG,0.515830386740921
qEF,0.5792278945042094
iG,0.0270361608651571
iE,0.025
Kd0,0.00044
m0,0.01
