parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15758506816941562,0.05,1.0
betaG0,0.40379662289394064,0.1,10.0
betaF0,0.29830149134128164,0.1,10.0
Kn0,0.008754726009411979,0.01,0.1
Kg0,13.459887429798021,0.01,10.0
Kf0,9.943383044709389,0.01,10.0
Kig0,42.87104847113293,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.705220876449294,1.0,100.0
Yxg,1.5582850515892572,0.1,10.0
Yxf,1.4699879569801857,0.1,10.0
Yeg,0.7798785326098847,0.1,10.0
Yef,0.5466267754052617,0.1,10.0
m0,0.01,0.0001,0.05
