,plus_qx_iG_logL2_10
mu0,0.15537780846777702
sN,18.0
qN,0.013310118529981589
qXG,0.0755014543706534
qXF,0.09160327493529084
betaG0,0.3995798062665501
sG,0.03
betaF0,0.2889247532908035
sF,0.03
qEG,0.5230426651395569
qEF,0.5200605577299623
iG,0.02018967723093791
iE,0.025
Kd0,0.00044
m0,0.01
