parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15885964352994333,0.05,1.0
betaG0,0.40958067602214493,0.1,10.0
betaF0,0.30942116542029086,0.1,10.0
Kn0,0.008825535751663519,0.01,0.1
Kg0,13.652689200738164,0.01,10.0
Kf0,10.31403884734303,0.01,10.0
Kig0,36.98750000000007,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.7272854589326,1.0,100.0
Yxg,1.412085720266164,0.1,10.0
Yxf,1.412085720266164,0.1,10.0
Yeg,0.794022001320871,0.1,10.0
Yef,0.5341958982917081,0.1,10.0
m0,0.01,0.0001,0.05
