,plus_qx_iG_logL2_100
mu0,0.1581401955008814
sN,18.0
qN,0.013499430711267232
qXG,0.10641790909800501
qXF,0.1097960750855309
betaG0,0.40581063126650635
sG,0.03
betaF0,0.30232796155220565
sF,0.03
qEG,0.5168264030777917
qEF,0.5575074265393714
iG,0.024655451885899536
iE,0.025
Kd0,0.00044
m0,0.01
