parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.150517461172223,0.05,1.0
betaG0,0.395069962840809,0.1,10.0
betaF0,0.2872718566560797,0.1,10.0
Kn0,0.00836208117623461,0.01,0.1
Kg0,13.1689987613603,0.01,10.0
Kf0,9.575728555202657,0.01,10.0
Kig0,57.43795186838887,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.574862251683461,1.0,100.0
Yxg,30.1034922344446,0.1,10.0
Yxf,30.1034922344446,0.1,10.0
Yeg,0.7325262325699933,0.1,10.0
Yef,0.555332682053477,0.1,10.0
m0,0.01,0.0001,0.05
