batch,status,termination,strategy
25026,ok,optimal,reduced6_local
25086,ok,optimal,reduced6_local
25150,ok,optimal,reduced6_local
25170,ok,optimal,reduced6_local
25026,ok,optimal,plus_qx_unregularized
25086,ok,optimal,plus_qx_unregularized
25150,ok,optimal,plus_qx_unregularized
25170,ok,optimal,plus_qx_unregularized
25026,ok,optimal,plus_iG_unregularized
25086,ok,optimal,plus_iG_unregularized
25150,ok,optimal,plus_iG_unregularized
25170,ok,optimal,plus_iG_unregularized
25026,ok,optimal,plus_qx_iG_unregularized
25086,ok,optimal,plus_qx_iG_unregularized
25150,ok,optimal,plus_qx_iG_unregularized
25170,ok,optimal,plus_qx_iG_unregularized
25026,ok,optimal,plus_qx_iG_logL2_10
25086,ok,optimal,plus_qx_iG_logL2_10
25150,ok,optimal,plus_qx_iG_logL2_10
25170,ok,optimal,plus_qx_iG_logL2_10
25026,ok,optimal,plus_qx_iG_logL2_50
25086,ok,optimal,plus_qx_iG_logL2_50
25150,ok,optimal,plus_qx_iG_logL2_50
25170,ok,optimal,plus_qx_iG_logL2_50
25026,ok,optimal,plus_qx_iG_logL2_100
25086,ok,optimal,plus_qx_iG_logL2_100
25150,ok,optimal,plus_qx_iG_logL2_100
25170,ok,optimal,plus_qx_iG_logL2_100
25026,ok,optimal,plus_qx_logL2_50
25086,ok,optimal,plus_qx_logL2_50
25150,ok,optimal,plus_qx_logL2_50
25170,ok,optimal,plus_qx_logL2_50
25026,ok,optimal,plus_iG_logL2_50
25086,ok,optimal,plus_iG_logL2_50
25150,ok,optimal,plus_iG_logL2_50
25170,ok,optimal,plus_iG_logL2_50
25026,ok,optimal,plus_qx_iG_pso_pilot_logL2_50
25086,ok,optimal,plus_qx_iG_pso_pilot_logL2_50
25150,ok,optimal,plus_qx_iG_pso_pilot_logL2_50
25170,ok,optimal,plus_qx_iG_pso_pilot_logL2_50
