parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.1581401955008814,0.05,1.0
betaG0,0.40581063126650635,0.1,10.0
betaF0,0.30232796155220565,0.1,10.0
Kn0,0.008785566416715634,0.01,0.1
Kg0,13.527021042216878,0.01,10.0
Kf0,10.077598718406856,0.01,10.0
Kig0,40.55898081397163,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.71458255412878,1.0,100.0
Yxg,1.486029906444065,0.1,10.0
Yxf,1.4403082749332392,0.1,10.0
Yeg,0.7851971742345843,0.1,10.0
Yef,0.5422850838577218,0.1,10.0
m0,0.01,0.0001,0.05
