parameter,back_transformed_value,physical_lower_bound,physical_upper_bound
mu0,0.15833767912655589,0.05,1.0
betaG0,0.41045888673461917,0.1,10.0
betaF0,0.30931782963183335,0.1,10.0
Kn0,0.008796537729253104,0.01,0.1
Kg0,13.681962891153972,0.01,10.0
Kf0,10.310594321061112,0.01,10.0
Kig0,36.98750000000007,10.0,1000.0
Kie0,40.0,10.0,1000.0
Kd0,0.00044,0.0001,0.05
Yxn,11.720739445450691,1.0,100.0
Yxg,1.5603074738241862,0.1,10.0
Yxf,1.4718363475734397,0.1,10.0
Yeg,0.7916220157777295,0.1,10.0
Yef,0.5331732005749711,0.1,10.0
m0,0.01,0.0001,0.05
