,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary
k_EA_growth,16.25342239257352,179.2675224707802,-7.473668265252481e-05,-0.0016383343328642513,-2.9787505024534678e-05,-0.0006167544866692382
k_EA_stationary,179.2675224707802,2684.736062165538,-5.146212860278058e-06,-8.505946319446323e-13,6.41277084569465e-14,-5.131527175766068e-12
k_IAA_growth,-7.473668265252481e-05,-5.146212860278058e-06,23.375321299260687,369.53383284572203,-6.385150894455926e-07,2.661580285694323e-13
k_IAA_stationary,-0.0016383343328642513,-8.505946319446323e-13,369.53383284572203,7927.474733560183,-1.2575029879946987e-05,-2.416239182418347e-12
k_EO_growth,-2.9787505024534678e-05,6.41277084569465e-14,-6.385150894455926e-07,-1.2575029879946987e-05,10.302925785106464,153.38327141577895
k_EO_stationary,-0.0006167544866692382,-5.131527175766068e-12,2.661580285694323e-13,-2.416239182418347e-12,153.38327141577895,3101.4195442357177
