iteration,best_objective
0,-4.427082269750111
1,-4.553405576817198
2,-4.7083702927127415
3,-4.7083702927127415
4,-4.7083702927127415
5,-4.718665224482551
6,-4.789815264584286
7,-4.789815264584286
8,-4.8098635767490086
9,-4.8098635767490086
10,-4.8098635767490086
11,-4.814383816595031
12,-4.916026435300312
