policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required
anchor_18C,isoamyl_acetate,6,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,41.79852048779545,21.309143577374243,122.32495197568619,77.80972335986476,119.60824384766022,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,7,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,19.92630025520341,9.74148473431147,53.826174118350764,119.60824384766022,139.53454410286363,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,8,104.0,168.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,96.39851067688784,47.880868259887336,237.61707653310282,139.53454410286363,235.93305477975147,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
anchor_18C,isoamyl_acetate,9,168.0,176.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,5.311635864404891,1.4916437991390694,11.035059153779343,235.93305477975147,241.24469064415635,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,415.31587248352906,0.07468767782760533,4681.300764665351,0.0,415.31587248352906,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,386.78122093025297,0.03226536071341268,6039.477778649472,415.31587248352906,802.097093413782,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,955.5104402138445,0.05971816090052684,16188.814792390353,802.097093413782,1757.6075336276267,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5497.806967233835,0.8004352066174292,78051.49511816475,1757.6075336276267,7255.414500861462,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2804.3956642258413,0.9794108788947824,36327.28514220666,7255.414500861462,10059.810165087303,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,6,56.0,72.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,5166.1527236094535,2.045112005349779,63431.98819342052,10059.810165087303,15225.962888696755,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,7,72.0,80.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2199.9490679068504,0.9365364057643433,27867.9313249939,15225.962888696755,17425.91195660361,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,8,80.0,96.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3468.1885595339218,1.531009259397095,44829.58002511106,17425.91195660361,20894.10051613753,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_acetate,9,96.0,104.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,1297.8977914154734,0.5845815591457892,16821.747754139855,20894.10051613753,22191.998307553,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,1,0.0,24.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,0.3334182956082301,0.05314985220401495,3.1460555044722005,0.0,0.3334182956082301,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,2,24.0,28.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.2992000754877432,0.02392532679341522,5.052804213329151,0.3334182956082301,0.6326183710959733,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,3,28.0,32.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.7765466048004401,0.0477144533211471,15.325854816642586,0.6326183710959733,1.4091649758964133,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,4,32.0,48.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,6.5914919510061445,0.8315581428297657,88.75719025806404,1.4091649758964133,8.000656926902558,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
refined_2_A,ethyl_octanoate,5,48.0,56.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,4.1400244080478465,2.013284459809817,38.35248283299808,8.000656926902558,12.140681334950404,3.552713678800501e-15,,not_applicable_for_sampling_nozzle,True,False
