policy,time_h,mix_policy,selected_for_operation,volume_l,yan_target_mg_l,organic_yan_contribution_mg_l,dap_yan_contribution_mg_l,organic_product_yan_mass_fraction,dap_yan_mass_fraction,organic_product_g,dap_fda_g,yan_reconstructed_mg_l,reconstruction_error_mg_l,mass_formula,organic_total_limit_g,dap_fda_total_limit_g,organic_total_product_g,dap_total_product_g,organic_total_within_limit,dap_total_within_limit,per_event_organic_limit_g,per_event_dap_fda_limit_g,composition_source,translation_blocker,blocker_reason
anchor_18C,48.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,,,,,80.0,0.0,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,,,,,,,,True,missing_authoritative_product_YAN_mass_fraction
refined_2_A,0.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,,,,,80.0,0.0,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,,,,,,,,True,missing_authoritative_product_YAN_mass_fraction
refined_2_A,4.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,,,,,80.0,0.0,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,,,,,,,,True,missing_authoritative_product_YAN_mass_fraction
refined_2_B,0.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,,,,,80.0,0.0,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,,,,,,,,True,missing_authoritative_product_YAN_mass_fraction
refined_2_B,4.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,,,,,80.0,0.0,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,,,,,,,,True,missing_authoritative_product_YAN_mass_fraction
