profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,direction,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0
mu0,0.05,0.05,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,59.398960671896845,10.0,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,
mu0,0.08214285714285716,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.1142857142857143,0.05,4885.692283298563,136.45070449212653,True,optimal,right,,0.14576107412687841,10.0,0.1,15.322467027156781,10.0,0.0008481210420227599,4.465524538263888,10.0,0.1,1.0972518559233158,
mu0,0.14642857142857146,0.05,4847.9157145244,60.897566943800484,True,optimal,right,,1.6418118765455496,0.9730041555689342,0.1,50.226856922107835,10.0,0.001216732605577743,6.192296445334335,0.1,0.8165662416047491,0.6199258943728343,
mu0,0.1785714285714286,0.05,4901.82676693495,168.71967176490034,True,optimal,right,,1.4177390144101627,0.8962298052692668,0.1,41.39955067481092,10.0,0.001712398459085803,7.46765382851878,0.1,0.8188949998434137,0.6446809210921152,
mu0,0.21071428571428574,0.05,4997.832653424985,360.73144474497167,True,optimal,right,,1.2286110051555175,0.859908235722255,0.1,40.633566602589084,10.0,0.0022674869304058227,8.575625454176928,0.13003702965448824,0.7998985381298751,0.6449749139920153,
mu0,0.24285714285714288,0.05,5130.474590880866,626.0153196567335,True,optimal,right,,1.1064759021808204,0.8436010112586536,0.1,40.15479834243799,10.0,0.002679847188027136,9.365735585032985,0.16006664640161566,0.7830463713129434,0.6465440012173589,
mu0,0.275,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.30714285714285716,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: infeasible",,,,,,,,,,,
mu0,0.3392857142857143,0.05,5749.327327233361,1863.7207923617225,True,optimal,right,,0.1,2.0504591920804986,0.1,65.4784764836213,10.0,0.007252337972481267,10.404876448141076,10.0,0.1059253852624961,1.281573667220302,
mu0,0.37142857142857144,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.4035714285714286,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.4357142857142858,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.4678571428571429,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
mu0,0.5,0.05,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
