profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,direction,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0
betaG0,1.847467123760221,1.847467123760221,4817.4669310525,0.0,True,baseline,baseline,,,0.9364635953678605,0.01,59.398960671896845,10.0,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
betaG0,1.7155051863487767,1.847467123760221,4821.087734864286,7.241607623573145,True,optimal,left,,,1.0400441883209204,0.01,69.7363721760039,10.0,0.0011666077719847563,6.059743011555133,0.1,0.7783437193863254,0.6682417312081613,0.05
betaG0,1.5835432489373322,1.847467123760221,4836.932901452325,38.931940799649965,True,optimal,left,,,1.099675239373217,0.1,68.27413044540855,10.83671625649068,0.0011444376932563268,5.311529103396061,0.1,0.7493285865940549,0.6876353126914683,0.12304172803515072
betaG0,1.451581311525888,1.847467123760221,4843.361815702033,51.78976929906639,True,optimal,left,,,1.01233623180494,0.1,70.9873860882018,11.811717145186847,0.0011944803548368948,5.412587577250051,0.1,0.7451934098662409,0.6952868465505074,0.12521156907188985
betaG0,1.3196193741144437,1.847467123760221,4851.371937151087,67.81001219717473,True,optimal,left,,,0.930596883765793,0.1,74.40718086585615,12.94456742563625,0.001257882038862757,5.532285653927159,0.1,0.7383164152699072,0.7069332822922618,0.12774880277194786
betaG0,1.1876574367029993,1.847467123760221,4860.9843920878175,87.03492207063573,True,optimal,left,,,0.8276731153095659,0.1,70.81645215180258,15.52475693622382,0.001042226288602337,5.513917325149651,0.1,0.7107902311634557,0.7506910641389132,0.12711276833338264
betaG0,1.0556954992915548,1.847467123760221,4863.2133883929755,91.4929146809518,True,optimal,left,,,0.6726645239884604,0.01,91.02047830221055,18.4347627248045,0.0012897276818639436,6.070072518314191,0.1,0.716552585363238,0.7550236392737332,0.05
betaG0,0.9237335618801105,1.847467123760221,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
betaG0,1.8474671237602212,1.847467123760221,4827.949231015355,20.96459992570999,True,optimal,right,,,1.1722029171475532,0.1,64.79960650417509,10.0,0.0009331241530161283,4.931125270035878,0.1,0.7770520129889837,0.6438587558956452,0.11511558999422095
betaG0,1.9794290611716656,1.847467123760221,4825.973683005601,17.01350390620246,True,optimal,right,,,1.1633330330021716,0.1,64.47226221994711,10.0,0.0007729968999500706,4.6314986246722585,0.1,0.7972139603726403,0.6118834503703902,0.10892952004716519
betaG0,2.11139099858311,1.847467123760221,4825.476966105374,16.020070105749255,True,optimal,right,,,1.1592979499583511,0.1,64.71619682258502,10.0,0.0006227208250033327,4.339145087371683,0.1,0.81430086903885,0.5842520979951117,0.10294420596504059
betaG0,2.243352935994554,1.847467123760221,4826.242390267723,17.550918430446472,True,optimal,right,,,1.1567333885252804,0.1,65.29948076996742,10.0,0.00048187683445917505,4.061292214118978,0.1,0.8296906311311413,0.5593107600463064,0.09734175178503664
betaG0,2.3753148734059986,1.847467123760221,4828.114615631385,21.295369157771347,True,optimal,right,,,1.1556815503240825,0.1,66.00169712402675,10.0,0.00034988348414627434,3.7996255268934354,0.1,0.8435127852101234,0.5368623180662696,0.0921437283151864
betaG0,2.507276810817443,1.847467123760221,4830.975014883692,27.01616766238476,True,optimal,right,,,1.1554358010939474,0.1,66.79485728395645,10.0,0.00022572628046273126,3.554038133152024,0.1,0.8561053534269485,0.5164195844841876,0.08731778689818893
betaG0,2.6392387482288875,1.847467123760221,4831.593709687507,28.253557270014426,True,optimal,right,,,1.1660242647950283,0.1,65.54413105104123,10.0,0.0001,3.3220605260185576,0.1,0.867046314718405,0.4925449024240646,0.08279329884114778
betaG0,2.7712006856403315,1.847467123760221,4839.328272908826,43.722683712652724,True,optimal,right,,,1.168930267653634,0.1,66.8208695050139,10.0,0.0001,3.1057279978260794,0.1,0.8781916461690528,0.47884305535015803,0.0785369529058343
betaF0,0.9364635953678605,0.9364635953678605,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,,0.01,59.398960671896845,10.0,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
betaF0,0.9364635953678604,0.9364635953678605,4828.752973286376,22.572084467752575,True,optimal,left,,2.1253420077095404,,0.1,68.92422794838922,10.0,0.000488766980007626,4.677872182429963,0.1,0.8704780198119814,0.5115103692143046,0.1092454867358198
betaF0,0.8695733385558704,0.9364635953678605,4831.2104080791105,27.48695405322178,True,optimal,left,,2.144302193364109,,0.1,70.83734374802661,10.0,0.00044691849437849054,4.74550740948487,0.1,0.8903158642549585,0.4839613481063673,0.1104423098745668
betaF0,0.8026830817438804,0.9364635953678605,4834.359855448643,33.78584879228765,True,optimal,left,,2.107715153554665,,0.1,72.99419779163145,10.335767956293669,0.00041847361043635233,4.768634167395861,0.1,0.9039558868081092,0.464632138824377,0.11086058274250003
betaF0,0.7357928249318904,0.9364635953678605,4839.482459365752,44.03105662650523,True,optimal,left,,2.2394708774946657,,0.1,82.31237910142852,10.0,0.0002848986486955766,4.636464948483747,0.1,0.9419476405998217,0.41354722800089094,0.1083908490439276
betaF0,0.6689025681199003,0.9364635953678605,4843.278873195219,51.62388428543818,True,optimal,left,,2.250636367541765,,0.1,86.79261047737987,10.152244340386694,0.00021674370693844472,4.636583186673668,0.1,0.961324622611079,0.38583661604253255,0.10829562998372737
betaF0,0.6020123113079103,0.9364635953678605,4847.486335531358,60.038808957717265,True,optimal,left,,2.359633860019436,,0.1,98.43538369006636,10.0,0.00013718625537434572,4.477952018024193,0.1,0.9990904961453034,0.3390644588805384,0.10540738791604326
betaF0,0.5351220544959203,0.9364635953678605,4851.393456458735,67.85305081247134,True,optimal,left,,2.406503514315381,,0.1,104.68187177601969,10.0,0.0001,4.482962729582477,0.1,1.023023572028743,0.30485170728453675,0.10536568852443229
betaF0,0.46823179768393025,0.9364635953678605,4856.02449003075,77.1151179565004,True,optimal,left,,2.448910082286692,,0.1,110.755005705149,10.0,0.0001,4.510482304193335,0.1,1.0469474800739231,0.26983152688553563,0.10572379546960878
betaF0,1.0033538521798504,0.9364635953678605,4827.02188693061,19.109911756220754,True,optimal,right,,2.111317769118921,,0.1,67.36932543414812,10.0,0.0005323146903176661,4.597848729216771,0.1,0.8517316398052593,0.5368440598962582,0.10779728649428987
betaF0,1.0702441089918404,0.9364635953678605,4825.957953317889,16.982044530779604,True,optimal,right,,2.101641933819538,,0.1,66.09308151769103,10.0,0.0005772392366924876,4.507862869604124,0.1,0.8340542444692324,0.5600302827674443,0.10614355438841781
betaF0,1.1371343658038304,0.9364635953678605,4825.496772907166,16.059683709332603,True,optimal,right,,2.0954187013121452,,0.1,64.98642609139019,10.0,0.0006247339676366116,4.4112993615555975,0.1,0.8174425552501563,0.581151268433551,0.10435174807761059
betaF0,1.2040246226158204,0.9364635953678605,4823.446966280632,11.960070456265385,True,optimal,right,,2.1216197498101934,,0.1,63.74164985595864,10.0,0.0005714020907211086,4.241396828165117,0.1,0.8054964918657231,0.5894933004616227,0.10111833193902275
betaF0,1.2709148794278107,0.9364635953678605,4826.160882360452,17.38790261590475,True,optimal,right,,2.094871498148032,,0.1,63.37885336079399,10.0,0.0007296582202047198,4.19123889778271,0.1,0.7886033575830353,0.6157981238407144,0.10023641046701644
betaF0,1.3378051362398007,0.9364635953678605,4827.165790383721,19.397718662443367,True,optimal,right,,2.0981348269154454,,0.1,62.67764065563909,10.0,0.0007844480313571488,4.07954004364301,0.1,0.7754346898090944,0.6307218910436345,0.098127930929043
betaF0,1.4046953930517907,0.9364635953678605,4828.529432042054,22.125001979109584,True,optimal,right,,2.1027938416621947,,0.1,62.00140568014101,10.0,0.0008408197059402524,3.96948748458909,0.1,0.7629114699543218,0.6444051798506387,0.09604168273665477
Kn0,0.01,0.01,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,,59.398960671896845,10.0,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
Kn0,0.01642857142857143,0.01,4827.068057602659,19.202253100318558,True,optimal,right,,2.00300620757931,1.0115324073336551,,66.4542920560643,10.0,0.0007492749135281695,5.2135980149306675,0.1,0.8306024680623907,0.5814829830486572,0.05
Kn0,0.02285714285714286,0.01,4832.723566672722,30.513271240444737,True,optimal,right,,2.154849836297768,1.0837182856507164,,71.10291930343529,10.0,0.0005041325884718368,4.558851061955363,0.1,0.8273967394300004,0.574217825604904,0.05
Kn0,0.02928571428571429,0.01,4835.816532076731,36.69920204846312,True,optimal,right,,2.278484699855063,1.1896005073001545,,71.67919895273026,10.0,0.0005134545512972754,4.040227645305555,0.1,0.8183617951492773,0.5731116543722969,0.05
Kn0,0.03571428571428572,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.04214285714285715,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.04857142857142858,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.05500000000000001,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.06142857142857144,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.06785714285714287,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.07428571428571429,0.01,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kn0,0.08071428571428572,0.01,5013.1246698721925,391.3154776393858,True,optimal,right,,0.26313333515192183,10.0,,27.88841875231686,10.0,0.008968358741347743,1.9829184998092273,10.0,0.1,1.2613805801915015,0.05
Kn0,0.08714285714285715,0.01,5011.865385065941,388.7969080268831,True,optimal,right,,0.2682325276205472,10.0,,28.497410132594663,10.0,0.008919849376280426,1.9115522669195775,10.0,0.1,1.2607990706522887,0.050790261436445085
Kn0,0.09357142857142857,0.01,4828.893447260548,22.85303241609654,True,optimal,right,,2.117127882297139,1.1691660815643672,,65.30968251378793,10.0,0.0006166998461224815,4.304880305131581,0.1,0.812098551179932,0.5864540567036091,0.09816135970725204
Kn0,0.1,0.01,4825.466212285904,15.998562466807925,True,optimal,right,,2.094236249289168,1.1596975958285332,,64.66074226875277,10.0,0.0006417153727727167,4.376419194647913,0.1,0.8121936358561975,0.5876696866905817,0.1037026475229419
Kig0,59.398960671896845,59.398960671896845,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,,10.0,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
Kig0,55.15617776676136,59.398960671896845,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,50.91339486162587,59.398960671896845,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,46.670611956490376,59.398960671896845,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,42.42782905135489,59.398960671896845,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,38.1850461462194,59.398960671896845,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,33.942263241083914,59.398960671896845,5009.111698061476,383.289534017953,True,optimal,left,,0.2567987178674941,8.4337542774337,0.1,,10.0,0.00873544779771461,2.2025222459981104,10.0,0.1,1.2605097016268636,0.06199324582680509
Kig0,29.699480335948422,59.398960671896845,5009.147564754995,383.36126740499094,True,optimal,left,,0.25893714124428513,9.392476215328585,0.1,,10.0,0.0088883691472112,2.0835424832359406,10.0,0.1,1.261297038472222,0.059332435786694046
Kig0,63.64174357703234,59.398960671896845,4825.471122948791,16.008383792583118,True,optimal,right,,2.093849778385358,1.160756303604707,0.1,,10.0,0.0006520308676739568,4.384152124898553,0.1,0.8128830527965821,0.5871162957067444,0.10386805523416325
Kig0,67.88452648216783,59.398960671896845,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,72.12730938730331,59.398960671896845,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,76.37009229243881,59.398960671896845,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,80.6128751975743,59.398960671896845,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,84.85565810270978,59.398960671896845,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kig0,89.09844100784527,59.398960671896845,4827.245984309693,19.558106514386964,True,optimal,right,,2.1046874709828116,1.130575602548865,0.1,,10.0,0.0004465098388753126,4.242277965936988,0.1,0.8023379689822661,0.5941798461137286,0.10081381409895578
Kie0,10.0,10.0,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,59.398960671896845,,0.0010158829615960667,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
Kie0,16.42857142857143,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,22.857142857142858,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,29.285714285714285,10.0,5179.090566587249,723.2472710694983,True,optimal,right,,0.11419766400871595,10.0,0.1,12.139145229993883,,0.010916977564464641,1.6491133342178455,0.4375450664030895,0.1,1.291997460363578,0.05
Kie0,35.714285714285715,10.0,5228.036385177525,821.13890825005,True,optimal,right,,0.1,10.0,0.1,10.807729149385466,,0.011543766912651191,1.639955359593978,0.22346728115713888,0.10050877401234835,1.3123096838083137,0.05
Kie0,42.142857142857146,10.0,5273.850367812566,912.7668735201332,True,optimal,right,,0.1,9.87573605649818,0.1,10.0,,0.01206382363776,1.6316203634689992,0.15850859326125394,0.11192210295987184,1.3217747855241464,0.05
Kie0,48.57142857142857,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,55.0,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,61.42857142857143,10.0,5361.433976100044,1087.9340900950883,True,optimal,right,,0.1,8.438011903173056,0.1,10.0,,0.013137023522973383,1.6223416962394992,0.10724229577256658,0.1338026281033008,1.3340683700166445,0.05
Kie0,67.85714285714286,10.0,5393.524059636258,1152.1142571675173,True,optimal,right,,0.1,8.137000131372403,0.1,10.0,,0.013494566922702872,1.6189442894186326,0.1,0.14054685087208907,1.3361259749620822,0.05
Kie0,74.28571428571429,10.0,5423.298271364316,1211.6626806236327,True,optimal,right,,0.1,7.887941104082351,0.1,10.0,,0.013827402399889327,1.615891711189126,0.1,0.146715171941975,1.332618778005003,0.05
Kie0,80.71428571428572,10.0,5450.982006657598,1267.030151210196,True,optimal,right,,0.1,7.677986246216062,0.1,10.0,,0.01413616758154765,1.6131563222802037,0.1,0.1523785448194732,1.3294544439965863,0.05
Kie0,87.14285714285714,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,93.57142857142857,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kie0,100.0,10.0,,,False,failed,right,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Kd0,0.0010158829615960667,0.0010158829615960667,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,59.398960671896845,10.0,,6.0386171748558795,0.1,0.8365607531552841,0.5832628920919407,0.05
Kd0,0.0009325098882793598,0.0010158829615960667,4825.97125515635,17.00864820770039,True,optimal,left,,2.043361158383126,1.1834184548648516,0.1,61.001356461756224,10.0,,4.493106215914836,0.1,0.8061986837822767,0.5925479990175379,0.1060191948327069
Kd0,0.0008491368149626528,0.0010158829615960667,4825.726264392737,16.51866668047478,True,optimal,left,,2.0571800998871526,1.1764907520557133,0.1,62.00110056452009,10.0,,4.461474054956476,0.1,0.8078794889279864,0.5912548763679588,0.10538984162897774
Kd0,0.0007657637416459461,0.0010158829615960667,4823.644291543637,12.354720982275467,True,optimal,left,,2.0798583348979043,1.1779116734632111,0.1,61.42982913676223,10.0,,4.40923313989793,0.1,0.8103509825030025,0.5821718288867006,0.10435842036809737
Kd0,0.0006823906683292391,0.0010158829615960667,4825.476447874859,16.019033644719457,True,optimal,left,,2.0866611599872793,1.162944365318944,0.1,64.11882423215847,10.0,,4.393809592541074,0.1,0.8113319243678648,0.588415768938066,0.10404702634041557
Kd0,0.0005990175950125323,0.0010158829615960667,4825.47762509997,16.021388094941358,True,optimal,left,,2.102353471578129,1.1563119364349315,0.1,65.24082333048669,10.0,,4.357794292371803,0.1,0.8131068027329001,0.5868631656490453,0.10333416858400957
Kd0,0.0005156445216958254,0.0010158829615960667,4825.566919330468,16.19997655593761,True,optimal,left,,2.1186986906660183,1.1497649662514813,0.1,66.40767203838013,10.0,,4.3203433485836005,0.1,0.8149155982130233,0.5852184813470656,0.102594252617342
Kd0,0.0004322714483791186,0.0010158829615960667,4823.164405551219,11.394948997438405,True,optimal,left,,1.8740978820029723,0.870031158692388,0.01,67.74775802966113,10.0,,6.01129980235464,0.1,0.8462584713455154,0.5877326814927946,0.05
Kd0,0.0010992560349127735,0.0010158829615960667,4826.686694641405,18.439527177810305,True,optimal,right,,2.0174872249754356,1.1976126266075737,0.1,59.110847649855955,10.0,,4.551961321804272,0.1,0.8029199494802146,0.5948981766285737,0.1071930051941269
Kd0,0.0011826291082294802,0.0010158829615960667,4827.15139802364,19.36893394227991,True,optimal,right,,2.0053996530933493,1.2048882170385073,0.1,58.21673508731608,10.0,,4.579193268377055,0.1,0.8013192536841369,0.5959615645635901,0.10773742768321935
Kd0,0.0012660021815461872,0.0010158829615960667,4827.683678510816,20.433494916633208,True,optimal,right,,1.993856542571489,1.2122870231279073,0.1,57.35469751598758,10.0,,4.604973562236244,0.1,0.7997428708067842,0.5969542744081591,0.10825364393951777
Kd0,0.0013493752548628941,0.0010158829615960667,4828.280793304654,21.6277245043093,True,optimal,right,,1.9828423334391596,1.2198099774798463,0.1,56.523416963540015,10.0,,4.629313844646312,0.1,0.798190425207906,0.5978782190727382,0.10874180868296221
Kd0,0.0014327483281796009,0.0010158829615960667,4828.940049791164,22.946237477328395,True,optimal,right,,1.972343224767255,1.2274551041455077,0.1,55.72175968593712,10.0,,4.652225290609973,0.1,0.7966627764806136,0.5987337072811522,0.10920208670260571
Kd0,0.0015161214014963076,0.0010158829615960667,4829.658800468094,24.383738831189476,True,optimal,right,,1.9623469744333397,1.235217983919559,0.1,54.94868876188794,10.0,,4.673719090287449,0.1,0.7951619084223281,0.5995196393746156,0.10963466271536598
Kd0,0.0015994944748130148,0.0010158829615960667,4830.434444522131,25.93502693926348,True,optimal,right,,1.9528403803506795,1.2430949464906937,0.1,54.203051975641586,10.0,,4.693811984875218,0.1,0.7936893840087472,0.600235608991376,0.11003983925491673
Yxn,6.0386171748558795,6.0386171748558795,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,59.398960671896845,10.0,0.0010158829615960667,,0.1,0.8365607531552841,0.5832628920919407,0.05
Yxn,5.607287376651888,6.0386171748558795,4834.304089851238,33.67431759747706,True,optimal,left,,1.786246713681747,1.0087419024743007,0.1,55.93047465091588,10.0,0.0009842216697188771,,0.1,0.8192633212640846,0.6040805459579675,0.1272694754126799
Yxn,5.175957578447896,6.0386171748558795,4827.1721623134745,19.41046252194974,True,optimal,left,,2.006939713281131,1.016769762343145,0.016295081020165237,66.44136424959822,10.0,0.000736348992906444,,0.1,0.8299083269190354,0.5817853854194713,0.05
Yxn,4.744627780243905,6.0386171748558795,4888.138303182547,141.34274426009506,True,optimal,left,,0.14034276602145315,10.0,0.1,14.583128893097804,10.0,0.0008972988554524557,,10.0,0.1,1.0976643639911972,0.11726687763893634
Yxn,4.313297982039914,6.0386171748558795,4825.4863372873515,16.03881246970377,True,optimal,left,,2.1131572506694654,1.1682198655553881,0.1,65.17134257393225,10.0,0.0006197961077277573,,0.1,0.8120171410739334,0.5867264135687733,0.10247328296080244
Yxn,3.8819681838359226,6.0386171748558795,4826.764493386854,18.595124668709104,True,optimal,left,,2.2504360006688127,1.232269555676293,0.1,68.58851421637854,10.0,0.0004739723958925458,,0.1,0.8107265352326146,0.5804579942431476,0.09411878855115034
Yxn,3.450638385631931,6.0386171748558795,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Yxn,3.0193085874279397,6.0386171748558795,,,False,failed,left,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,
Yxn,6.469946973059871,6.0386171748558795,4848.584259932736,62.234657760473056,True,optimal,right,,1.6180649086127863,0.9384874644346177,0.1,49.724755108560224,10.0,0.0013102509449078998,,0.1,0.8232341073600129,0.6160821384994202,0.1420826094388323
Yxn,6.901276771263862,6.0386171748558795,4858.780504259776,82.62714641455204,True,optimal,right,,1.5471247869732045,0.9075769186189426,0.1,46.93134635547891,10.0,0.0014738574784511356,,0.1,0.8258871002796365,0.6214316520890077,0.14877074283683472
Yxn,7.3326065694678535,6.0386171748558795,4871.149330222697,107.36479834039528,True,optimal,right,,1.4833888843480518,0.8789416394221727,0.1,44.31886942120152,10.0,0.0016379227990382824,,0.1,0.8289745709968341,0.6263414705653207,0.1550093535777889
Yxn,7.763936367671845,6.0386171748558795,4885.75735707901,136.58085205302086,True,optimal,right,,1.4258914749173865,0.8522969543340423,0.1,41.868463474924205,10.0,0.0018025912396757865,,0.1,0.832478735777276,0.6308209147484234,0.16083571261604918
Yxn,8.195266165875836,6.0386171748558795,4902.526713756863,170.11956540872598,True,optimal,right,,1.3628992729974134,0.8315924683754686,0.1,41.406797876707266,10.0,0.0020010579305851776,,0.10767879795412519,0.830011590288859,0.6287765617479008,0.1663800253287286
Yxn,8.626595964079828,6.0386171748558795,4921.271789276832,207.6097164486655,True,optimal,right,,1.3033491732562037,0.8128559170860776,0.1,41.30432436840777,10.0,0.002205140573057186,,0.11734176509312733,0.8265890329034825,0.6253907660049971,0.1715978195980421
Yxn,9.05792576228382,6.0386171748558795,4942.017737728797,249.10161335259545,True,optimal,right,,1.2487872295548632,0.7950815700015179,0.1,41.189555985552225,10.0,0.00240900866401353,,0.1275652026030318,0.823475191441234,0.6218195409943206,0.17650252359257207
Yxf,0.1,0.1,4817.4669310525,0.0,True,baseline,baseline,,1.847467123760221,0.9364635953678605,0.01,59.398960671896845,10.0,0.0010158829615960667,6.0386171748558795,,0.8365607531552841,0.5832628920919407,0.05
Yxf,0.1642857142857143,0.1,4833.244981136529,31.556100168058038,True,optimal,right,,2.0478780819249276,1.1846869647731038,0.1,72.58476432122153,10.0,0.0008178718748938268,4.3781415879161285,,0.7961532839378112,0.5711571323025915,0.10391230782615639
Yxf,0.2285714285714286,0.1,4832.081509074258,29.229156043516923,True,optimal,right,,1.774757341468789,0.9603192946014607,0.01,79.56991001177126,10.0,0.0013067768953780737,6.038623603772762,,0.8076285164075157,0.5538400142163586,0.05
Yxf,0.2928571428571429,0.1,5009.3933965266715,383.8529309483438,True,optimal,right,,0.26024566012909695,10.0,0.1,27.51931051172945,10.0,0.008958734107939114,2.018454715357687,,0.1,1.295172059079677,0.057845402289150256
