batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,26.78905230568281,-4.908108178410328,4.440892098500626e-13,4.440892098500626e-13,-2.8102239700253936e-15,0.0,2.05849253729821e-15,0.0
25026,X,36.0,37.144705124516236,-447.8385250034681,0.0,0.0,-5.620447940050787e-15,0.0,4.11698507459642e-15,0.0
25026,X,42.0,37.143275842546124,-447.84438934491067,-8.881784197001252e-13,0.0,0.0,7.729213498028006e-15,0.0,0.0
25026,X,60.0,52.52372682280665,-633.2865140428033,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,84.0,49.77622635523814,-600.0606688803477,1.7763568394002505e-12,0.0,-0.6547935184511795,-0.5291574729492546,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-83.57498006039536,-1000.9122000227837,0.0,0.0,2.656628005920204e-14,3.6533823036197573e-14,1.9459833034285698e-14,2.0289207337525755e-14
25026,N,36.0,-0.011936389571928016,-0.030279742546666922,-3.787487926299648e-15,-3.443170842090589e-16,7.819907524460697e-14,5.189865758898622e-14,-2.0630938708834385e-14,-4.490042821013953e-15
25026,N,42.0,-0.00023402325537823747,-0.00045383260782881407,3.0027652692650484e-17,1.5013826346325243e-18,-5.560684542888391e-16,-3.298214617197845e-16,1.6226719151917104e-16,3.580345347134992e-17
25026,N,60.0,-0.002171761188324909,-0.0021653594400989034,1.6014748102746926e-17,2.402212215412039e-17,6.5872505334782895e-19,3.4841368709752626e-19,-1.8558342966352173e-19,-7.739718375215819e-20
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-7.775267178906296,1.0419450466475182,-1.879516249490052,-0.0005997878647168073,0.13235210700499928,0.05875314653134821,-2.3871145034359778,-0.00034587102970355535
25026,G,36.0,-40.18588828074566,267.8188560629184,-4.881273449180699,-0.021175401945524024,2.445670989637642,1.2001681193701106,-12.94619004421427,-0.018424859980014262
25026,G,42.0,-44.27789400975406,332.0009370603646,-4.796347901291846,-0.028114786605320293,3.1254980589099,1.5552356813499526,-15.083340949923956,-0.02794579470841821
25026,G,60.0,-56.32986069802515,512.5599779328709,-6.298610959591582,-0.06738705805935323,5.413261552305016,2.8626344231157246,-21.154492855780024,-0.08865431548382488
25026,G,84.0,-55.737610214094936,543.684951527531,-4.877045871494765,-0.1134482983255177,6.654389207152102,3.808829694617673,-22.256365668868465,-0.20611589448507597
25026,G,90.0,-51.80769585813486,504.3735133764103,-4.327027220586697,-0.11889101244559622,6.464394353666199,3.7986362314375763,-20.904009643613648,-0.2341731930539895
25026,G,108.0,-33.5903797351667,313.2724844404936,-2.4075155842866596,-0.10737834854474333,4.549586875702151,2.851360269903075,-14.556836024641708,-0.2699285571971599
25026,G,114.0,-27.067593544003977,246.65470243328753,-1.8095567613794017,-0.09521968787012883,3.6694237982816045,2.340587450494864,-12.287242790434028,-0.26069517952365245
25026,G,132.0,-12.095375492026523,102.26492089883965,-0.6366410779982646,-0.05688805769558606,1.592620519185938,1.0550900517046355,-6.7426415510251285,-0.20365235215897134
25026,G,138.0,-8.870693057366804,73.37455308905834,-0.43241378787194434,-0.04706827278183328,1.1596704188946059,0.7748967989575346,-5.365449209825628,-0.18557909432923186
