,mu0,betaG0,betaF0,Kn0,Kig0,Kie0,Kd0,Yxn,Yxf,Yeg,Yef
mu0,28946.20225366833,3442.672190774868,3466.3600718230937,-17567.92674009718,1108.3011975576128,4880.215443949557,-36.781895399826766,-7175.398414931947,22.894978336719504,100.15702687352933,74.02603175132751
betaG0,3442.672190774868,12771.940233686764,12022.490669561754,-2026.378889382292,3637.34067708317,17694.610077320685,-16.921935995772515,15973.390443724355,499.2167544710008,-340.32841543122373,610.5372690143328
betaF0,3466.3600718230937,12022.490669561754,21911.67347728878,-2059.7623594296556,5389.0865888810295,24670.46068769323,-568.7570022716916,22608.197151110326,563.2096639564706,6258.216049473341,940.9738781105403
Kn0,-17567.92674009718,-2026.378889382292,-2059.7623594296556,10722.340633247362,-652.7758860982144,-2878.0225655864433,29.531838772294037,4433.768317801884,-15.163143859861986,-69.68924091631791,-42.99721050181526
Kig0,1108.3011975576128,3637.34067708317,5389.0865888810295,-652.7758860982144,1516.0394915291838,6511.8612480720185,-64.73949707139758,5973.295717640762,85.32005616134406,1315.4637726868357,137.74931710321454
Kie0,4880.215443949557,17694.610077320685,24670.46068769323,-2878.0225655864433,6511.8612480720185,30735.353191749295,-444.4182817815296,27684.890254170285,749.2421142302983,4445.523808909959,1107.5383701605097
Kd0,-36.781895399826766,-16.921935995772515,-568.7570022716916,29.531838772294037,-64.73949707139758,-444.4182817815296,232.60575743037174,-707.8869515374456,-32.57420052610866,-234.4648594573461,-63.185369886863526
Yxn,-7175.398414931947,15973.390443724355,22608.197151110326,4433.768317801884,5973.295717640762,27684.890254170285,-707.8869515374456,36441.178678759796,-160.02221624871575,3081.9032258383622,-322.06344054644404
Yxf,22.894978336719504,499.2167544710008,563.2096639564706,-15.163143859861986,85.32005616134406,749.2421142302983,-32.57420052610866,-160.02221624871575,718.2680331579538,804.6496577375309,1046.6991379434774
Yeg,100.15702687352933,-340.32841543122373,6258.216049473341,-69.68924091631791,1315.4637726868357,4445.523808909959,-234.4648594573461,3081.9032258383622,804.6496577375309,5801.745619130295,1476.8810487613807
Yef,74.02603175132751,610.5372690143328,940.9738781105403,-42.99721050181526,137.74931710321454,1107.5383701605097,-63.185369886863526,-322.06344054644404,1046.6991379434774,1476.8810487613807,1843.9612986429852
