profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0
mu0,0.5,1.0,3699.9461855086893,46.47024252535084,True,optimal,,2.0,1.0706793994669903,0.37283943917933815,0.001,0.058698926178713404,41.658418809946696,7.625001902432077,0.0013645275497758957,7.939211728659467,2.2735031442133433,0.07393727574531389,0.8378406241435264,0.734249066017743,
mu0,0.5625,1.0,3694.5226174488093,35.62310640559099,True,optimal,,2.0,1.0686160949274675,0.4314853403879237,0.001,0.05884827356381724,41.66384069512211,7.64548128362348,0.0013593426778235683,7.927598027077481,2.4051269858281112,0.07364952415512929,0.837691463359369,0.734605516477371,
mu0,0.625,1.0,3690.29448482059,27.166841149151878,True,optimal,,2.0,1.0670169454340215,0.49012893529657625,0.001,0.05896920911521092,41.66769932532652,7.661577036149394,0.001355270414921625,7.9184951388889715,2.524519153774931,0.07342407047694678,0.8375542538244929,0.7348984026247263,
mu0,0.6875,1.0,3686.9058854851783,20.389642478328824,True,optimal,,2.0,1.0657398121308526,0.5487723981603742,0.001,0.05906862552275985,41.67057737361151,7.67456712513508,0.0013519872616721649,7.911168493828792,2.6330921822714664,0.0732425961011548,0.8374312431789425,0.7351426510319916,
mu0,0.75,1.0,3684.129547104212,14.836965716396662,True,optimal,,2.0,1.0646952551085709,0.607416829936269,0.001,0.05915154252328412,41.67280952003774,7.685277349286083,0.0013492832030582394,7.905142618850971,2.7321258387623057,0.07309331479233713,0.8373219854678609,0.7353490602212037,
mu0,0.8125,1.0,3681.813454427652,10.204780363275859,True,optimal,,2.0,1.063824273595949,0.6660627430940698,0.001,0.05922161334691867,41.67459722693879,7.694264088180131,0.0013470165241288223,7.9000974405154425,2.8227472724784404,0.07296831074582119,0.8372251345335971,0.7355255624041186,
mu0,0.875,1.0,3679.852058324078,6.281988156128136,True,optimal,,2.0,1.0630863814654088,0.724710332786067,0.001,0.059281529275695265,41.67606714710926,7.701915696109556,0.0013450883007704436,7.895809985157666,2.905936309804753,0.07286207282766168,0.8371391511862021,0.7356780779996733,
mu0,0.9375,1.0,3678.169776796732,2.9174251014364927,True,optimal,,2.0,1.0624528623564988,0.7833596260417459,0.001,0.05933329961110692,41.677302119672,7.708511495342496,0.0013434274278251478,7.8921202635342595,2.982540112558933,0.07277064580936542,0.8370625720035528,0.735811096781158,
mu0,1.0,1.0,3676.711064463805,4.35582478530705e-07,True,optimal,,2.0,1.0619027697525183,0.8420105637599825,0.001,0.05937844876230243,41.67835827693905,7.714257591843451,0.0013419814882409844,7.888910517492428,3.0532901948794198,0.07269111690722381,0.8369940983827279,0.7359280747431762,
betaF0,0.5309513848349936,1.0619027696699872,3681.7811339119094,10.140139331791033,True,optimal,,1.3597634850737428,,0.8388977505054337,0.001,0.015883312989490247,40.481607882599,13.746399834669745,0.0013648023251045885,7.944884809770651,0.8959382017728903,0.06964319419070476,0.9264546612861722,0.6171666977314345,1.0
betaF0,0.663689231043742,1.0619027696699872,3678.841468726981,4.2608089619343446,True,optimal,,1.557640119971969,,0.8413925238451375,0.001,0.023499662077894383,39.500474215954924,11.302195671288338,0.0013312385339841434,7.905877599409828,1.1388132648253952,0.06961197242371102,0.9032413358854785,0.6510784198971598,1.0
betaF0,0.7964270772524904,1.0619027696699872,3675.3911995239923,-2.6397294440430414,True,optimal,,1.7344273500853866,,0.8416619937526205,0.001,0.02669786494342174,38.70324570330687,9.672608583570442,0.001361906523137323,7.913091260471831,1.3759092659292336,0.07064155429705898,0.8848063694798781,0.6729968216361364,1.0
betaF0,0.9291649234612388,1.0619027696699872,3673.0515108685245,-7.319106754978748,True,optimal,,1.9129324953627773,,0.8418727445853765,0.001,0.029253549977566323,38.09552544368767,8.446539328265388,0.0013864598326260992,7.9194093270862,1.616043502078351,0.07148795830192724,0.8710176906086474,0.6889895320575005,1.0
betaF0,1.0619027696699872,1.0619027696699872,3676.7110642460043,-1.9099388737231493e-11,True,optimal,,2.0,,0.84201057314178,0.001,0.05937844876308959,41.67835827712533,7.714257592711875,0.0013419814880263048,7.888910517011339,3.05329020749601,0.07269111689511855,0.8369940983672622,0.7359280747628717,1.0
betaF0,1.1946406158787357,1.0619027696699872,3677.4251297049177,1.4281309178077208,True,optimal,,2.0,,0.838240199186374,0.001,0.0998315457699866,45.710198851987535,7.273476882321764,0.001440834911412505,7.944786831887614,4.047279616375101,0.07721865578106535,0.8006258282209386,0.7733386840613078,1.0
betaF0,1.327378462087484,1.0619027696699872,3678.0853134393897,2.748498386751635,True,optimal,,2.0,,0.8351026667670617,0.001,0.192620843265346,48.93247134800464,6.895649509559835,0.001558567895224975,7.993525671293431,4.036110448915181,0.08255224802037564,0.7697711279065185,0.7969261013270632,1.0
betaF0,1.4601163082962323,1.0619027696699872,3679.5019746338207,5.581820775613778,True,optimal,,2.0,,0.8335055534465255,0.001,0.5225049122960489,50.01254597215575,6.637074910807972,0.0015780894791635955,8.010033001431301,9.99999979701757,0.09033993592681744,0.7413764387782512,0.7933069955735831,1.0
betaF0,1.5928541545049808,1.0619027696699872,3682.958673519961,12.495218547894183,True,optimal,,2.0,,0.831224476966159,0.001,0.6487779542762612,53.245044209879914,6.3257730932099365,0.0016657911363116916,8.04894266590438,9.9999992585379,0.09506846327547926,0.7141514696069474,0.8220225641497289,1.0
Kg0,0.001,0.001,3723.0199127120427,92.6176969320577,True,optimal,,1e-05,2.0,0.7433235219777531,,0.001,11.30059267939997,19.215740766590358,0.005618109331656246,8.687628622004356,0.029759757606039557,0.2735878253829061,2.0,1.544197668819087,1.0
Kg0,1.25099375,0.001,3687.939332183276,22.45653587452398,True,optimal,,2.0,1.053904170994462,0.845989040227526,,0.06452277481458239,42.65020337254983,8.147465081003636,0.0013474691011991584,7.86241628928156,10.0,0.07274485380369473,0.8140229532980502,0.7671891554105829,1.0
Kg0,2.5009875,0.001,3723.020825465886,92.61952243974429,True,optimal,,1e-05,2.0,0.7433228363916673,,0.001,11.300469974722851,19.215942069022564,0.005618093532821974,8.68764134482759,0.02975979707577176,0.273587819511223,2.0,1.544201323083835,1.0
Kg0,3.75098125,0.001,3705.7320048584197,58.04188122481173,True,optimal,,2.0,1.0002113873985987,0.8478460984553512,,0.05153611649902347,49.84884506773541,8.735115318851404,0.0014842769572798117,7.87688720765857,10.0,0.0766494880787835,0.8047045651523791,0.7644478572853527,1.0
Kg0,5.000975,0.001,3715.2678173455834,77.11350619913901,True,optimal,,2.0,0.9753585928287338,0.8491745302622438,,0.05311096967808111,53.320356603481436,9.042956414646284,0.0014891616835353053,7.868726257207516,10.0,0.0778380458548017,0.8004658132168585,0.7680282305899983,1.0
Kg0,6.25096875,0.001,3724.240011711196,95.05789493036445,True,optimal,,2.0,0.95767723071594,0.8501802858968529,,0.0553360797744674,56.723391755396456,9.326544749822114,0.0014988290050775672,7.8641949284376045,10.0,0.07906653942824965,0.794701533221534,0.7740347731937813,1.0
Kg0,7.500962500000001,0.001,3731.930442197983,110.43875590393873,True,optimal,,2.0,0.9545353410225619,0.8506016405333019,,0.05345466941564089,60.06007559571394,9.546639190133074,0.0015522304015636284,7.867529091864122,10.0,0.08084931202313023,0.7847648841363801,0.7832133166130093,1.0
Kg0,8.75095625,0.001,3739.7391828013624,126.05623711069711,True,optimal,,2.0,0.9463484017653777,0.8510037472121801,,0.056515737799007135,63.45855361102976,9.780264441767574,0.0015720800806745172,7.870265489533435,10.0,0.08226574962616269,0.7769484528085325,0.7916119185712179,1.0
Kg0,10.00095,0.001,3745.437728017351,137.45332754267474,True,optimal,,2.0,0.9581245810405443,0.8502466451027827,,0.05414638825818757,66.80467673423294,9.900192351641076,0.001667217761410123,7.8945573214590175,10.0,0.08487641698109744,0.7635238095518028,0.8027404009469364,1.0
Kf0,0.001,0.059378448763891034,3676.804276033628,0.1864235752282184,True,optimal,,2.0,1.0582348914056348,0.8420132838599846,0.001,,41.94222230283385,7.712583412569037,0.001347789298142739,7.890940894706033,3.086086879856796,0.071956522206701,0.8368483681081659,0.7441126208610599,1.0
Kf0,0.059378448763891034,0.059378448763891034,3676.711064246014,0.0,True,optimal,,2.0,1.0619027696699868,0.842010573141672,0.001,,41.67835827712237,7.714257592703141,0.0013419814880257343,7.888910517012706,3.0532902057640596,0.07269111689523228,0.8369940983723475,0.7359280747618933,1.0
Kf0,1.2582910560954863,0.059378448763891034,3674.5270276304673,-4.368073231093149,True,optimal,,2.0,1.2019607497654454,0.8377630190852872,0.001,,37.192436627274496,7.516806982772949,0.0014293433002816982,7.964490216801642,1.8036235790138464,0.08518298603604431,0.8308908131985386,0.6723040729922216,1.0
Kf0,2.5155821121909727,0.059378448763891034,3679.2237456875046,5.025362882981426,True,optimal,,2.0,1.274028518759265,0.8378880396946591,0.001,,33.54622675418823,7.552888954275099,0.0013654456863335712,7.947796615385184,1.5328587131214286,0.09213400004915138,0.8360299244574796,0.6351103480901329,1.0
Kf0,3.772873168286459,0.059378448763891034,3684.3213263697135,15.220524247399226,True,optimal,,2.0,1.3357944002569626,0.8381210465206993,0.001,,30.371636495385292,7.611914579274723,0.0013125271352183161,7.933671368034715,1.3070724250721408,0.09747972871640477,0.8436128254517814,0.6070905292426769,1.0
Kf0,5.030164224381946,0.059378448763891034,3689.4006063942147,25.379084296401743,True,optimal,,2.0,1.390424916182208,0.8383886992517584,0.001,,27.60443885925702,7.683638435021605,0.0012693473774126806,7.921954935602045,1.1168365626109187,0.1014335300033146,0.8528972196491164,0.5842431366864277,1.0
Kf0,6.287455280477432,0.059378448763891034,3694.280150194126,35.13817189622387,True,optimal,,2.0,1.4399526262538322,0.838669160145648,0.001,,25.184676663933114,7.7629766341172255,0.0012342274800611378,7.912152593394588,0.9731300253369607,0.10415535243411474,0.8630369443462255,0.5648695968231856,1.0
