profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold
Kd0,15,0.0010158829615960667,4817.4669310525,25.93502693926348,True,True,3.841458820694124
Kie0,8,10.0,4817.4669310525,1267.030151210196,False,True,3.841458820694124
Kig0,5,59.398960671896845,4817.4669310525,383.36126740499094,True,True,3.841458820694124
Kn0,8,0.01,4817.4669310525,391.3154776393858,False,True,3.841458820694124
Yef,15,0.5832628920919407,4817.4669310525,190.64289661956172,True,True,3.841458820694124
Yeg,13,0.8365607531552841,4817.4669310525,200.88746781974623,True,True,3.841458820694124
Yxf,15,0.1,4817.4669310525,383.8529309483438,False,True,3.841458820694124
Yxn,13,6.0386171748558795,4817.4669310525,249.10161335259545,True,True,3.841458820694124
betaF0,16,0.9364635953678605,4817.4669310525,77.1151179565004,True,True,3.841458820694124
betaG0,15,1.847467123760221,4817.4669310525,91.4929146809518,True,True,3.841458820694124
mu0,7,0.05,4817.4669310525,1863.7207923617225,False,True,3.841458820694124
