parameter,nominal,lower_bound,upper_bound,theta_minus,theta_plus,delta,minus_pct,plus_pct,mode,n_common_predictions,n_missing_sensitivities,used_in_q_matrix,dropped_from_q_reason
mu0,0.18,0.05,1.0,0.162,0.198,0.036000000000000004,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
sN,18.0,0.5,100.0,16.2,19.8,3.6000000000000014,-0.10000000000000009,0.10000000000000009,central_clipped,286,0,True,
qN,0.009141696292534281,0.0005,1.0,0.008227526663280853,0.01005586592178771,0.0018283392585068566,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qXG,0.11249999999999999,0.005,10.0,0.10124999999999999,0.12375,0.022500000000000006,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qXF,0.11249999999999999,0.005,10.0,0.10124999999999999,0.12375,0.022500000000000006,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
betaG0,0.225,0.1,10.0,0.2025,0.24750000000000003,0.04500000000000001,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
sG,0.030000000000000002,0.01,1000.0,0.027000000000000003,0.03300000000000001,0.006000000000000005,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
betaF0,0.225,0.1,10.0,0.2025,0.24750000000000003,0.04500000000000001,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
sF,0.030000000000000002,0.01,1000.0,0.027000000000000003,0.03300000000000001,0.006000000000000005,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qEG,0.45918367346938777,0.01,100.0,0.413265306122449,0.5051020408163266,0.0918367346938776,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
qEF,0.45918367346938777,0.01,100.0,0.413265306122449,0.5051020408163266,0.0918367346938776,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
iG,0.02703616086515715,0.001,0.1,0.024332544778641437,0.029739776951672868,0.005407232173031431,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
iE,0.025,0.001,0.1,0.022500000000000003,0.027500000000000004,0.005000000000000001,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
Kd0,0.00044,0.0001,0.05,0.00039600000000000003,0.00048400000000000006,8.800000000000002e-05,-0.09999999999999998,0.10000000000000009,central_clipped,286,0,True,
m0,0.01,0.0001,0.05,0.009000000000000001,0.011000000000000001,0.002,-0.09999999999999987,0.10000000000000009,central_clipped,286,0,True,
