,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
mu0,44225.003767024486,-36377.67724600397,-22.89102825635116,-4.97960593998459,40866.21801786377,24691.962339645175,-15631.811199619271,-2159.946188243425
qN,-36377.67724600397,31835.563816675025,19.85326595887652,3.887062136131143,-34271.68822498056,-20866.115401695497,13386.729398087406,1561.12573762181
qXG,-22.89102825635116,19.85326595887652,0.10498097489802295,0.05619702955221481,-74.55919323548468,-54.92571073664544,66.27407511945222,33.30709767899333
qXF,-4.97960593998459,3.887062136131143,0.05619702955221481,0.0512018718249419,-40.88102629227724,-30.349794378095933,36.610423523945784,26.6058138749123
betaG0,40866.21801786377,-34271.68822498056,-74.55919323548468,-40.88102629227724,72003.56647935693,49504.45192494107,-49430.96602558588,-23951.68189020909
betaF0,24691.962339645175,-20866.115401695497,-54.92571073664544,-30.349794378095933,49504.45192494107,35285.789426208365,-36839.450265843196,-18331.299750205322
qEG,-15631.811199619271,13386.729398087406,66.27407511945222,36.610423523945784,-49430.96602558588,-36839.450265843196,43630.72718508432,22462.476863836433
qEF,-2159.946188243425,1561.12573762181,33.30709767899333,26.6058138749123,-23951.68189020909,-18331.299750205322,22462.476863836433,16086.858192486472
