profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased,objective_improvement,lr_stat_vs_rebased_obj_hat
betaF0,0.9306718776939609,1.0636250030788126,3673.0294659400174,-6.132565415246972,True,optimal,,1.9149660278278504,,0.8418748595243869,0.001,0.029279488289426815,38.08943286450147,8.434373276137393,0.0013867096873682182,7.919476658073766,1.6187679815051705,0.07149668195279704,0.8708811099395005,0.6891464073767458,1.0,-6.132565415246972,3.066282707623486,-6.132565415246972
Yef,0.6323769520768321,0.7227165166592366,3673.525181649553,-5.141133996175995,True,optimal,,2.0,0.9938960363978023,0.8394983080700322,0.001,0.3330234789730388,36.06379369198364,7.969488134515787,0.0015079122136875726,7.962765517282768,0.9785826506758285,0.08130184061344589,0.8827695149239737,,1.0,-5.141133996175995,2.5705669980879975,-5.141133996175995
Kig0,25.933007773676117,41.49281243788179,3673.725295537456,-4.740906220369652,True,optimal,,2.0,1.0368062670642513,0.8369350603374904,0.001,0.08108940884447453,,8.033485755493166,0.0015220654883707162,7.999681403249737,0.7767862304801902,0.06775453722788646,0.8992597199747467,0.6994139014912872,1.0,-4.740906220369652,2.370453110184826,-4.740906220369652
Kf0,1.2605233489244436,0.0772367913955493,3674.5345593715624,-3.122378552156988,True,optimal,,2.0,1.2021000365480923,0.8377630695052605,0.001,,37.18549924808644,7.516842777203169,0.0014292195099648692,7.964458330707172,1.8031003097429639,0.08519694169278043,0.8308971383124915,0.6722248111635108,1.0,-3.122378552156988,1.561189276078494,-3.122378552156988
betaF0,0.7977187523091094,1.0636250030788126,3675.3639883331693,-1.4635206289431153,True,optimal,,1.736157449067312,,0.8416643053946921,0.001,0.02672554958426078,38.696560874297894,9.659002912981641,0.0013621721655655856,7.913156620919963,1.378251922520237,0.0706505981580669,0.8846528632483895,0.6731764997279788,1.0,-1.4635206289431153,0.7317603144715576,-1.4635206289431153
betaG0,1.625,2.0,3675.367106709364,-1.457283876553447,True,optimal,,,0.8785338232411429,0.8350214890520857,0.001,0.040598235656444374,45.07048656129672,9.652219042907225,0.0015221701614234516,8.01060041621392,3.3620417230911857,0.0764959702197474,0.8268875900450957,0.732505159133962,1.0,-1.457283876553447,0.7286419382767235,-1.457283876553447
