profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased
mu0,0.5,1.0,3699.9461855086884,47.70087372209491,True,optimal,,2.0,1.0706793994667911,0.3728394391793425,0.001,0.05869892617875084,41.65841880986514,7.62500190243148,0.0013645275497766564,7.939211728659526,2.2735031431368617,0.0739372757453281,0.8378406241458337,0.7342490660173514,,47.70087372209491
mu0,0.5625,1.0,3694.5226174488093,36.85373760233688,True,optimal,,2.0,1.06861609492746,0.4314853403879242,0.001,0.05884827356381898,41.66384069512171,7.645481283623518,0.00135934267782356,7.927598027077468,2.405126985827815,0.0736495241551289,0.8376914633593724,0.7346055164773687,,36.85373760233688
mu0,0.625,1.0,3690.294484821254,28.39747234722654,True,optimal,,2.0,1.0670169453873246,0.49012893530003027,0.001,0.05896920925244841,41.66769932730148,7.6615770363731786,0.0013552704148465102,7.918495138884521,2.5245191608121162,0.07342407048010564,0.8375542538092099,0.7348984025919054,,28.39747234722654
mu0,0.6875,1.0,3686.2917336007285,20.39196990617529,True,optimal,,2.0,1.0673912284492384,0.5488414714163717,0.001,0.07652565406322623,41.484447952363524,7.678804318017942,0.0013349822737581795,7.905479821345648,2.652665809027956,0.07436252523718373,0.8374455973598771,0.7220168715866282,,20.39196990617529
mu0,0.75,1.0,3684.129547106351,16.067596917419905,True,optimal,,2.0,1.064695255084318,0.6074168299360833,0.001,0.05915154216410136,41.672809521930844,7.685277349279511,0.0013492832031347512,7.9051426188754155,2.732125838825721,0.07309331478552894,0.8373219854667429,0.7353490603001752,,16.067596917419905
mu0,0.8125,1.0,3681.813454427652,11.435411560021748,True,optimal,,2.0,1.0638242735959504,0.6660627430940699,0.001,0.05922161334691938,41.674597226938864,7.694264088180126,0.0013470165241288236,7.900097440515443,2.822747272478094,0.0729683107458213,0.8372251345335977,0.7355255624041186,,11.435411560021748
mu0,0.875,1.0,3679.852058324078,7.512619352874026,True,optimal,,2.0,1.0630863814654177,0.7247103327860663,0.001,0.05928152927569513,41.67606714710976,7.70191569610952,0.0013450883007704556,7.895809985157676,2.9059363098065454,0.07286207282766213,0.8371391511861968,0.7356780779996757,,7.512619352874026
mu0,0.9375,1.0,3723.190647124302,94.189796953322,True,optimal,,1e-05,2.0,0.6913728702620742,199.99998538610913,0.001,11.273789951677607,19.22295355018408,0.005616889695519878,8.689247645571099,0.029764551603389016,0.2743276787705829,1.9999999267077353,1.5436891260738008,,94.189796953322
mu0,1.0,1.0,3676.7110644638346,1.2306316323874853,True,optimal,,2.0,1.061902769752186,0.8420105637599804,0.001,0.05937844875713108,41.678358276962776,7.714257591843131,0.001341981488242098,7.8889105174927705,3.053290194816523,0.07269111690712685,0.8369940983827951,0.7359280747442982,,1.2306316323874853
betaF0,0.5318125015394063,1.0636250030788126,3681.7359606492796,11.280424003277403,True,optimal,,1.3608336313460594,,0.8389003204315177,0.001,0.01590734712505188,40.472804379848995,13.728985038614676,0.001365108059499777,7.944943025562188,0.8975537350853106,0.06965258122433375,0.9262405052575486,0.6174276837825968,1.0,11.280424003277403
betaF0,0.6647656269242579,1.0636250030788126,3678.807251480618,5.423005665954406,True,optimal,,1.5590642732596436,,0.8413949828878671,0.001,0.023528677553049014,39.49295676537958,11.286846772774343,0.0013315163643988228,7.905940479409591,1.140687625965213,0.06962118292708179,0.9030674445264052,0.6512887209365033,1.0,5.423005665954406
betaF0,0.7977187523091094,1.0636250030788126,3675.3639883331693,-1.4635206289431153,True,optimal,,1.736157449067312,,0.8416643053946921,0.001,0.02672554958426078,38.696560874297894,9.659002912981641,0.0013621721655655856,7.913156620919963,1.378251922520237,0.0706505981580669,0.8846528632483895,0.6731764997279788,1.0,-1.4635206289431153
betaF0,0.9306718776939609,1.0636250030788126,3673.0294659400174,-6.132565415246972,True,optimal,,1.9149660278278504,,0.8418748595243869,0.001,0.029279488289426815,38.08943286450147,8.434373276137393,0.0013867096873682182,7.919476658073766,1.6187679815051705,0.07149668195279704,0.8708811099395005,0.6891464073767458,1.0,-6.132565415246972
betaF0,1.0636250030788124,1.0636250030788126,3676.7112020681993,1.2309068411168482,True,optimal,,2.0,,0.8419570248958133,0.001,0.059728511917229006,41.7305342110241,7.7082044038049,0.0013433340070714255,7.889698218790494,3.0665345888322184,0.0727470865901044,0.8364974212799453,0.7364739554597461,1.0,1.2309068411168482
betaF0,1.0636250030788126,1.0636250030788126,3676.7112020682,1.2309068411177577,True,optimal,,2.0,,0.8419570248958123,0.001,0.05972851191719465,41.73053421105899,7.708204403805532,0.0013433340070709955,7.889698218790416,3.066534589712752,0.07274708659009456,0.8364974212788826,0.7364739554599018,1.0,1.2309068411177577
betaF0,1.1965781284636638,1.0636250030788126,3677.444654131607,2.697810967932128,True,optimal,,2.0,,0.8381905245747162,0.001,0.10074735876211491,45.76789509353132,7.267451962709569,0.0014421779543822898,7.94552569532091,4.059948089701149,0.07728881285938612,0.8001253030061399,0.7738059911576076,1.0,2.697810967932128
betaF0,1.3295312538485156,1.0636250030788126,3678.1187263688907,4.0459554424996895,True,optimal,,2.0,,0.8350598376390738,0.001,0.19544218142275957,48.98245223390368,6.890061166306031,0.001559724376037585,7.994140460817555,4.039584096267863,0.08264810060956782,0.7692968368114302,0.7971947807574581,1.0,4.0459554424996895
betaF0,1.4624843792333673,1.0636250030788126,3680.4151310552124,8.638764815143077,True,optimal,,2.0,,0.8329662589956811,0.001,0.41541048438918643,51.14416008701951,6.594757469630715,0.0016195238539059957,8.02459776244006,9.99999980554157,0.0885984388016397,0.7386965976459525,0.8117127129482581,1.0,8.638764815143077
betaF0,1.5954375046182188,1.0636250030788126,3683.011067699696,13.830638104110221,True,optimal,,2.0,,0.8311923726309447,0.001,0.6532368347275388,53.285772861488084,6.320679620722426,0.001666653310099769,8.049399329095623,9.99999924068871,0.09519929090400736,0.7136799444158264,0.8222275189287573,1.0,13.830638104110221
Kg0,0.001,0.001,3676.7110646270453,1.2306319588087717,True,optimal,,2.0,1.061902769886878,0.8420105731444536,,0.05937844747428424,41.67835862018384,7.714257598585259,0.0013419814930904998,7.88891051752591,3.0532931390567715,0.0726911169565254,0.8369940912577445,0.7359280754434481,1.0,1.2306319588087717
Kg0,1.25099375,0.001,3687.939332192124,23.687167088965907,True,optimal,,2.0,1.0539041709472374,0.8459890402286706,,0.0645227731536943,42.65020337728376,8.147465080940108,0.0013474691015633602,7.862416289370605,10.0,0.0727448537724718,0.8140229532727591,0.7671891558089389,1.0,23.687167088965907
