,profile_rebase_best_theta
mu0,1.0
betaG0,2.0
betaF0,1.0636250030788126
Kn0,0.8421052641502497
Kg0,0.001
Kf0,0.07723679139554937
Kig0,41.49281243788179
Kie0,7.7183304438751
Kd0,0.00132500401972324
Yxn,7.883251305444625
Yxg,3.080224020633149
Yxf,0.0738056894062923
Yeg,0.836993590748342
Yef,0.7227165166592366
