,theta_WSSE_pso_polished
mu0,0.165012771691806
betaG0,0.9351748886472904
betaF0,0.7802890293634159
Kn0,0.06478395964068326
Kg0,0.01
Kf0,0.1629168079099394
Kig0,34.52158849864043
Kie0,10.0
Kd0,0.0016975747416155397
Yxn,8.848323792029301
Yxg,1.0422186558163877
Yxf,0.17684283817953775
Yeg,0.783376498341941
Yef,0.7057865899599545
