direction,fim_eigenvalue,relative_eigenvalue,singular_value,near_null,condition_number
1,1.1669251688734959e-17,8.461409778673372e-23,3.4160286428446352e-09,True,319004.4334028387
2,0.43231824091641646,3.134752672033245e-06,0.6575091185043873,False,319004.4334028387
3,0.6324257610326776,4.58573836731339e-06,0.795252011020832,False,319004.4334028387
4,1.2964266364136134,9.400428846069367e-06,1.1386073231863623,False,319004.4334028387
5,2.7617497245472946,2.0025530984211965e-05,1.66185129435437,False,319004.4334028387
6,8.225328057487,5.9642103122691256e-05,2.867983273571692,False,319004.4334028387
7,8.901816437732027,6.454734087781651e-05,2.9835911981590284,False,319004.4334028387
8,14.247253245925627,0.0001033072652385132,3.7745533836370133,False,319004.4334028387
9,54.755304539906426,0.0003970323733058747,7.3996827323816,False,319004.4334028387
10,245.89897997789853,0.00178302095905548,15.681166409993184,False,319004.4334028387
11,769.4206881602587,0.005579092737366938,27.738433412149625,False,319004.4334028387
12,1141.2058886744526,0.008274918498185603,33.78173898239184,False,319004.4334028387
13,1467.0003238076476,0.01063726382486544,38.30144023150628,False,319004.4334028387
14,41366.93368352446,0.299952890313785,203.3886272226755,False,319004.4334028387
15,137911.43549325335,1.0,371.3642894695899,False,319004.4334028387
