direction,fim_eigenvalue,relative_eigenvalue,singular_value,near_null,condition_number
1,7.350188958649415e-18,5.28870579680915e-23,2.7111231913451326e-09,True,234986.46735969238
2,0.5914339398063653,4.255564208594643e-06,0.7690474236393782,False,234986.46735969238
3,0.7284437310625036,5.241395295812154e-06,0.8534891511100207,False,234986.46735969238
4,1.2994196358910644,9.349757127995618e-06,1.1399208901897817,False,234986.46735969238
5,6.785739898061562,4.882565895436739e-05,2.6049452773641066,False,234986.46735969238
6,8.237472132165347,5.92713559631286e-05,2.870099672862486,False,234986.46735969238
7,9.68120176793902,6.965947161117091e-05,3.1114629626494064,False,234986.46735969238
8,24.63728784250116,0.00017727349291743073,4.963596261029009,False,234986.46735969238
9,50.62016720794766,0.00036422896507046183,7.1147851132657305,False,234986.46735969238
10,255.25772165878757,0.0018366643358583578,15.976786962928045,False,234986.46735969238
11,798.1776749170976,0.005743154250817199,28.252038420565295,False,234986.46735969238
12,1177.3433462370976,0.008471377559282437,34.31243719465433,False,234986.46735969238
13,1471.6086337238462,0.010588714325025726,38.36155150308504,False,234986.46735969238
14,41288.2521432055,0.29708272763917115,203.1951085612188,False,234986.46735969238
15,138978.9721917227,1.0,372.7988360922318,False,234986.46735969238
