direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,0.0022977462798186073,1.2157370084972797e-08,"qXG, qXF, qEG, betaF0, betaG0","-0.959, +0.285, +0.002, +0.001, -0.001","0.959, 0.285, 0.002, 0.001, 0.001"
2,0.0067256361392370395,3.5585324767897016e-08,"qXF, qXG, qEF, betaF0, betaG0","+0.959, +0.285, -0.002, -0.001, +0.001","0.959, 0.285, 0.002, 0.001, 0.001"
3,241.6217270611185,0.0012784199814629663,"betaF0, qEG, qEF, mu0, qN","-0.830, -0.441, -0.267, +0.157, -0.144","0.830, 0.441, 0.267, 0.157, 0.144"
4,456.2520177901793,0.0024140283376843023,"betaG0, qEF, mu0, betaF0, qEG","-0.757, -0.378, +0.339, +0.315, -0.247","0.757, 0.378, 0.339, 0.315, 0.247"
5,1095.6656211380814,0.005797164187600735,"qN, mu0, qEF, betaG0, qEG","+0.778, +0.591, +0.181, +0.077, -0.070","0.778, 0.591, 0.181, 0.077, 0.070"
6,2780.8620574177603,0.014713534511719679,"qEF, qEG, betaG0, mu0, qN","-0.752, +0.603, +0.195, +0.130, +0.107","0.752, 0.603, 0.195, 0.130, 0.107"
7,49492.98038579434,0.2618672411498376,"mu0, qN, qEG, qEF, betaF0","+0.597, -0.504, +0.452, +0.389, -0.167","0.597, 0.504, 0.452, 0.389, 0.167"
8,189000.2742170984,1.0,"betaG0, betaF0, qEG, mu0, qN","-0.614, -0.422, +0.414, -0.372, +0.313","0.614, 0.422, 0.414, 0.372, 0.313"
