direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,1.1669251688734959e-17,8.461409778673372e-23,"Kd0, m0, qXG, qXF, iG","-1.000, +0.000, +0.000, +0.000, +0.000","1.000, 0.000, 0.000, 0.000, 0.000"
2,0.43231824091641646,3.134752672033245e-06,"m0, qXF, iG, qEF, qXG","-0.667, +0.621, +0.337, +0.138, -0.124","0.667, 0.621, 0.337, 0.138, 0.124"
3,0.6324257610326776,4.58573836731339e-06,"qXG, m0, qXF, sG, qEG","+0.855, -0.426, -0.248, +0.097, -0.083","0.855, 0.426, 0.248, 0.097, 0.083"
4,1.2964266364136134,9.400428846069367e-06,"qXF, m0, qXG, betaF0, iG","+0.655, +0.553, +0.451, -0.124, +0.120","0.655, 0.553, 0.451, 0.124, 0.120"
5,2.7617497245472946,2.0025530984211965e-05,"betaF0, qEF, sG, iG, iE","+0.449, +0.417, +0.374, +0.372, +0.360","0.449, 0.417, 0.374, 0.372, 0.360"
6,8.225328057487,5.9642103122691256e-05,"sG, sF, iG, iE, qXG","+0.808, +0.431, -0.271, +0.177, -0.120","0.808, 0.431, 0.271, 0.177, 0.120"
7,8.901816437732027,6.454734087781651e-05,"sN, mu0, qN, sF, iG","+0.987, -0.097, -0.090, +0.061, +0.058","0.987, 0.097, 0.090, 0.061, 0.058"
8,14.247253245925627,0.0001033072652385132,"sF, iE, sG, qEG, betaG0","+0.763, +0.332, -0.322, +0.243, +0.221","0.763, 0.332, 0.322, 0.243, 0.221"
9,54.755304539906426,0.0003970323733058747,"iG, iE, betaF0, qXF, sF","+0.743, -0.369, -0.310, -0.292, +0.216","0.743, 0.369, 0.310, 0.292, 0.216"
10,245.89897997789853,0.00178302095905548,"betaG0, betaF0, iE, sF, mu0","-0.718, +0.526, -0.255, +0.199, +0.171","0.718, 0.526, 0.255, 0.199, 0.171"
11,769.4206881602587,0.005579092737366938,"mu0, iE, qEG, qN, betaF0","-0.558, -0.476, +0.461, -0.331, +0.307","0.558, 0.476, 0.461, 0.331, 0.307"
12,1141.2058886744526,0.008274918498185603,"qN, qEG, iE, betaG0, mu0","-0.714, -0.398, +0.337, -0.295, -0.285","0.714, 0.398, 0.337, 0.295, 0.285"
13,1467.0003238076476,0.01063726382486544,"qEF, qEG, iE, mu0, iG","+0.701, -0.481, -0.328, -0.247, -0.207","0.701, 0.481, 0.328, 0.247, 0.207"
14,41366.93368352446,0.299952890313785,"mu0, qN, iE, qEF, qEG","+0.701, -0.583, -0.256, +0.225, +0.172","0.701, 0.583, 0.256, 0.225, 0.172"
15,137911.43549325335,1.0,"betaG0, betaF0, qEG, qEF, mu0","-0.526, -0.517, +0.484, +0.442, -0.121","0.526, 0.517, 0.484, 0.442, 0.121"
