candidate_id,source_profiled_theta,source_theta_value,source_objective,source_lr_stat,success,objective,error,n_bound_adjustments,estimated_mu0,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef
profile_negative_01,betaF0,0.9291649234612388,3673.0515108685245,-7.319106754978748,True,3676.711064247463,,0,1.0,2.0,1.0619027696009742,0.8420105731306454,0.001,0.059378448969253185,41.678358280110864,7.714257593032901,0.0013419814879165066,7.888910517010348,3.053290221462637,0.07269111689995417,0.8369940983489562,0.7359280747123585
profile_negative_02,Yef,0.643937065416657,3673.0840221968747,-7.254084098278327,True,3676.7110642460134,,0,1.0,2.0,1.0619027696699803,0.842010573141673,0.001,0.05937844876388855,41.67835827712245,7.714257592703168,0.0013419814880257246,7.888910517012691,3.0532902057638873,0.07269111689523204,0.8369940983723492,0.7359280747618915
profile_negative_03,Yeg,0.9416183606688899,3673.0935988563415,-7.234930779344722,True,3676.711064246013,,0,1.0,2.0,1.0619027696699788,0.8420105731416726,0.001,0.05937844876389028,41.67835827712037,7.714257592703143,0.0013419814880257467,7.888910517012699,3.053290205720908,0.0726911168952324,0.8369940983724037,0.7359280747618834
profile_negative_04,Kig0,26.048973923201416,3673.682471347883,-6.057185796261365,True,3676.7110642460134,,0,1.0,2.0,1.0619027696699825,0.8420105731416727,0.001,0.05937844876388948,41.678358277122356,7.714257592703159,0.0013419814880257282,7.888910517012696,3.053290205763878,0.07269111689523206,0.836994098372349,0.7359280747618924
profile_negative_05,Kf0,1.2582910560954863,3674.5270276304673,-4.368073231093149,True,3676.711064246013,,0,1.0,2.0,1.0619027696699783,0.8420105731416733,0.001,0.059378448763888335,41.67835827712218,7.71425759270318,0.0013419814880257235,7.88891051701269,3.0532902057637252,0.07269111689523186,0.8369940983723504,0.7359280747618909
profile_negative_06,Kig0,31.258768707841696,3674.68995707986,-4.042214332307594,True,3676.7110642460134,,0,1.0,2.0,1.0619027696699412,0.8420105731416763,0.001,0.05937844876389527,41.67835827709951,7.714257592703027,0.001341981488025966,7.8889105170127065,3.0532902050552377,0.0726911168952356,0.8369940983729678,0.7359280747617949
profile_negative_07,betaG0,1.625,3674.836082331428,-3.749963829171975,True,3676.0957488201784,,0,1.0,2.0,1.0636249959367823,0.842105262830992,0.001,0.0772368228345515,41.49281275895252,7.718330481728525,0.0013250040066133655,7.883251305191773,3.080225888441286,0.07380569004726523,0.8369935878807861,0.7227165106659117
profile_negative_08,betaF0,0.7964270772524904,3675.3911995239923,-2.6397294440430414,True,3676.7110642460134,,0,1.0,2.0,1.0619027696699892,0.8420105731416726,0.001,0.059378448763890736,41.67835827712237,7.714257592703138,0.0013419814880257321,7.888910517012698,3.0532902057622113,0.07269111689523224,0.8369940983723496,0.7359280747618944
profile_negative_09,Yeg,1.0462426229654334,3675.704211321127,-2.0137058497739417,True,3676.7110642373123,,0,1.0,2.0,1.061902769761118,0.842010573142503,0.001,0.059378450247806296,41.67835826945576,7.7142575927967085,0.0013419814877116284,7.8889105169132945,3.0532902054143474,0.07269111692312046,0.8369940983769364,0.7359280744353278
profile_negative_10,Yxg,3.053290205764467,3676.0957495323973,-1.2306294272329978,True,3676.095748647641,,0,1.0,2.0,1.0636250030788126,0.8421052641502497,0.001,0.07723679139554937,41.49281243788179,7.7183304438751,0.00132500401972324,7.883251305444625,3.080224020633149,0.0738056894062923,0.836993590748342,0.7227165166592366
profile_negative_11,Yxg,1.9083063786027918,3676.100082324341,-1.2219638433452928,True,3676.7110642460134,,0,1.0,2.0,1.061902769669984,0.8420105731416719,0.001,0.059378448763891714,41.67835827712003,7.714257592703112,0.00134198148802576,7.888910517012707,3.0532902057077496,0.07269111689523279,0.8369940983724166,0.7359280747618824
profile_negative_12,betaG0,1.75,3676.1746604326067,-1.0728076268142104,True,3676.711064246013,,0,1.0,2.0,1.0619027696699923,0.8420105731416716,0.001,0.059378448763888474,41.6783582771229,7.714257592703112,0.001341981488025739,7.888910517012711,3.053290205764139,0.07269111689523258,0.8369940983723452,0.7359280747618954
profile_negative_13,Kig0,20.839179138561132,3676.263199920637,-0.8957286507538811,True,3676.711064246014,,0,1.0,2.0,1.0619027696699852,0.8420105731416722,0.001,0.05937844876389019,41.67835827712224,7.7142575927031505,0.0013419814880257326,7.888910517012702,3.053290205764124,0.07269111689523214,0.8369940983723478,0.7359280747618929
profile_negative_14,Kig0,57.30774263104311,3676.4962046412898,-0.4297192094481943,True,3676.7110642460134,,0,1.0,2.0,1.0619027696699859,0.8420105731416726,0.001,0.05937844876388848,41.67835827712259,7.7142575927031425,0.0013419814880257315,7.888910517012701,3.053290205763856,0.07269111689523225,0.8369940983723477,0.7359280747618934
