direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,11.822078731356342,0.00012894659548218226,"Kig0, betaG0, Yeg, Yxf, Yef","-0.855, +0.305, +0.305, -0.237, -0.134","0.855, 0.305, 0.305, 0.237, 0.134"
2,42.75168014048848,0.0004663040849692214,"Kn0, mu0, Kie0, betaF0, Kig0","+0.840, +0.508, -0.112, +0.097, +0.080","0.840, 0.508, 0.112, 0.097, 0.080"
3,67.7731123150523,0.000739219582007886,"Kie0, betaF0, betaG0, Yxf, Kig0","-0.658, +0.560, +0.411, -0.131, +0.127","0.658, 0.560, 0.411, 0.131, 0.127"
4,92.00808731115687,0.0010035569788698136,"Yxf, Yef, Kie0, Kig0, betaF0","-0.827, +0.512, +0.120, +0.120, -0.107","0.827, 0.512, 0.120, 0.120, 0.107"
5,145.3569741130217,0.0015854476498918932,"Kd0, Kig0, Yef, betaF0, Yeg","+0.919, -0.201, +0.173, +0.172, -0.166","0.919, 0.201, 0.173, 0.172, 0.166"
6,494.524871128688,0.005393915906191334,"Yeg, Kig0, betaG0, Kd0, betaF0","-0.536, -0.412, -0.381, -0.370, +0.342","0.536, 0.412, 0.381, 0.370, 0.342"
7,1900.013868106629,0.02072396278426519,"Yef, Yxn, Yxf, betaF0, Kie0","+0.630, +0.427, +0.367, -0.342, -0.269","0.630, 0.427, 0.367, 0.342, 0.269"
8,4464.21341958255,0.048692377630190006,"Yxn, betaG0, Yef, Kie0, Yxf","-0.584, +0.506, +0.383, +0.348, +0.250","0.584, 0.506, 0.383, 0.348, 0.250"
9,9387.932000978335,0.10239670176900456,"Yeg, betaG0, betaF0, Yxn, Yef","-0.721, +0.429, -0.423, +0.248, -0.189","0.721, 0.429, 0.423, 0.248, 0.189"
10,43352.936117731406,0.4728621457841228,"mu0, Kn0, Yxn, Kie0, betaG0","+0.812, -0.494, -0.269, +0.110, +0.079","0.812, 0.494, 0.269, 0.110, 0.079"
11,91681.97645815247,1.0,"Yxn, Kie0, betaF0, betaG0, Kig0","-0.580, -0.567, -0.463, -0.322, -0.122","0.580, 0.567, 0.463, 0.322, 0.122"
