campaign_order,lot,candidate,event,relative_time_h,datetime,weekday,details,channel,amount,operational
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,0.0,2026-06-15 08:00:00,Monday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,2.0,2026-06-15 10:00:00,Monday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
1,1,synthetic_fructose_rich_glucose_pulse,liquid_sample,2.0,2026-06-15 10:00:00,Monday,G/F/YAN/PAN/NH4/glycerol/ethanol/biomass/Pyr/AcAld/Acetate/aromas,,,True
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,4.0,2026-06-15 12:00:00,Monday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
1,1,synthetic_fructose_rich_glucose_pulse,liquid_sample,4.0,2026-06-15 12:00:00,Monday,G/F/YAN/PAN/NH4/glycerol/ethanol/biomass/Pyr/AcAld/Acetate/aromas,,,True
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,6.0,2026-06-15 14:00:00,Monday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
1,1,synthetic_fructose_rich_glucose_pulse,liquid_sample,6.0,2026-06-15 14:00:00,Monday,G/F/YAN/PAN/NH4/glycerol/ethanol/biomass/Pyr/AcAld/Acetate/aromas,,,True
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,8.0,2026-06-15 16:00:00,Monday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
1,1,synthetic_fructose_rich_glucose_pulse,liquid_sample,8.0,2026-06-15 16:00:00,Monday,G/F/YAN/PAN/NH4/glycerol/ethanol/biomass/Pyr/AcAld/Acetate/aromas,,,True
1,1,synthetic_fructose_rich_glucose_pulse,DO_measurement,26.0,2026-06-16 10:00:00,Tuesday,DO spot measurement; do not treat as controlled oxygen pulse,,,True
