,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,5947.594396123396,-1284.3032998038927,-171.81608368887032,213.28804114461408,2667.1865530536893,2313.6150102244537,-639.4392516908907,-2562.129693287198,0.0,466.8632461460101,5.32712075783649,-46.83604011479249,-24.903660247955855,97.9366943424925,471.2428517181472,-1.7995672081707101,450.780485367758,139.70195782900436,392.14572095920283,108.04445537451149,440.69530388488687,113.87517121581364,442.1945383456332,-20.53365680399884,-22.919355265200583,-28.174699841984822
qN,-1284.3032998038927,4383.03033550465,593.7247335434458,89.31367105590188,-2586.8307475812167,-1856.5600491628297,516.0985090588504,1617.1268687546576,0.0,-142.961515852108,-1.5658834853192822,-208.38205011798982,-49.40685551527404,54.406119913891615,-2511.9525011928918,120.71663828438898,-349.40143264026295,56.123367053279786,305.26690183752027,59.602546387964914,440.77703443168315,58.273097707306995,408.51663500868256,-21.324349877585362,-31.5832591728604,-35.22734679623726
betaG0,-171.81608368887032,593.7247335434458,5528.805758162232,3782.025589423461,-5710.259032602357,-3834.0977898175884,35.87646160231283,191.385177691845,0.0,-303.86453797555566,-3.6035330611430823,-102.09327263871155,-24.85661025916707,37.74549027564918,-816.1882415552902,43.41506489355762,121.91619924894815,-46.98675563542409,-111.23149727453776,-30.053799545893117,-82.83833034941297,-30.458696087372772,-72.24565276137493,5.180168021826831,2.6772995271632185,2.3382768215100693
betaF0,213.28804114461408,89.31367105590188,3782.025589423461,2744.716550757236,-3583.1211005745213,-2697.222241466673,2.5002607913039627,-110.66011605532265,0.0,-80.64688047057716,-0.9411145987473915,-39.065220243133275,-9.663480928813957,15.439504001510015,-301.1378252646268,17.163440011961892,81.4932904725556,-28.188947434815706,-97.21330497367087,-19.612160140179704,-94.33163522805421,-20.665147597283898,-94.28313372387538,5.805165732459013,5.650619125293843,6.977799435311204
qEG,2667.1865530536893,-2586.8307475812167,-5710.259032602357,-3583.1211005745213,10881.044309589974,4663.4223508069845,-338.76285522242506,-1794.0389097922537,0.0,-1677.3636161275103,-27.408749759380317,301.63593227283883,71.43094040007786,-100.53471779221101,2517.9461503167236,-121.4860428923496,-58.643754616952414,72.5180227769357,62.306844605964926,40.2526896045594,-24.710714879687316,44.14926554682019,-15.592126850563215,0.3510433817706541,7.728135265052729,8.324180827443836
qEF,2313.6150102244537,-1856.5600491628297,-3834.0977898175884,-2697.222241466673,4663.4223508069845,5349.681271618842,-746.3169096246183,-1448.3571538267831,0.0,-38.721392885057455,-0.6644764900672032,162.73037865284658,38.702994073464104,-55.003727828122805,1367.5071060387363,-66.25726530272203,-31.097957147504278,71.68599562988697,168.00962812570842,47.6568951255032,141.06956929259388,51.42315506051001,149.30873075780565,-7.765136185465997,-5.221914109905117,-7.317055333418413
iG,-639.4392516908907,516.0985090588504,35.87646160231283,2.5002607913039627,-338.76285522242506,-746.3169096246183,216.10053238379655,414.36050574207883,0.0,27.54723132448966,0.336955786559546,-45.87098401135804,-10.698983726319973,14.386616898365165,-389.0314120547702,17.881993255135864,-13.594887858331473,-7.872310335154954,3.49597954591561,-3.941714878257314,15.75717162079783,-4.8003435381562936,11.393467688114736,-0.8699901081247,-1.9252470960874366,-1.9032509123207801
iE,-2562.129693287198,1617.1268687546576,191.385177691845,-110.66011605532265,-1794.0389097922537,-1448.3571538267831,414.36050574207883,1539.5734077403542,0.0,-264.8291745216303,-3.0963326221291423,-101.745273992668,-24.28611155504158,34.26330935453608,-901.8104762479024,42.14145851769017,-47.18314792972053,-42.71660326055178,-78.38737371240222,-28.748283006162442,-62.36935317544954,-31.669601135826415,-72.78298352778683,2.6209884961370182,0.8644780043826246,2.138208133697288
Kd0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gammaG0,466.8632461460101,-142.961515852108,-303.86453797555566,-80.64688047057716,-1677.3636161275103,-38.721392885057455,27.54723132448966,-264.8291745216303,0.0,2606.930605880475,38.194062841845366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
