timestamp,fermentador,T,SP,banda,cold,hot,nutricion_activa,freq_nut
2026-05-12 16:14:49,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:14:53,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:14:56,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:00,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:03,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:06,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:10,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:13,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:17,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:20,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:24,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:27,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:30,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:34,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:37,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:41,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:44,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:48,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:51,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:54,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:15:58,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:01,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:05,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:08,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:12,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:15,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:18,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:22,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:25,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:29,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:32,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:35,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:39,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:42,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:46,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:49,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:53,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:56,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:16:59,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:03,F2,17.7,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:06,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:10,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:13,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:17,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:20,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:23,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:27,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:30,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:34,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:37,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:40,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:44,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:47,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:51,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:54,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:17:58,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:01,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:04,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:08,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:11,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:15,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:18,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:21,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:25,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:28,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:32,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:35,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:39,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:42,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:45,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:49,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:52,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:56,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:18:59,F2,17.6,18.00,0.50,0,0,0,500.0
2026-05-12 16:19:03,F2,17.6,18.00,0.50,0,0,0,500.0
