campaign_order,batch,candidate,start_datetime,nominal_horizon_h,operational_final_h,sample_time_h,calendar_time,date,weekday,clock,is_final,sampling_phase,measurements
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,1.0,2026-06-15 09:00:00,2026-06-15,Monday,09:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,3.0,2026-06-15 11:00:00,2026-06-15,Monday,11:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,6.0,2026-06-15 14:00:00,2026-06-15,Monday,14:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,8.0,2026-06-15 16:00:00,2026-06-15,Monday,16:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,25.0,2026-06-16 09:00:00,2026-06-16,Tuesday,09:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,27.0,2026-06-16 11:00:00,2026-06-16,Tuesday,11:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,30.0,2026-06-16 14:00:00,2026-06-16,Tuesday,14:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,32.0,2026-06-16 16:00:00,2026-06-16,Tuesday,16:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,49.0,2026-06-17 09:00:00,2026-06-17,Wednesday,09:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,51.0,2026-06-17 11:00:00,2026-06-17,Wednesday,11:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,54.0,2026-06-17 14:00:00,2026-06-17,Wednesday,14:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,56.0,2026-06-17 16:00:00,2026-06-17,Wednesday,16:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,73.0,2026-06-18 09:00:00,2026-06-18,Thursday,09:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
1,1,fructose_rich_iG_probe,2026-06-15 08:00:00,192.0,193.0,75.0,2026-06-18 11:00:00,2026-06-18,Thursday,11:00,False,front_loaded,"X,Xd,N,G,F,E,aromas_liquid"
