strategy,dose_design,sampling_mode,robust_score,median,q10,minimum,tail_cvar,fraction_exceeding_information_reference,worst_paired_loss_vs_information_reference,completion_probability,minimum_drying_margin_h,maximum_internal_jump_c,maximum_initial_jump_c,minimum_robust_physical_temperature_c,maximum_robust_physical_temperature_c,anchor_yan_mg_l,coverage_yan_mg_l,temperature_changes,total_thermal_variation_c,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,distinct_sampling_slots,harmonized_score_loss_fraction,additional_shared_nonbasal_slots,operator_rounds,operator_round_reduction,sampling_gate,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N80,independent,21.531906237630484,23.047662233836604,16.984638249012118,13.244691234866071,15.666486760678305,0.109375,-0.6026487048338751,1.0,38.1309511668879,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,80.0,80.0,5,12.07552705104138,0.18774777485822117,7643.674234137633,15,0.0,0,30,0,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,21.49428415564161,23.00760334758557,16.954326579809724,13.12000926726881,15.602137825102275,0.125,-0.7414542344689963,1.0,38.1309511668879,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,80.0,80.0,5,12.07552705104138,0.1876816595633615,7489.135846087621,12,0.0017472713086184818,2,12,18,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,21.50190465296916,23.016017851971768,16.959565055961328,13.22267987078688,15.644353985734538,0.078125,-0.623632968978697,1.0,39.03371597703901,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,80.0,76.0,5,12.07552705104138,0.1877312660788418,7647.42111346358,15,0.0,0,30,0,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,21.469611860008893,22.982927781562292,16.929664095348695,13.09550342289852,15.57967927333066,0.125,-0.7637737793325385,1.0,39.03371597703901,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,80.0,76.0,5,12.07552705104138,0.18766528539502325,7497.265985549161,12,0.0015018573229421829,2,12,18,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,21.501591042832,23.01596888135408,16.95845752726576,13.222862005809123,15.643249030806617,0.0625,-0.6263289649913659,1.0,39.03371597703901,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,76.0,76.0,5,12.07552705104138,0.18773130524221104,7647.744384667541,15,0.0,0,30,0,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,partially_harmonized,21.467529830518824,22.980989154380577,16.927151858933573,13.093801845862796,15.578091921183146,0.125,-0.7666945863461265,1.0,39.03371597703901,3.8128795727316387,3.63199609109315,15.0,25.839495580810443,76.0,76.0,5,12.07552705104138,0.18766516417361676,7497.603803959129,12,0.0015841252047499657,2,12,18,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,independent,21.346897316479748,22.83490024475655,16.882888531649346,13.272180424629891,15.61375200702183,0.03125,-0.6346037054691394,1.0,-2.1894220054833795,4.587601035135126,3.3782736457670914,15.0,26.36049459788787,80.0,80.0,5,14.329632539710683,0.18758796440427003,7691.989238663871,14,0.0,0,30,0,FAIL,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,partially_harmonized,21.30339896236658,22.790606018667976,16.841777793462384,13.169770169871217,15.55249947001657,0.03125,-0.6870052238814921,1.0,-2.1894220054833795,4.587601035135126,3.3782736457670914,15.0,26.36049459788787,80.0,80.0,5,14.329632539710683,0.18752295580018616,7598.56404870909,12,0.0020376897620427484,3,12,18,FAIL,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,independent,21.30925011263343,22.794897817424935,16.85230699825891,13.209306091227948,15.572602963795601,0.015625,-0.6872578880967097,1.0,12.674733345535927,4.566866473879443,3.3561524277608896,15.0,26.16734424093822,80.0,76.0,5,14.75886064502481,0.18756602993425384,7705.823855911272,14,0.0,0,30,0,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,partially_harmonized,21.264662342280353,22.749301710337807,16.810744238107983,13.104625833933436,15.510156831120971,0.03125,-0.7360121213849808,1.0,12.674733345535927,4.566866473879443,3.3561524277608896,15.0,26.16734424093822,80.0,76.0,5,14.75886064502481,0.18750082252393685,7612.453757147364,12,0.002092413863341025,3,12,18,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,independent,21.30880657368713,22.79470857596964,16.851100566839587,13.209508169803481,15.571406626291596,0.015625,-0.6901814054098736,1.0,12.674733345535927,4.566866473879443,3.3561524277608896,15.0,26.16734424093822,76.0,76.0,5,14.75886064502481,0.18756601311019588,7706.198878859884,14,0.0,0,30,0,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_all_conservative,partially_harmonized,21.263887198031334,22.74884699522078,16.809007806463004,13.10398061774956,15.509152463102675,0.03125,-0.7371472687856055,1.0,12.674733345535927,4.566866473879443,3.3561524277608896,15.0,26.16734424093822,76.0,76.0,5,14.75886064502481,0.18750127891141471,7612.464395942226,12,0.0021080193064994387,3,12,18,PASS,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
