iteration,best_objective
0,-3.9834959428995127
1,-3.9834959428995127
2,-3.9834959428995127
3,-4.077015329080478
4,-4.077015329080478
5,-4.077015329080478
6,-4.162137675183197
7,-4.214899166984238
8,-4.214899166984238
9,-4.214899166984238
10,-4.214899166984238
11,-4.214899166984238
12,-4.214899166984238
