validation_case,policy,member_role,ensemble_member,actuator_scenario,time_grid_step_h,relative_fim_difference_vs_nominal,minimum_eigenvalue,maximum_eigenvalue,condition_number
anchor,anchor_18C,anchor,62,null,4.0,0.035604065962954484,0.034213962388971376,200.74201291444638,5867.254152917235
anchor,anchor_18C,anchor,62,null,2.0,0.0,0.035664002888558734,209.94086093314996,5886.632007886599
anchor,anchor_18C,anchor,62,null,1.0,0.008200622283157672,0.036557220639132894,211.65974429949333,5789.820467722344
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,4.0,0.01728014319676184,0.025798913438012966,254.66981160476928,9871.338659927065
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,2.0,0.0,0.023310647614780418,259.5580098366786,11134.74040387031
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,1.0,0.014375213516973802,0.020834595842042513,263.9206359158011,12667.422872836862
candidate_B,benchmark_cool_then_warm,candidate_B,62,null,4.0,0.03370808676683597,0.021871176288910943,149.42734112232216,6832.158414729817
candidate_B,benchmark_cool_then_warm,candidate_B,62,null,2.0,0.0,0.023596070404307536,155.35638006426728,6583.993749904496
candidate_B,benchmark_cool_then_warm,candidate_B,62,null,1.0,0.016329006440686834,0.02504331278883055,158.12489120219055,6314.056472301663
central_member,anchor_18C,central_member,62,null,4.0,0.035604065962954484,0.034213962388971376,200.74201291444638,5867.254152917235
central_member,anchor_18C,central_member,62,null,2.0,0.0,0.035664002888558734,209.94086093314996,5886.632007886599
central_member,anchor_18C,central_member,62,null,1.0,0.008200622283157672,0.036557220639132894,211.65974429949333,5789.820467722344
lowest_information_member,anchor_18C,lowest_information_member,36,null,4.0,0.03307274411784879,0.002981902291444224,165.97487970709398,55660.73716879147
lowest_information_member,anchor_18C,lowest_information_member,36,null,2.0,0.0,0.00325956198729381,172.59945970151216,52951.734120819594
lowest_information_member,anchor_18C,lowest_information_member,36,null,1.0,0.019202807224742803,0.0033974967409929955,176.4375652019117,51931.636334798604
highest_information_member,anchor_18C,highest_information_member,12,null,4.0,0.037082370051381854,1.9374287168001814,198.71334661170636,102.5655008045392
highest_information_member,anchor_18C,highest_information_member,12,null,2.0,0.0,1.6579634917199482,208.5060407684465,125.76033296857776
highest_information_member,anchor_18C,highest_information_member,12,null,1.0,0.020330621623079206,1.6072899411226491,213.84016526708285,133.04392679625755
critical_drying_member,benchmark_warm_then_cool,critical_drying_member,9,null,4.0,0.027105688196411,0.16248062464587254,180.81585309134385,1112.8456299662378
critical_drying_member,benchmark_warm_then_cool,critical_drying_member,9,null,2.0,0.0,0.13431803917669818,184.28977866657632,1372.040418369563
critical_drying_member,benchmark_warm_then_cool,critical_drying_member,9,null,1.0,0.01254431040165705,0.12523322497997932,185.97700518203936,1485.045244277395
critical_actuator_scenario,benchmark_cool_then_warm,critical_actuator_scenario,62,"{""tau_h"": 0.45812979693594796, ""tracking_error_c"": 0.8946199169856546}",4.0,0.04907927035077109,0.02711208350897791,167.6233832942076,6182.607959240782
critical_actuator_scenario,benchmark_cool_then_warm,critical_actuator_scenario,62,"{""tau_h"": 0.45812979693594796, ""tracking_error_c"": 0.8946199169856546}",2.0,0.0,0.031124407778938486,178.81359888363673,5745.124538711311
critical_actuator_scenario,benchmark_cool_then_warm,critical_actuator_scenario,62,"{""tau_h"": 0.45812979693594796, ""tracking_error_c"": 0.8946199169856546}",1.0,0.024296786788619053,0.032745496843500387,184.34009497180432,5629.479248790014
