validation_case,policy,member_role,ensemble_member,actuator_scenario,parameter,difference_method,finite_difference_log_step,scaled_sensitivity_l2_norm,scaled_sensitivity_max_abs,scaled_sensitivity_nonzero
anchor,anchor_18C,anchor,62,null,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate:central,0.02,2.8449510983774178,1.1008902823550233,True
anchor,anchor_18C,anchor,62,null,ethyl_acetate__formation_stationary_ug_per_g_sugar,ethyl_acetate:central,0.02,7.520467246193514,3.846649377313734,True
anchor,anchor_18C,anchor,62,null,ethyl_acetate__effective_loss_scale,ethyl_acetate:central,0.02,10.608541592756021,4.000183047684502,True
anchor,anchor_18C,anchor,62,null,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate:central,0.02,0.5485336166128745,0.2856093558563856,True
anchor,anchor_18C,anchor,62,null,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate:central,0.02,9.665019082804731,4.595783786397799,True
anchor,anchor_18C,anchor,62,null,ethyl_octanoate__effective_loss_scale,ethyl_octanoate:central,0.02,5.834813439703846,3.997058899656186,True
anchor,anchor_18C,anchor,62,null,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate:central,0.02,0.23366992435324854,0.16248794382477197,True
anchor,anchor_18C,anchor,62,null,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate:central,0.02,13.533910614172786,4.973146539358696,True
anchor,anchor_18C,anchor,62,null,isoamyl_acetate__effective_loss_scale,isoamyl_acetate:central,0.02,7.998799216028798,3.9996132294752598,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate:central,0.02,3.04744988478292,1.4836751595360937,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_acetate__formation_stationary_ug_per_g_sugar,ethyl_acetate:central,0.02,9.458894184910998,4.072343310170945,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_acetate__effective_loss_scale,ethyl_acetate:central,0.02,10.652551287027947,4.0000227420195955,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate:central,0.02,0.6550377332692949,0.40330526384887433,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate:central,0.02,11.499942607406025,4.6804297092384255,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,ethyl_octanoate__effective_loss_scale,ethyl_octanoate:central,0.02,7.172928977306396,3.996787907478152,True
candidate_A,benchmark_warm_then_cool,candidate_A,62,null,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate:central,0.02,0.1911359435361359,0.14590009498643483,True
