candidate,family,channel,time_h,amount
glucose_rich_growth_yield,sugar_initial,N,1.0,0.11413529518765021
glucose_rich_growth_yield,sugar_initial,N,39.0,0.048672454992414266
glucose_rich_growth_yield,sugar_initial,G,43.0,20.66985643551745
glucose_rich_growth_yield,sugar_initial,F,76.0,38.89077532287245
fructose_rich_iG_probe,sugar_initial,N,0.0,0.10749644636057037
fructose_rich_iG_probe,sugar_initial,N,49.0,0.07791354959980562
fructose_rich_iG_probe,sugar_initial,G,72.0,46.56174087361915
combined_stress_long_horizon,integrated,N,8.0,0.04464517110180516
combined_stress_long_horizon,integrated,N,66.0,0.07500181795377109
combined_stress_long_horizon,integrated,G,71.0,40.28676008845532
combined_stress_long_horizon,integrated,F,87.0,25.396383324428236
combined_stress_long_horizon,integrated,E,115.0,24.33470142423376
yan_saturation_scan,saturation,N,32.0,0.016926481585512753
yan_saturation_scan,saturation,N,41.0,0.12868562877052858
yan_saturation_scan,saturation,E,116.0,18.49826542245085
low_temp_growth_separation_plus_co2,legacy_plus,N,0.0,0.08237863117225216
low_temp_growth_separation_plus_co2,legacy_plus,N,14.0,0.049357341682895996
low_temp_growth_separation_plus_co2,legacy_plus,N,52.0,0.06051722587006254
glucose_pulse_after_N_depletion,pulse_separation,N,0.0,0.035
glucose_pulse_after_N_depletion,pulse_separation,G,72.0,45.0
high_biomass_low_N_maintenance,maintenance,N,72.0,0.015
high_biomass_low_N_maintenance,maintenance,G,48.0,20.0
high_biomass_low_N_maintenance,maintenance,F,96.0,20.0
ethanol_initial_challenge,ethanol,N,7.0,0.09095589592260844
ethanol_initial_challenge,ethanol,N,31.0,0.029712412499543456
viable_biomass_step,biomass_input,N,0.0,0.07412810959171823
viable_biomass_step,biomass_input,N,55.0,0.04495668771532462
viable_biomass_step,biomass_input,G,120.0,21.473837505413776
viable_biomass_step,biomass_input,X,31.0,0.8271321695785119
