,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
mu0,427361.0357505603,4364.636925281372,-344694.1532626357,-1634.0193477267135,-171.06459997410167,248987.72458298993,65656.0557669787,138548.7737649753,27379.691932685448,-27606.084529231528,8807.744556580094,-57109.37380006419,-241144.09939143684,-19280.37399613564,233.86755438696525
sN,4364.636925281372,104.92250583167677,-2680.301739856953,-3.3125288546102323,3.5708727892582823,2294.058504936734,593.0210122692723,1159.144099992964,213.08882241796545,-71.83463923061657,101.72419513387747,-536.7852132030628,-1986.550547071987,-76.36696189689673,5.073267605329139
qN,-344694.1532626357,-2680.301739856953,300001.0594069811,1099.1582235412811,-124.89355099113112,-200365.42806921699,-55220.636509294825,-111762.02167334965,-23298.179346299326,17017.10375397544,-12820.540698801076,48368.47814637561,204790.1393056111,17682.88965188224,-709.250880544601
qXG,-1634.0193477267135,-3.3125288546102323,1099.1582235412811,301.02178443804394,144.28258905504683,-5887.813625028446,-337.1455339922408,-4321.4781698253755,-355.2905752500805,6050.812166525201,2757.820723716206,384.7657717744645,1240.1293253051813,43.629369580351806,318.90927772236097
qXF,-171.06459997410167,3.5708727892582823,-124.89355099113112,144.28258905504683,211.98385925203442,-3761.742045883535,-317.3915031522795,-2513.5738915302477,30.601488756311674,2854.1850113752876,3256.0547784977252,-354.4667917589931,299.6911553412491,-14.776648578835271,267.3494804004924
betaG0,248987.72458298993,2294.058504936734,-200365.42806921699,-5887.813625028446,-3761.742045883535,290036.3758314794,45348.12318925511,156811.80980376826,19592.24480119629,-140404.81572481222,-65349.84640933344,-38988.90177231688,-162217.36905991271,-10682.451073677636,-7593.944240293301
sG,65656.0557669787,593.0210122692723,-55220.636509294825,-337.1455339922408,-317.3915031522795,45348.12318925511,12775.591158802114,26058.311592806407,4216.82750903813,-4360.334438967795,-4124.1750927138755,-9003.28442436098,-42031.334804537735,-3197.579640957183,-293.0919905585071
betaF0,138548.7737649753,1159.144099992964,-111762.02167334965,-4321.4781698253755,-2513.5738915302477,156811.80980376826,26058.311592806407,114398.70226814394,12210.562932481233,-89507.4853966634,-51576.25731089448,-19999.029902641414,-90274.75105485244,-6161.215040180524,-5197.848597067856
sF,27379.691932685448,213.08882241796545,-23298.179346299326,-355.2905752500805,30.601488756311674,19592.24480119629,4216.82750903813,12210.562932481233,2849.138383168624,-8361.897966475903,1405.942615664719,-4807.528160731047,-17226.12641653486,-1321.4673473912537,-104.15117758941655
qEG,-27606.084529231528,-71.83463923061657,17017.10375397544,6050.812166525201,2854.1850113752876,-140404.81572481222,-4360.334438967795,-89507.4853966634,-8361.897966475903,151090.0464862264,56486.1087800021,9674.331424870637,21869.819508616565,525.7867669608775,7478.376369561808
qEF,8807.744556580094,101.72419513387747,-12820.540698801076,2757.820723716206,3256.0547784977252,-65349.84640933344,-4124.1750927138755,-51576.25731089448,1405.942615664719,56486.1087800021,68084.45034385397,-6819.421722554918,-1533.9922548453333,-801.8041020506448,5509.578435612913
iG,-57109.37380006419,-536.7852132030628,48368.47814637561,384.7657717744645,-354.4667917589931,-38988.90177231688,-9003.28442436098,-19999.029902641414,-4807.528160731047,9674.331424870637,-6819.421722554918,11732.163079133918,36811.165723047554,2828.4493009044913,-203.48352785156516
iE,-241144.09939143684,-1986.550547071987,204790.1393056111,1240.1293253051813,299.6911553412491,-162217.36905991271,-42031.334804537735,-90274.75105485244,-17226.12641653486,21869.819508616565,-1533.9922548453333,36811.165723047554,157186.32002279023,13305.312650970354,225.04296980180112
Kd0,-19280.37399613564,-76.36696189689673,17682.88965188224,43.629369580351806,-14.776648578835271,-10682.451073677636,-3197.579640957183,-6161.215040180524,-1321.4673473912537,525.7867669608775,-801.8041020506448,2828.4493009044913,13305.312650970354,4466.6441834723355,-65.71837808137265
m0,233.86755438696525,5.073267605329139,-709.250880544601,318.90927772236097,267.3494804004924,-7593.944240293301,-293.0919905585071,-5197.848597067856,-104.15117758941655,7478.376369561808,5509.578435612913,-203.48352785156516,225.04296980180112,-65.71837808137265,545.7204949012851
