mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
-4.625929269271486e-14,-4.625929269271486e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.253276992704933,-0.04946290856309016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.797579067781113,-8.797556437896093,1.604110855257801e-06,-1.955067274739264e-06,1.798467452740482e-06,-2.3372415114408795e-10,-2.016896816225966e-06,1.7042969036040745e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.034569018445668,-6.765396509715071,1.2362107515428988e-05,-4.651798501953408e-07,1.8247203747989715e-07,-5.630007571255646e-09,-3.4065581466791173e-07,-3.962372874255493e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.71847926655861,-21.720234030441254,-0.0004745694646146603,-1.109990854786247e-06,0.0002937438598138442,-1.2303047469686135e-08,-7.746173480427387e-07,0.0002989565697220087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.845424581991612,-9.071772043448744,-1.2611813615997725,-0.3262346214042644,0.2618092788038928,0.013780595144063934,0.1137613275283278,0.6285624123462008,-0.22179068511192224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.975985847861831,-6.165021102007451,-1.0971476163113891,-0.28700810637123375,0.2504716382954797,0.01434677323122191,0.09775514032399624,0.5449311780470145,-0.29442625547422274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4528672578362425,-6.8260521181569445,-2.6748685346434597,-0.7298137785597181,0.9411420109194601,0.11890525268835606,0.20505355072525933,1.224107972986238,-1.1136299821495832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.008821329018632,-6.41875433349679,-3.2669784023589887,-0.8992208368794219,1.3440948930604324,0.26157334920738906,0.21089197657935266,1.3740544046865422,-1.4051322079292272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.777863357630128,-3.0434285609716394,-2.8932927425547206,-0.7960904846055605,1.6400923963570957,0.5028712934856738,0.09517920216794984,0.8887079039972434,-1.2327154349373703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1397492461477405,-6.775875897508445,-7.528184657607331,-2.0572897830802295,4.567439104815385,1.42426980835067,0.20420499463191522,2.1033383595175312,-3.16709023270664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
