candidate,family,medium,horizon_h,temperature_segments,N_pulses_kg_m3,candidate_logdet,candidate_min_eigenvalue,candidate_max_eigenvalue,candidate_min_relative_eigenvalue,candidate_condition_number,candidate_trace_inv,candidate_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS_N,var_reduction_kPyrS_N,var_ratio_kPyrO2,var_reduction_kPyrO2,var_ratio_kPyrDrain,var_reduction_kPyrDrain,var_ratio_kAldS_N,var_reduction_kAldS_N,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,var_ratio_k_EA_XE,var_reduction_k_EA_XE,var_ratio_k_EA_XE_Nlim,var_reduction_k_EA_XE_Nlim,target_mean_var_reduction,target_worst_var_reduction,aroma_mean_var_reduction,aroma_worst_var_reduction,hybrid_score,dopt_score,eopt_score,rationale
natural_pilot_cold_to_warm_earlyN,temperature_N,natural,300.0,"14, 16, 22, 20",30h:0.045,76.352881564071,5.757919426902486e-09,14272.296812306404,4.0343327374874054e-13,1000000000000.0,866552.2340761208,27,139.1254939872897,1.8842793064567724e-07,118347.35972860348,1.5921599863130358e-12,628077585541.9528,117456.25708131416,27,0.9133720455209695,0.08662795447903049,0.8463222519079961,0.15367774809200385,0.716090789188984,0.28390921081101606,0.6270725644336888,0.37292743556631125,0.7976441437215578,0.20235585627844221,0.6213931392637441,0.37860686073625593,0.5573091998940133,0.4426908001059867,0.7478406129384992,0.25215938706150076,0.2720729286913279,0.7279270713086721,0.6802243221428392,0.31977567785716077,0.6751998813396234,0.3248001186603766,0.8031602342524644,0.1968397657475356,0.7585167515069143,0.24148324849308567,0.8168250936323661,0.1831749063676339,0.811628122469212,0.188371877530788,0.9268753124155257,0.07312468758447432,0.8074057934042158,0.1925942065957842,7.689137622990456e-09,0.9999999923108623,0.868847410205029,0.13115258979497102,0.9014010725462925,0.09859892745370746,0.6574363466623767,0.3425636533376233,0.78362983598982,0.21637016401018005,0.5751585299567515,0.42484147004324846,0.41458466019339374,0.5854153398066062,0.8398270470005393,0.16017295299946066,0.8809320332858113,0.11906796671418873,0.743202698521221,0.256797301478779,0.8377915174501099,0.16220848254989007,0.8493571372429218,0.15064286275707817,0.2851337419494019,0.07312468758447432,0.24071197372233935,0.09859892745370746,84.2099438448544,139.1254939872897,-15.484550233957561,Cold start followed by warm transition and early nitrogen pulse.
natural_pilot_midN_temperature_step,temperature_N,natural,300.0,"16, 20, 23, 18",54h:0.04,73.80335876815408,8.094026350848572e-08,13370.737416288,6.0535377360627615e-12,165192659829.75485,1011863.8572951679,26,138.99570634879956,1.8610109936658863e-07,118730.15323035182,1.567429118073557e-12,637987382312.4113,118967.79726476883,27,0.9138263600728064,0.08617363992719362,0.854110952787598,0.14588904721240203,0.7402592352085282,0.2597407647914718,0.7936057152687831,0.2063942847312169,0.8547499400195269,0.14525005998047313,0.8017574374016506,0.19824256259834938,0.7258578479372866,0.2741421520627134,0.8696949979771988,0.13030500202280115,0.1996344393305367,0.8003655606694633,0.7349685226921877,0.2650314773078123,0.7363925371819866,0.2636074628180134,0.7291677923453259,0.2708322076546741,0.6159308546406751,0.3840691453593249,0.712303048833421,0.287696951166579,0.8279301928600558,0.17206980713994424,0.9224114746305011,0.0775885253694989,0.7782133769977048,0.22178662300229524,8.22158659810393e-09,0.9999999917784134,0.9109972438692155,0.08900275613078446,0.7532523021944455,0.2467476978055545,0.6960415908124957,0.3039584091875043,0.8131114614308443,0.18688853856915566,0.5971623543077086,0.4028376456922914,0.35844837781606675,0.6415516221839332,0.8615655486613382,0.13843445133866183,0.8470027337337347,0.1529972662662653,0.7093667393008536,0.2906332606991464,0.8466828393026199,0.1533171606973801,0.8287209328237648,0.1712790671762352,0.27471838418412253,0.0775885253694989,0.2525134432497193,0.08900275613078446,84.0482072562753,138.99570634879956,-15.496975765918618,Temperature step with mid-growth nitrogen perturbation.
natural_pilot_EA_cold_retention_noN,EA_retention_reference,natural,300.0,"13, 13, 16, 18",,73.33666846031505,4.642843992427315e-08,21111.949574700753,2.199154547996368e-12,454720201866.25446,854176.129179387,26,138.7430919347408,2.0039029633673967e-07,121282.58830184204,1.6522593980103583e-12,605231842653.8801,116270.50363045323,27,0.9106271957963817,0.08937280420361826,0.9181213202196993,0.08187867978030072,0.6251951070679319,0.3748048929320681,0.5189429174435931,0.4810570825564069,0.6721672646862128,0.3278327353137872,0.5054834668157636,0.4945165331842364,0.4666634710763933,0.5333365289236067,0.5620672493024811,0.4379327506975189,0.8519802754788139,0.14801972452118606,0.5859006243952349,0.41409937560476506,0.5894255389549405,0.41057446104505946,0.6697390564620032,0.33026094353799684,0.5267566406047143,0.4732433593952857,0.636134995001096,0.36386500499890395,0.8035878008658749,0.1964121991341251,0.9035103748827674,0.09648962511723258,0.7401964298132939,0.2598035701867061,1.0428674333869071e-08,0.9999999895713256,0.8887427889286408,0.11125721107135922,0.8442343707184256,0.15576562928157445,0.5918802600870378,0.40811973991296224,0.7567004024043205,0.24329959759567954,0.5841197525744145,0.4158802474255855,0.3818461120149185,0.6181538879850814,0.8797007699415399,0.1202992300584601,0.7886682573062624,0.21133174269373756,0.7758921664435421,0.2241078335564579,0.8275859921802697,0.17241400781973026,0.8347619384070648,0.1652380615929352,0.32273680861026527,0.08187867978030072,0.25871519899941486,0.11125721107135922,83.90215333544249,138.7430919347408,-15.422998890381415,Low-temperature no-pulse comparator to decouple synthesis from CO2 stripping.
natural_pilot_noN_dynamic_temperature,temperature,natural,300.0,"15, 22, 18, 22",,72.87309350374353,2.7530947053957762e-08,12789.42498095188,2.1526336872034032e-12,464547222290.8261,1081705.7928025185,26,138.58671206626082,1.9886036606233464e-07,116809.26697890749,1.702436554954525e-12,587393402173.9281,120237.75692297616,27,0.9174073552985863,0.0825926447014137,0.892413905857342,0.10758609414265796,0.7092129550920202,0.2907870449079798,0.7552645134883741,0.2447354865116259,0.8466986266932166,0.1533013733067834,0.7079517673996241,0.29204823260037593,0.6231534621407774,0.3768465378592226,0.8572332792681003,0.14276672073189967,0.4209578346096328,0.5790421653903672,0.7188625453460789,0.28113745465392115,0.7246647674090667,0.2753352325909333,0.6438691955788454,0.35613080442115463,0.4846122972817391,0.515387702718261,0.6025724811862168,0.39742751881378324,0.8068778766760405,0.1931221233239595,0.896183291086206,0.10381670891379402,0.7194376869015666,0.2805623130984334,1.0287665465326673e-08,0.9999999897123345,0.892370999248854,0.10762900075114601,0.7306910569287227,0.2693089430712773,0.6676432423316357,0.33235675766836426,0.7973055829914824,0.20269441700851765,0.5477681206803975,0.4522318793196025,0.3062273591850946,0.6937726408149054,0.8880445912208906,0.11195540877910937,0.8499571194740356,0.15004288052596437,0.6996904135076284,0.3003095864923716,0.8575430074829374,0.14245699251706256,0.8542809562059555,0.14571904379404454,0.2959001275565954,0.0825926447014137,0.26440705006748777,0.10762900075114601,83.80392950101066,138.58671206626082,-15.43066293659192,Temperature-only perturbation for settings where nutrient action is constrained.
natural_pilot_two_step_N_ladder,N_timing,natural,300.0,"17, 19, 21, 18",30h:0.03; 78h:0.035,69.79674164744382,7.093542517774186e-08,10678.657273340601,6.642728890160471e-12,150540540873.38232,1070741.5804155527,27,138.44065045269065,1.7459427484893646e-07,115706.47016337623,1.5089413288851635e-12,662716290459.6299,120243.18330377192,27,0.9131332613523611,0.08686673864763894,0.8583610443218338,0.1416389556781662,0.7657640193251758,0.2342359806748242,0.8189855173319864,0.18101448266801357,0.8455678226697302,0.15443217733026982,0.8477253556984029,0.1522746443015971,0.7943019847197353,0.20569801528026466,0.8692185578629176,0.13078144213708243,0.2948522925625244,0.7051477074374757,0.7570017997035168,0.24299820029648322,0.7618452204411252,0.23815477955887476,0.7888672801531899,0.21113271984681015,0.7036916331896607,0.29630836681033934,0.7702851854078571,0.22971481459214294,0.8371034659429957,0.16289653405700433,0.9274411658181211,0.07255883418187892,0.823820717343763,0.17617928265623695,6.750380944545195e-09,0.9999999932496191,0.9117814125877945,0.08821858741220545,0.7337365899402618,0.2662634100597382,0.7086245169655974,0.29137548303440264,0.8263852405221758,0.17361475947782423,0.6153068394547058,0.38469316054529423,0.37870835995738256,0.6212916400426174,0.8543252424314721,0.14567475756852788,0.8331953211737166,0.16680467882628336,0.7252350671380366,0.27476493286196335,0.85632419290035,0.14367580709965,0.8352920337280137,0.16470796627198625,0.25321099491742116,0.07255883418187892,0.2473713802909539,0.08821858741220545,83.41656124237667,138.44065045269065,-15.560800984176245,Two smaller nitrogen pulses to separate early growth and later metabolic response.
natural_pilot_EA_warm_early_noN,EA_temperature_Nstress,natural,300.0,"24, 23, 19, 17",,63.45906831987408,2.037140149828869e-11,10206.515657829563,1.9959212508199602e-15,1000000000000.0,1303166.6689410408,26,138.68287617224433,3.766620700632164e-08,115700.02586683055,3.255505495709658e-13,1000000000000.0,122490.97753101151,27,0.9405651793289317,0.05943482067106831,0.8712568408368765,0.1287431591631235,0.7956505198401594,0.20434948015984056,0.6278586344869922,0.3721413655130078,0.46519738685249445,0.5348026131475055,0.574873355356053,0.425126644643947,0.749779062609376,0.250220937390624,0.48722632476098776,0.5127736752390122,0.30506636038296614,0.6949336396170338,0.8668686370932684,0.13313136290673155,0.8599613605885997,0.14003863941140027,0.6015192756022048,0.39848072439779525,0.41742437878969685,0.5825756212103032,0.5469453527485377,0.4530546472514623,0.7811704161095607,0.21882958389043927,0.8914252739808299,0.10857472601917006,0.6953774425595831,0.3046225574404169,9.867899745567453e-09,0.9999999901321003,0.8758339144386609,0.12416608556133912,0.49069940728357847,0.5093005927164216,0.86685719651744,0.13314280348256002,0.930218336351037,0.06978166364896299,0.5198583478904099,0.48014165210959014,0.2435950828436911,0.7564049171563089,0.8982101186439626,0.10178988135603739,0.8533347789649803,0.14666522103501967,0.6407754965938878,0.3592245034061122,0.8757089734414497,0.12429102655855029,0.8357431407555538,0.16425685924444622,0.32727584118897696,0.05943482067106831,0.26992410966139535,0.06978166364896299,80.59056924537504,138.68287617224433,-17.094502510348633,Warm early natural fermentation without nutrient pulse to excite ethanol-biomass and nitrogen-limited EA directions.
natural_pilot_high_rate_strip,co2_aroma,natural,300.0,"21, 24, 23, 19",30h:0.03,66.88523722410721,2.456002494662698e-11,14322.971176868254,1.7147297612587307e-15,1000000000000.0,1148634.988172915,26,138.85542696253816,3.270999993077632e-08,119416.3027657438,2.739156980512348e-13,1000000000000.0,119739.90236867123,27,0.9345408211850046,0.06545917881499541,0.8500822495222167,0.14991775047778333,0.7795462381409494,0.22045376185905063,0.7706839597491355,0.2293160402508645,0.6382743408865691,0.3617256591134309,0.7644618174163152,0.23553818258368475,0.8508569723640769,0.14914302763592313,0.6853899419578947,0.3146100580421053,0.17167648118080386,0.8283235188191962,0.8436145537743297,0.1563854462256703,0.8473506196781585,0.1526493803218415,0.6522448918324462,0.34775510816755384,0.5080728329828926,0.49192716701710737,0.6287273172450801,0.37127268275491987,0.7894965824883938,0.21050341751160617,0.9018244476667563,0.09817555233324371,0.7236349974449079,0.2763650025550921,9.012819212090358e-09,0.9999999909871808,0.8954574275960796,0.1045425724039204,0.5919113055482447,0.40808869445175533,0.802626456246357,0.19737354375364302,0.904700012832651,0.095299987167349,0.5698124743255967,0.4301875256744033,0.3031009542616076,0.6968990457383923,0.8730221336355615,0.12697786636443853,0.8668936801456265,0.1331063198543735,0.6595177755866584,0.34048222441334164,0.8535516235289039,0.1464483764710961,0.8298902598197072,0.1701097401802928,0.2934150628256639,0.06545917881499541,0.2590468996793641,0.095299987167349,80.41886108866424,138.85542696253816,-17.235584997512404,High-rate natural fermentation to excite CO2 stripping and aroma loss directions.
natural_pilot_EA_warm_early_lateN,EA_lateN,natural,300.0,"23, 22, 20, 18",98h:0.045,65.81905113616831,3.703475792251375e-10,11376.52252137559,3.255367169794492e-14,1000000000000.0,1201733.1904307639,27,138.53219342393004,3.660086124037101e-08,116739.77417786812,3.135252016558202e-13,1000000000000.0,121663.76262233757,27,0.9306299940481211,0.06937000595187892,0.8519462126198489,0.14805378738015107,0.7952063477502618,0.20479365224973822,0.6994850525963217,0.30051494740367835,0.5227776605997473,0.4772223394002527,0.6697416458956651,0.3302583541043349,0.8160762226808514,0.18392377731914855,0.5630867715757902,0.43691322842420977,0.2451044430313872,0.7548955569686128,0.8741026806525621,0.12589731934743786,0.8770761752152284,0.1229238247847716,0.6662462234980855,0.3337537765019145,0.5162529368847679,0.4837470631152321,0.6314573452747543,0.3685426547252457,0.8117733092800442,0.1882266907199558,0.9190729005907233,0.08092709940927667,0.758955708571284,0.24104429142871597,7.904866851225617e-09,0.9999999920951331,0.8904542500507627,0.10954574994923727,0.5329169253882705,0.4670830746117295,0.8541885488620674,0.1458114511379326,0.9267434485950127,0.07325655140498732,0.5719359560715792,0.4280640439284208,0.28516552097300524,0.7148344790269947,0.8949488610163707,0.10505113898362928,0.8544111760389589,0.14558882396104111,0.656487039395857,0.34351296060414305,0.8684614819771755,0.13153851802282446,0.8344933757152571,0.16550662428474294,0.29933799231880587,0.06937000595187892,0.2572539469014257,0.07325655140498732,80.3649493001687,138.53219342393004,-17.123194065658264,Warm early fermentation followed by late nitrogen to separate stationary and N-limited aroma terms.
natural_pilot_warm_to_cool_noN,temperature,natural,300.0,"22, 22, 17, 16",,65.82564264059891,2.970491025592228e-11,9842.724135819113,3.0179561924144316e-15,1000000000000.0,1361492.5620461116,26,137.99546750813641,3.766259703218544e-08,114762.50174552805,3.281785989268314e-13,1000000000000.0,123105.98856612183,27,0.9432614860216381,0.05673851397836194,0.8983122973780346,0.10168770262196536,0.7650006448427914,0.2349993551572086,0.7644510483324034,0.2355489516675966,0.574923713048505,0.425076286951495,0.7373562782764849,0.26264372172351513,0.8428495652364065,0.15715043476359347,0.6302637452015601,0.36973625479843986,0.44008355114200876,0.5599164488579913,0.8383786618338854,0.16162133816611457,0.8460231574227547,0.1539768425772453,0.609230462271395,0.390769537728605,0.43989739446666754,0.5601026055333325,0.5673687044075648,0.4326312955924352,0.7770639351172252,0.22293606488277484,0.8963034650144446,0.10369653498555542,0.7035513183190063,0.2964486816809937,9.520063007031368e-09,0.999999990479937,0.8634902146622616,0.1365097853377384,0.49844685745210615,0.5015531425478938,0.83567682602627,0.16432317397372997,0.9212181625798314,0.07878183742016864,0.5274629171605456,0.4725370828394544,0.25865455836525936,0.7413454416347407,0.8937793013693884,0.10622069863061157,0.8688979160166264,0.13110208398337364,0.6641714199528965,0.3358285800471035,0.881142533135538,0.11885746686446197,0.8446199582252686,0.15538004177473141,0.29890068611038517,0.05673851397836194,0.2674944850049098,0.07878183742016864,79.91899060859912,137.99546750813641,-17.094598356132597,"Warm early phase to excite growth and CO2, then cool aroma-retention phase."
natural_pilot_reference_20C,reference,natural,300.0,"20, 20, 20, 20",,67.53750314873464,4.697406450546029e-11,11474.678716160348,4.0937150108877934e-15,1000000000000.0,1270399.8042014786,26,138.05869673756774,3.532809193449728e-08,116150.20219359582,3.041586778782652e-13,1000000000000.0,122433.75689986444,27,0.92672812733995,0.07327187266004997,0.8899205721229316,0.11007942787706837,0.7466918552201341,0.25330814477986585,0.8531567429128071,0.14684325708719292,0.7071287640857195,0.29287123591428055,0.8167327392664704,0.1832672607335296,0.8285252293622255,0.1714747706377745,0.775808560484053,0.224191439515947,0.3715649448525426,0.6284350551474573,0.8033443413463663,0.19665565865363366,0.8192665609965457,0.1807334390034543,0.6226279456302417,0.3773720543697583,0.4603130805118188,0.5396869194881813,0.5847128513576287,0.41528714864237126,0.7862265253038683,0.21377347469613173,0.8983639404055677,0.10163605959443234,0.710793112980114,0.28920688701988595,9.696149906958691e-09,0.9999999903038501,0.88570585758561,0.11429414241438995,0.5974754253798173,0.40252457462018265,0.767835355050059,0.23216464494994105,0.8658879703965703,0.13411202960342972,0.5391768129780666,0.46082318702193337,0.2796580198656386,0.7203419801343613,0.8874137080096529,0.11258629199034709,0.8040441106689041,0.19595588933109587,0.6875107638333036,0.31248923616669644,0.8746506860632318,0.12534931393676818,0.8526173606660341,0.1473826393339659,0.2881420008837233,0.07327187266004997,0.2689112663184646,0.11258629199034709,79.83047674147886,138.05869673756774,-17.15858738398263,Natural must warmer reference to increase rate and CO2 information.
